Time,t_c,t_k
2008-01-01,12.3,285.45
2008-02-01,12.48,285.63
2008-03-01,13.45,286.59999999999997
2008-04-01,14.239999999999998,287.39
2008-05-01,15.3,288.45
2008-06-01,15.99,289.14
2008-07-01,16.400000000000002,289.54999999999995
2008-08-01,16.05,289.2
2008-09-01,15.6,288.75
2008-10-01,14.67,287.82
2008-11-01,13.59,286.73999999999995
2008-12-01,12.739999999999998,285.89
2009-01-01,12.65,285.79999999999995
2009-02-01,12.629999999999999,285.78
2009-03-01,13.229999999999999,286.38
2009-04-01,14.309999999999999,287.46
2009-05-01,15.450000000000001,288.59999999999997
2009-06-01,16.14,289.28999999999996
2009-07-01,16.54,289.69
2009-08-01,16.29,289.44
2009-09-01,15.72,288.87
2009-10-01,14.65,287.79999999999995
2009-11-01,13.700000000000001,286.84999999999997
2009-12-01,12.87,286.02
2010-01-01,12.74,285.89
2010-02-01,12.94,286.09
2010-03-01,13.62,286.77
2010-04-01,14.549999999999999,287.7
2010-05-01,15.55,288.7
2010-06-01,16.17,289.32
2010-07-01,16.43,289.58
2010-08-01,16.27,289.41999999999996
2010-09-01,15.63,288.78
2010-10-01,14.71,287.85999999999996
2010-11-01,13.71,286.85999999999996
2010-12-01,12.649999999999999,285.79999999999995
2011-01-01,12.52,285.66999999999996
2011-02-01,12.57,285.71999999999997
2011-03-01,13.35,286.5
2011-04-01,14.34,287.48999999999995
2011-05-01,15.33,288.47999999999996
2011-06-01,16.12,289.27
2011-07-01,16.5,289.65
2011-08-01,16.35,289.5
2011-09-01,15.56,288.71
2011-10-01,14.65,287.79999999999995
2011-11-01,13.49,286.64
2011-12-01,12.799999999999999,285.95
2012-01-01,12.47,285.62
2012-02-01,12.58,285.72999999999996
2012-03-01,13.27,286.41999999999996
2012-04-01,14.43,287.58
2012-05-01,15.58,288.72999999999996
2012-06-01,16.15,289.29999999999995
2012-07-01,16.39,289.53999999999996
2012-08-01,16.259999999999998,289.40999999999997
2012-09-01,15.72,288.87
2012-10-01,14.8,287.95
2012-11-01,13.68,286.83
2012-12-01,12.719999999999999,285.87
2013-01-01,12.71,285.85999999999996
2013-02-01,12.719999999999999,285.87
2013-03-01,13.37,286.52
2013-04-01,14.229999999999999,287.38
2013-05-01,15.4,288.54999999999995
2013-06-01,16.2,289.34999999999997
2013-07-01,16.400000000000002,289.54999999999995
2013-08-01,16.3,289.45
2013-09-01,15.76,288.90999999999997
2013-10-01,14.69,287.84
2013-11-01,13.73,286.88
2013-12-01,12.899999999999999,286.04999999999995
2014-01-01,12.76,285.90999999999997
2014-02-01,12.65,285.79999999999995
2014-03-01,13.479999999999999,286.63
2014-04-01,14.51,287.65999999999997
2014-05-01,15.66,288.81
2014-06-01,16.17,289.32
2014-07-01,16.38,289.53
2014-08-01,16.43,289.58
2014-09-01,15.88,289.03
2014-10-01,14.8,287.95
2014-11-01,13.57,286.71999999999997
2014-12-01,12.989999999999998,286.14
2015-01-01,12.86,286.01
2015-02-01,13.01,286.15999999999997
2015-03-01,13.66,286.81
2015-04-01,14.45,287.59999999999997
2015-05-01,15.600000000000001,288.75
2015-06-01,16.31,289.46
2015-07-01,16.53,289.67999999999995
2015-08-01,16.4,289.54999999999995
2015-09-01,15.83,288.97999999999996
2015-10-01,15.07,288.21999999999997
2015-11-01,13.96,287.10999999999996
2015-12-01,13.37,286.52
2016-01-01,13.18,286.33
2016-02-01,13.459999999999999,286.60999999999996
2016-03-01,14.049999999999999,287.2
2016-04-01,14.79,287.94
2016-05-01,15.760000000000002,288.90999999999997
2016-06-01,16.31,289.46
2016-07-01,16.64,289.78999999999996
2016-08-01,16.61,289.76
2016-09-01,15.9,289.04999999999995
2016-10-01,14.87,288.02
2016-11-01,13.81,286.96
2016-12-01,13.059999999999999,286.21
2017-01-01,13.02,286.16999999999996
2017-02-01,13.23,286.38
2017-03-01,13.86,287.01
2017-04-01,14.629999999999999,287.78
2017-05-01,15.71,288.85999999999996
2017-06-01,16.21,289.35999999999996
2017-07-01,16.62,289.77
2017-08-01,16.47,289.62
2017-09-01,15.74,288.89
2017-10-01,14.88,288.03
2017-11-01,13.77,286.91999999999996
2017-12-01,13.129999999999999,286.28
2018-01-01,12.82,285.96999999999997
2018-02-01,12.94,286.09
2018-03-01,13.58,286.72999999999996
2018-04-01,14.58,287.72999999999996
2018-05-01,15.610000000000001,288.76
2018-06-01,16.26,289.40999999999997
2018-07-01,16.63,289.78
2018-08-01,16.38,289.53
2018-09-01,15.8,288.95
2018-10-01,15.02,288.16999999999996
2018-11-01,13.73,286.88
2018-12-01,13.129999999999999,286.28
2019-01-01,12.93,286.08
2019-02-01,13.049999999999999,286.2
2019-03-01,13.87,287.02
2019-04-01,14.7,287.84999999999997
2019-05-01,15.66,288.81
2019-06-01,16.4,289.54999999999995
2019-07-01,16.740000000000002,289.89
2019-08-01,16.55,289.7
2019-09-01,15.93,289.08
2019-10-01,15.0,288.15
2019-11-01,13.89,287.03999999999996
2019-12-01,13.309999999999999,286.46
2020-01-01,13.18,286.33
2020-02-01,13.34,286.48999999999995
2020-03-01,13.879999999999999,287.03
2020-04-01,14.82,287.96999999999997
2020-05-01,15.790000000000001,288.94
2020-06-01,16.41,289.56
2020-07-01,16.69,289.84
2020-08-01,16.46,289.60999999999996
2020-09-01,15.96,289.10999999999996
2020-10-01,14.87,288.02
2020-11-01,13.98,287.13
2020-12-01,13.0,286.15
2021-01-01,12.81,285.96
2021-02-01,12.74,285.89
2021-03-01,13.59,286.73999999999995
2021-04-01,14.459999999999999,287.60999999999996
2021-05-01,15.59,288.73999999999995
2021-06-01,16.34,289.48999999999995
2021-07-01,16.720000000000002,289.87
2021-08-01,16.41,289.56
2021-09-01,15.92,289.07
2021-10-01,14.98,288.13
2021-11-01,13.82,286.96999999999997
2021-12-01,13.08,286.22999999999996
2022-01-01,12.91,286.06
2022-02-01,12.99,286.14
2022-03-01,13.739999999999998,286.89
2022-04-01,14.53,287.67999999999995
2022-05-01,15.64,288.78999999999996
2022-06-01,16.42,289.57
2022-07-01,16.740000000000002,289.89
2022-08-01,16.54,289.69
2022-09-01,15.88,289.03
2022-10-01,14.97,288.12
2022-11-01,13.63,286.78
2022-12-01,13.0,286.15
2023-01-01,12.87,286.02
2023-02-01,13.059999999999999,286.21
2023-03-01,13.93,287.08
2023-04-01,14.68,287.83
2023-05-01,15.74,288.89
2023-06-01,16.58,289.72999999999996
2023-07-01,16.990000000000002,290.14
2023-08-01,16.79,289.94
2023-09-01,16.48,289.63
2023-10-01,15.34,288.48999999999995
2023-11-01,14.3,287.45
2023-12-01,13.549999999999999,286.7
2024-01-01,13.25,286.4
2024-02-01,13.53,286.67999999999995
2024-03-01,14.09,287.23999999999995
2024-04-01,15.02,288.16999999999996
2024-05-01,15.96,289.10999999999996
2024-06-01,16.73,289.88
2024-07-01,17.0,290.15
2024-08-01,16.9,290.04999999999995
2024-09-01,16.21,289.35999999999996
2024-10-01,15.35,288.5
2024-11-01,14.200000000000001,287.34999999999997
2024-12-01,13.469999999999999,286.62
2025-01-01,13.379999999999999,286.53
2025-02-01,13.36,286.51
2025-03-01,14.07,287.21999999999997
2025-04-01,14.94,288.09
2025-05-01,15.88,289.03
2025-06-01,16.57,289.71999999999997
