topic,sign,phase,peak_month,dominant_planet,dom_share,sun_share,top_aspect,phase_stable,r2_full,r2_ins,r2_oos,r2_oos_strict
3d printers,Gemini,70.0,December,pluto,0.276,0.015,pluto-chiron,1,0.8152,0.0493,-8.8817,-8.8817
abu dhabi,Virgo,150.0,December,uranus,0.245,0.029,uranus-pluto,1,0.4576,0.3512,-6.6951,-6.6951
acapulco,Sagittarius,245.0,June,uranus,0.299,0.038,uranus-pluto,1,0.4291,0.743,0.6783,0.6783
accessories,Scorpio,230.0,December,pluto,0.294,0.022,uranus-pluto,1,0.9866,0.9922,0.9893,0.9893
accident,Capricorn,285.0,August,chiron,0.281,0.022,pluto-chiron,1,0.8631,0.8168,-4.1088,-4.1088
accommodations,Leo,135.0,October,uranus,0.261,0.019,uranus-pluto,1,0.7067,0.9649,0.6612,0.6612
accounting,Virgo,160.0,December,pluto,0.253,0.021,uranus-pluto,1,0.9507,0.966,0.9429,0.9429
acne,Cancer,115.0,August,pluto,0.3,0.018,neptune-pluto,1,0.9433,0.929,-8.589,-8.589
acquisitions,Libra,180.0,September,pluto,0.274,0.032,uranus-pluto,1,0.6443,0.7777,0.3816,0.3816
acting,Sagittarius,245.0,June,pluto,0.474,0.009,uranus-pluto,1,0.758,0.8794,0.3907,0.3907
action,Gemini,60.0,October,pluto,0.348,0.002,uranus-pluto,1,0.7333,0.4544,-0.422,-0.422
action cameras,Gemini,85.0,December,uranus,0.305,0.023,uranus-pluto,1,0.6416,0.5069,-21.2431,-21.2431
action figures,Gemini,75.0,June,pluto,0.315,0.017,neptune-pluto,1,0.8652,0.7596,-3.2896,-3.2896
activities,Virgo,165.0,November,pluto,0.33,0.016,saturn-pluto,1,0.7654,0.9173,0.9067,0.9067
acupuncture,Taurus,35.0,April,pluto,0.335,0.011,uranus-pluto,1,0.3456,0.6987,-6.9119,-6.9119
acura,Capricorn,270.0,March,chiron,0.233,0.044,neptune-chiron,1,0.8849,0.9619,0.9521,0.9521
add,Libra,195.0,April,pluto,0.443,0.032,jupiter-pluto,1,0.8584,0.9492,0.8277,0.8277
add-ons,Pisces,335.0,April,chiron,0.373,0.008,pluto-chiron,1,0.4841,0.3099,-0.6379,-0.6379
adelaide,Cancer,110.0,January,pluto,0.374,0.035,uranus-pluto,1,0.8771,0.8674,-0.4961,-0.4961
adhd,Virgo,160.0,January,chiron,0.219,0.023,pluto-chiron,1,0.7631,0.8502,0.6546,0.6546
adoption,Cancer,110.0,May,pluto,0.251,0.012,uranus-pluto,1,0.4794,0.8574,0.7087,0.7087
adventure films,Virgo,155.0,November,pluto,0.252,0.009,neptune-pluto,1,0.7899,0.8994,0.8015,0.8015
adventure games,Gemini,85.0,July,pluto,0.206,0.024,pluto-node,1,0.9057,0.9597,0.9418,0.9418
adventure travel,Scorpio,215.0,June,pluto,0.305,0.022,neptune-pluto,1,0.8015,0.905,0.6047,0.6047
advertising,Cancer,110.0,January,chiron,0.278,0.016,neptune-chiron,1,0.9261,0.9778,0.9623,0.9623
advocacy,Aquarius,305.0,November,uranus,0.362,0.05,uranus-chiron,1,0.6633,0.7538,0.7516,0.7516
aerospace,Scorpio,230.0,April,pluto,0.362,0.026,uranus-pluto,1,0.6281,0.4331,0.4026,0.4026
africa,Cancer,105.0,May,chiron,0.354,0.023,neptune-chiron,1,0.4915,0.8741,-0.9605,-0.9605
african music,Cancer,95.0,April,pluto,0.298,0.012,pluto-chiron,1,0.8064,0.9515,0.8695,0.8695
africans,Gemini,65.0,April,pluto,0.306,0.014,uranus-pluto,1,0.8891,0.9766,0.9606,0.9606
aging,Aries,25.0,March,pluto,0.308,0.041,uranus-pluto,1,0.886,0.9608,0.9363,0.9363
agra,Leo,125.0,June,chiron,0.187,0.026,pluto-chiron,1,0.9715,0.9899,0.9579,0.9579
agriculture,Capricorn,295.0,September,pluto,0.265,0.003,pluto-chiron,1,0.9486,0.9781,0.9783,0.9783
aichi,Gemini,85.0,June,pluto,0.32,0.021,uranus-pluto,1,0.782,0.9711,0.6059,0.6059
aids,Sagittarius,260.0,January,pluto,0.283,0.016,pluto-chiron,1,0.8911,0.9724,0.694,0.694
air conditioners,Leo,135.0,June,neptune,0.254,0.04,neptune-pluto,1,0.6513,0.8561,0.7113,0.7113
air filters,Virgo,160.0,July,chiron,0.263,0.01,pluto-chiron,1,0.5792,-0.5785,-4.5564,-4.5564
air force,Virgo,155.0,January,pluto,0.251,0.029,pluto-chiron,1,0.7794,0.5208,0.6639,0.6639
air freight,Leo,130.0,April,pluto,0.24,0.015,pluto-chiron,1,0.6696,-0.4626,0.1125,0.1125
air travel,Virgo,170.0,June,pluto,0.342,0.02,uranus-pluto,1,0.3313,-0.6195,-1.584,-1.584
airport parking,Taurus,45.0,June,pluto,0.336,0.012,pluto-chiron,1,0.78,0.9578,0.986,0.986
akita,Aquarius,325.0,February,pluto,0.306,0.013,uranus-pluto,1,0.9273,0.9764,0.8807,0.8807
alabama,Aries,25.0,October,chiron,0.342,0.029,pluto-chiron,1,0.8978,0.9933,0.8983,0.8983
alagoas,Leo,135.0,August,chiron,0.215,0.02,pluto-chiron,1,0.4357,0.6253,-4.8111,-4.8111
alaska,Libra,180.0,January,pluto,0.195,0.029,uranus-pluto,1,0.7393,0.8568,0.3494,0.3494
albania,Pisces,330.0,March,uranus,0.319,0.027,uranus-neptune,1,0.4245,0.5436,-0.1565,-0.1565
