arm,auc,acc_h1,acc_mean,acc_h24
S1_gbm,0.5801,0.5472,0.5794,0.5818
V3_control,0.6071,0.5755,0.6069,0.6289
E1_harm2,0.5906,0.5786,0.5911,0.6289
E2_decisive,0.6028,0.5849,0.6029,0.6258
E3_recency,0.6022,0.566,0.602,0.6289
E23_both,0.6016,0.5849,0.6016,0.6195
E10_smooth,0.6044,0.5849,0.6044,0.6258
ref_pooled,0.5961,0.5283,0.5951,0.6164
META_aa+pool+gbm,0.6028,0.5283,0.6014,0.6101
META_aa+pool+snaive,0.6125,0.5723,0.6123,0.6415
ref_snaive,0.5885,0.5881,0.5887,0.6006
ref_climatology,0.5711,0.544,0.5708,0.5849
ref_always_rise,0.4986,0.5503,0.4977,0.4025
