topic,tier,sign,phase,lamps,r2_val,r2_test,season_led,test_std
3d printers,full,Leo,141.88,"jupiter,node,uranus,chiron",-0.3209,-7.0367,False,4.36
abruzzo,relaxed,Cancer,109.45,"saturn,pluto,sun,mercury",-944764732.4794,-1380843415.7241,False,0.0
abstract strategy games,relaxed,Pisces,350.75,"jupiter,node,saturn,uranus",0.0435,-80192254.0647,False,0.0
abu dhabi,full,Scorpio,239.83,"saturn,mars,node,mercury",0.2401,-0.8962,False,5.68
academic conferences,relaxed,Aquarius,307.19,"venus,jupiter,mercury,uranus",-1204473.1032,-0.1529,False,0.46
acapulco,full,Sagittarius,247.4,"node,jupiter,mars,saturn",0.1236,0.1211,True,3.24
accessories,full,Taurus,38.86,"uranus,chiron,node,neptune",0.1201,-14.5742,False,3.71
accident,full,Aquarius,315.01,"node,uranus,saturn,chiron",0.2594,-3.6169,False,5.18
accommodations,full,Aries,6.47,"chiron,neptune,saturn,pluto",0.4229,-0.1884,False,20.63
accounting,full,Taurus,30.73,"chiron,uranus,neptune,node",0.3358,-9.3409,False,6.51
acne,full,Gemini,77.61,"node,jupiter,uranus,venus",0.7121,0.0592,True,4.19
acquisitions,full,Virgo,156.25,"jupiter,node,mercury,venus",-0.6011,-2.5116,False,1.4
acting,full,Aquarius,322.83,"node,saturn,chiron,neptune",-2.1677,-7.7489,False,4.21
action,full,Aries,3.63,"chiron,uranus,mars,neptune",0.0679,-4.5769,False,3.46
action cameras,full,Scorpio,230.29,"saturn,jupiter,mars,sun",0.1058,-30.9684,False,2.38
action figures,full,Capricorn,275.33,"node,jupiter,chiron,uranus",0.2441,-5.5529,False,5.01
activities,full,Aquarius,322.8,"jupiter,pluto,saturn,chiron",0.303,-10.709,False,6.26
acupuncture,full,Capricorn,287.22,"saturn,node,jupiter,neptune",0.1605,-13.0314,False,5.34
acura,full,Leo,134.4,"saturn,node,jupiter,mars",-0.0098,-1.3568,False,1.27
adana,relaxed,Scorpio,238.19,"saturn,sun,pluto,mercury",-3.3077,-8.4319,False,0.94
add,full,Pisces,352.3,"chiron,neptune,jupiter,mars",-9.2904,-9.5515,False,5.93
add-ons,full,Capricorn,297.69,"chiron,uranus,venus,pluto",-0.0305,-0.0966,False,7.75
adelaide,full,Aquarius,323.62,"uranus,node,venus,sun",0.1423,-4.2288,False,3.18
adhd,full,Pisces,341.28,"node,jupiter,uranus,neptune",0.8061,-6.7255,False,6.77
adhesives,full,Taurus,55.97,"chiron,uranus,neptune,pluto",0.009,-3.598,False,2.16
administrative jobs,full,Aries,1.83,"mercury,chiron,node,saturn",-0.3833,-3.5589,False,3.39
admissions tests,full,Gemini,80.88,"jupiter,uranus,neptune,sun",-93478590.8292,-0.3456,False,4.03
adoption,full,Sagittarius,251.71,"saturn,jupiter,chiron,neptune",0.2484,-3.1801,False,2.01
adventure films,full,Scorpio,225.8,"saturn,mars,pluto,neptune",0.3118,-2.5966,False,4.07
adventure games,full,Pisces,341.67,"uranus,chiron,sun,mercury",-0.8194,-27.9523,False,2.39
adventure travel,full,Aries,6.58,"chiron,uranus,neptune,venus",0.4498,-2.1963,False,15.44
advertising,full,Virgo,173.82,"saturn,jupiter,node,pluto",-0.2668,-3.2039,False,1.81
advocacy,full,Aries,6.15,"chiron,uranus,neptune,jupiter",0.0082,-1.1223,False,18.42
aegean islands,full,Taurus,32.77,"chiron,node,neptune,mars",-0.0218,0.004,True,25.71
aegean turkey,full,Gemini,80.72,"sun,saturn,node,pluto",0.0792,-0.3257,False,2.05
aerospace,full,Pisces,339.94,"chiron,uranus,venus,neptune",-0.5669,-1.2206,False,12.13
affiliate programs,full,Pisces,349.34,"jupiter,node,saturn,uranus",-0.0007,-1.5507,False,5.36
afghanistan,full,Leo,121.24,"saturn,mars,mercury,sun",0.1586,-0.1889,False,4.37
