topic,phase,sign,conf,dir_acc_test
3d printers,335.97,Pisces,0.0797,0.7391
abu dhabi,290.59,Capricorn,0.1154,0.4762
acapulco,115.52,Cancer,0.1982,0.3
accessories,212.06,Scorpio,0.0942,0.4762
accident,211.62,Scorpio,0.026,0.6111
accommodations,270.62,Capricorn,0.0733,0.7273
accounting,288.17,Capricorn,0.0692,0.6818
acne,194.49,Libra,0.0374,0.4762
acquisitions,249.16,Sagittarius,0.0524,0.5294
acting,56.48,Taurus,0.0299,0.6522
action,230.29,Scorpio,0.0677,0.7
action cameras,226.54,Scorpio,0.1,0.3636
action figures,184.66,Libra,0.0089,0.8696
activities,325.79,Aquarius,0.0068,0.7391
acupuncture,321.53,Aquarius,0.0119,0.6522
acura,24.83,Aries,0.0541,0.6471
add,74.38,Gemini,0.0625,0.65
add-ons,296.07,Capricorn,0.0227,0.55
adelaide,301.43,Aquarius,0.0203,0.7647
adhd,288.15,Capricorn,0.0364,0.6522
adhesives,3.2,Aries,0.0577,0.7778
administrative jobs,64.37,Gemini,0.0255,0.6
admissions tests,277.99,Capricorn,0.0932,0.5
adoption,123.56,Leo,0.0268,0.6
adventure films,204.03,Libra,0.007,0.5789
adventure games,61.2,Gemini,0.0394,0.5714
adventure travel,85.88,Gemini,0.0231,0.375
advertising,328.63,Aquarius,0.0549,0.875
advocacy,305.76,Aquarius,0.0554,0.75
aegean islands,56.28,Taurus,0.0758,0.8
aegean turkey,140.9,Leo,0.1257,0.375
aerospace,65.52,Gemini,0.0383,0.3636
affiliate programs,15.61,Aries,0.1537,0.4375
afghanistan,190.86,Libra,0.0593,0.5
africa,66.44,Gemini,0.0395,0.4667
african music,40.47,Taurus,0.0299,0.5625
african-americans,166.66,Virgo,0.0857,0.3158
africans,60.5,Gemini,0.0392,0.3333
aftermarket auto parts,278.89,Capricorn,0.0551,0.5714
aging,305.86,Aquarius,0.0658,0.6087
agra,262.53,Sagittarius,0.0862,0.4762
agricultural equipment,135.98,Leo,0.0843,0.55
agriculture,177.59,Virgo,0.0459,0.5217
agritourism,24.45,Aries,0.0433,0.5
agrochemicals,255.58,Sagittarius,0.1173,0.4545
ahmedabad,266.6,Sagittarius,0.122,0.6471
aichi,46.15,Taurus,0.0293,0.4375
aids,290.57,Capricorn,0.1261,0.7
air conditioners,105.09,Cancer,0.1209,0.7826
air filters,122.74,Leo,0.0542,0.5833
air force,248.96,Sagittarius,0.0409,0.4762
air freight,27.14,Aries,0.04,0.6667
air travel,91.85,Cancer,0.0738,0.5714
airport parking,142.14,Leo,0.0247,0.7222
akita,351.39,Pisces,0.0476,0.4211
alabama,294.83,Capricorn,0.0395,0.5556
alagoas,228.28,Scorpio,0.053,0.4167
alaska,307.38,Aquarius,0.0461,0.6842
albania,146.02,Leo,0.0113,0.6087
alberta,359.41,Pisces,0.0605,0.7
alcohol testing,255.52,Sagittarius,0.0954,0.5
alcohol treatment,140.92,Leo,0.0186,0.5
alfa romeo,346.37,Pisces,0.0499,0.6
algarve,55.12,Taurus,0.0565,0.85
alicante,113.54,Cancer,0.0606,0.6111
allergies,44.14,Taurus,0.0504,0.75
alsace,282.38,Capricorn,0.0838,0.5714
alternative,41.31,Taurus,0.0231,0.3684
alternative energy,320.67,Aquarius,0.0424,0.7273
alternative music,183.97,Libra,0.0236,0.5789
alternative vehicles,65.09,Gemini,0.1092,0.4
alumni,271.54,Capricorn,0.0306,0.5
alzheimer's disease,335.96,Pisces,0.1043,0.6818
amalfi coast,69.65,Gemini,0.0725,0.8261
amateur,4.51,Aries,0.0085,0.6
amazonas,157.91,Virgo,0.0603,0.7
american football,297.97,Capricorn,0.0329,0.8667
american football equipment,221.83,Scorpio,0.0425,0.7143
amphibians,357.21,Pisces,0.048,0.6364
amsterdam,16.85,Aries,0.0204,0.5882
analytics,24.75,Aries,0.0867,0.6818
anatomy,311.87,Aquarius,0.0671,0.625
ancestry,354.64,Pisces,0.063,0.6
andalucia,11.22,Aries,0.0858,0.6111
andhra pradesh,91.78,Cancer,0.0924,0.381
andorra,239.99,Scorpio,0.0381,0.6818
android apps,104.22,Cancer,0.0217,0.7895
android os,264.2,Sagittarius,0.0249,0.6667
angola,293.67,Capricorn,0.035,0.7333
animal products,249.54,Sagittarius,0.0713,0.3913
animal sports,4.48,Aries,0.0185,0.5
animal welfare,280.35,Capricorn,0.0498,0.7143
animated films,25.59,Aries,0.0454,0.5
animation,12.59,Aries,0.0212,0.4783
animation software,34.78,Taurus,0.0667,0.7143
anime,89.45,Gemini,0.0569,0.4783
ankara,309.47,Aquarius,0.0149,0.5789
anniversaries,129.48,Leo,0.0503,0.6842
antalya,129.64,Leo,0.0204,0.6667
anthropology,285.99,Capricorn,0.0248,0.7619
antigua,88.61,Gemini,0.0357,0.4737
antiperspirants,198.8,Libra,0.0282,0.5556
antiques,0.51,Aries,0.07,0.7143
antivirus,71.77,Gemini,0.0617,0.4667
anxiety,2.54,Aries,0.0395,0.6667
aomori,214.35,Scorpio,0.0336,0.55
aosta valley,192.08,Libra,0.1723,0.4091
apparel,236.43,Scorpio,0.005,0.4
apple ios,198.75,Libra,0.1033,0.8
appraisals,294.3,Capricorn,0.0709,0.75
aquaculture,356.82,Pisces,0.0432,0.4783
aquaria,112.99,Cancer,0.0805,0.5
aquariums,24.38,Aries,0.0367,0.5
aquitaine,335.94,Pisces,0.0488,0.6316
arcade,54.11,Taurus,0.0868,0.6875
archaeology,328.67,Aquarius,0.02,0.5333
architecture,314.81,Aquarius,0.0676,0.5909
argentina,168.57,Virgo,0.0591,0.7778
arizona,318.47,Aquarius,0.0656,0.6667
arkansas,245.61,Sagittarius,0.0512,0.7
armenia,222.89,Scorpio,0.0483,0.9091
army,94.63,Cancer,0.0315,0.6957
art,200.51,Libra,0.0042,0.5652
art museums,314.13,Aquarius,0.1211,0.3636
arthritis,43.59,Taurus,0.0344,0.6818
artificial intelligence,304.88,Aquarius,0.0836,0.8095
arts,100.14,Cancer,0.0584,0.5652
aruba,10.54,Aries,0.0448,0.6818
asia,293.48,Capricorn,0.0862,0.4
asmr videos,177.11,Virgo,0.0989,0.6957
asset,345.85,Pisces,0.0559,0.6957
assisted living,247.97,Sagittarius,0.0538,0.5217
assistive technology,43.15,Taurus,0.0369,0.6
asthma,310.42,Aquarius,0.0717,0.7727
astrology,67.01,Gemini,0.0344,0.5909
astronomy,105.84,Cancer,0.0369,0.5238
asturias,251.02,Sagittarius,0.0316,0.75
athleisure,182.2,Libra,0.1265,0.5789
athletic apparel,17.43,Aries,0.0822,0.25
athletic shoes,120.86,Leo,0.0435,0.3182
atlanta,25.55,Aries,0.046,0.5714
atlantic city,95.18,Cancer,0.0395,0.5238
atlantic provinces,105.89,Cancer,0.0796,0.625
atmospheric science,250.83,Sagittarius,0.1115,0.6957
atms,214.83,Scorpio,0.0198,0.5455
auckland,303.26,Aquarius,0.0679,0.4706
auctions,329.87,Aquarius,0.0428,0.6364
audi,324.01,Aquarius,0.0624,0.7368
audio,146.92,Leo,0.0202,0.5714
audio equipment,280.26,Capricorn,0.0749,0.5
audio file formats,351.22,Pisces,0.0886,0.75
audiobooks,359.66,Pisces,0.0236,0.7368
auditing,326.86,Aquarius,0.0527,0.6522
augmented,309.09,Aquarius,0.0317,0.6957
australia,76.67,Gemini,0.0231,0.7619
austria,137.05,Leo,0.1261,0.8125
autism spectrum disorders,140.1,Leo,0.0718,0.3333
auto batteries,300.13,Aquarius,0.0417,0.5263
auto body repair,41.79,Taurus,0.0213,0.4737
auto brakes,93.36,Cancer,0.1359,0.5238
auto exterior,13.41,Aries,0.0057,0.6364
auto financing,58.25,Taurus,0.1095,0.6522
auto glass repair,155.89,Virgo,0.1046,0.5833
auto insurance,142.54,Leo,0.032,0.55
auto interior,39.18,Taurus,0.0546,0.5217
auto leasing,291.38,Capricorn,0.0345,0.5714
auto racing,235.49,Scorpio,0.0212,0.619
automotive industry,267.86,Sagittarius,0.0729,0.5909
autonomous vehicles,62.0,Gemini,0.0594,0.7143
autos,142.24,Leo,0.0539,0.85
aviation industry,326.32,Aquarius,0.0995,0.5217
azores,72.71,Gemini,0.0411,0.6842
b,35.39,Taurus,0.0084,0.7
babies,190.17,Libra,0.0516,0.6
baby,221.89,Scorpio,0.0195,0.625
baby care,146.05,Leo,0.0368,0.4737
baby feeding,64.42,Gemini,0.0425,0.4091
baby food,85.83,Gemini,0.1078,0.7391
baby formula,336.29,Pisces,0.0194,0.6316
baby safety,106.55,Cancer,0.0853,0.619
baby strollers,51.11,Taurus,0.0696,0.5294
bachelor,339.66,Pisces,0.1063,0.55
bachelorette parties,20.16,Aries,0.0947,0.3846
backpacks,183.48,Libra,0.1379,0.7917
badminton,223.12,Scorpio,0.0572,0.6667
bahamas,343.62,Pisces,0.0462,0.3529
bahia,200.51,Libra,0.0354,0.625
bahrain,68.36,Gemini,0.0316,0.6087
baja california,72.96,Gemini,0.029,0.7143
baked goods,231.35,Scorpio,0.1104,0.4737
bakeries,335.96,Pisces,0.0198,0.5217
balearic islands,75.54,Gemini,0.0774,0.4348
bali,323.76,Aquarius,0.042,0.5417
ballet,290.61,Capricorn,0.0466,0.8
baltics,24.82,Aries,0.0684,0.4348
baltimore metro,291.37,Capricorn,0.0046,0.5238
bandung,244.82,Sagittarius,0.0528,0.4762
bangalore,60.51,Gemini,0.0735,0.6957
