topic,phase,sign,arm,dir_acc_test
3d printers,30.4,Taurus,persist,1.0
abruzzo,160.55,Virgo,persist,1.0
abstract strategy games,160.55,Virgo,persist,1.0
abu dhabi,350.54,Pisces,snaive,0.6667
academic conferences,160.55,Virgo,persist,1.0
acapulco,176.24,Virgo,vote3,0.875
accessories,30.4,Taurus,persist,1.0
accident,241.0,Sagittarius,persist,0.4583
accommodations,37.05,Taurus,persist,1.0
accounting,30.4,Taurus,persist,1.0
acne,30.4,Taurus,persist,1.0
acquisitions,218.3,Scorpio,persist,1.0
acting,30.4,Taurus,persist,1.0
action,30.4,Taurus,persist,1.0
action cameras,218.59,Scorpio,persist,0.625
action figures,30.4,Taurus,persist,1.0
activities,30.4,Taurus,persist,1.0
acupuncture,30.4,Taurus,persist,1.0
acura,30.4,Taurus,persist,1.0
adana,160.55,Virgo,persist,1.0
add,30.4,Taurus,persist,1.0
add-ons,30.4,Taurus,persist,1.0
adelaide,4.52,Aries,vote3,0.75
adhd,30.4,Taurus,persist,1.0
adhesives,160.55,Virgo,persist,1.0
administrative jobs,160.55,Virgo,persist,1.0
admissions tests,160.55,Virgo,persist,0.9583
adoption,30.4,Taurus,persist,1.0
adventure films,30.4,Taurus,persist,1.0
adventure games,30.4,Taurus,persist,1.0
adventure travel,30.4,Taurus,persist,1.0
advertising,160.55,Virgo,persist,1.0
advocacy,355.73,Pisces,persist,1.0
aegean islands,143.74,Leo,vote3,0.5833
aegean turkey,160.55,Virgo,persist,1.0
aerospace,30.4,Taurus,persist,1.0
affiliate programs,142.1,Leo,persist,1.0
afghanistan,163.19,Virgo,persist,0.9583
africa,160.55,Virgo,persist,1.0
african music,30.4,Taurus,persist,1.0
african-americans,160.55,Virgo,persist,1.0
africans,30.4,Taurus,persist,1.0
aftermarket auto parts,160.55,Virgo,persist,1.0
aging,30.4,Taurus,persist,1.0
agra,30.4,Taurus,persist,1.0
agricultural equipment,197.26,Libra,persist,0.7917
agriculture,30.4,Taurus,persist,1.0
agritourism,316.5,Aquarius,snaive,0.5833
agrochemicals,160.55,Virgo,persist,0.9167
ahmedabad,160.55,Virgo,persist,0.9167
aichi,82.23,Gemini,persist,0.6667
aids,282.92,Capricorn,persist,1.0
air conditioners,168.21,Virgo,snaive,0.9167
air filters,30.4,Taurus,persist,1.0
air force,30.4,Taurus,persist,1.0
air freight,30.4,Taurus,persist,1.0
air travel,335.8,Pisces,persist,1.0
airport parking,160.55,Virgo,persist,1.0
akita,30.4,Taurus,persist,1.0
alabama,160.55,Virgo,persist,0.9583
alagoas,30.4,Taurus,persist,1.0
alaska,30.4,Taurus,persist,1.0
albania,160.55,Virgo,persist,0.4583
alberta,68.01,Gemini,persist,0.4167
albuquerque-santa fe,160.55,Virgo,persist,1.0
alcohol testing,160.55,Virgo,persist,0.8333
alcohol treatment,30.4,Taurus,persist,1.0
alfa romeo,30.4,Taurus,persist,0.8333
algarve,148.07,Leo,vote3,0.625
algeria,160.55,Virgo,persist,1.0
alicante,198.84,Libra,persist,1.0
allergies,107.94,Cancer,persist,0.8333
alsace,160.55,Virgo,persist,1.0
alternative,30.4,Taurus,persist,1.0
alternative energy,160.55,Virgo,persist,1.0
alternative music,304.69,Aquarius,vote3,0.75
alternative vehicles,160.55,Virgo,persist,0.9583
alumni,160.55,Virgo,persist,1.0
alzheimer's disease,30.4,Taurus,persist,1.0
amalfi coast,135.91,Leo,persist,1.0
amateur,160.55,Virgo,persist,1.0
amazonas,221.36,Scorpio,persist,1.0
american football,160.55,Virgo,persist,1.0
american football equipment,171.38,Virgo,persist,0.7917
amphibians,30.4,Taurus,persist,1.0
amsterdam,296.72,Capricorn,persist,0.9583
analytics,30.4,Taurus,persist,1.0
anatomy,30.4,Taurus,persist,1.0
ancestry,31.04,Taurus,persist,0.8333
andalucia,54.94,Taurus,vote3,0.7917
andhra pradesh,34.2,Taurus,persist,1.0
andorra,335.09,Pisces,persist,1.0
android apps,30.4,Taurus,persist,1.0
android os,30.4,Taurus,persist,1.0
angola,160.55,Virgo,persist,0.9583
anhui,160.55,Virgo,persist,0.9583
animal products,61.74,Gemini,persist,1.0
animal sports,160.55,Virgo,persist,0.9167
animal welfare,262.11,Sagittarius,snaive,0.6667
animals,198.73,Libra,persist,1.0
animated films,30.4,Taurus,persist,1.0
animated gifs,160.55,Virgo,persist,1.0
animation,30.4,Taurus,persist,1.0
animation software,30.4,Taurus,persist,1.0
anime,30.4,Taurus,persist,1.0
ankara,351.71,Pisces,persist,0.5417
anniversaries,130.93,Leo,vote3,0.9167
antalya,352.22,Pisces,persist,0.9167
anthropology,30.4,Taurus,persist,1.0
anti-aging skin care products,160.55,Virgo,persist,0.9167
antigua,30.4,Taurus,persist,1.0
antiperspirants,160.55,Virgo,persist,0.875
antiques,30.4,Taurus,persist,1.0
antivirus,30.4,Taurus,persist,0.875
anxiety,82.61,Gemini,persist,0.7917
aomori,243.09,Sagittarius,persist,0.9583
aosta valley,160.55,Virgo,persist,1.0
apparel,291.93,Capricorn,persist,0.5417
apparel services,160.55,Virgo,persist,1.0
apple ios,225.08,Scorpio,snaive,0.9167
appraisals,160.55,Virgo,persist,0.7083
aquaculture,30.4,Taurus,persist,1.0
aquaria,171.3,Virgo,persist,1.0
aquariums,30.4,Taurus,persist,0.1667
aquitaine,53.82,Taurus,persist,0.9583
arabs,160.55,Virgo,persist,1.0
aragon,160.55,Virgo,persist,1.0
arcade,65.88,Gemini,persist,0.9583
archaeology,160.55,Virgo,persist,0.875
architecture,30.4,Taurus,persist,1.0
argentina,172.08,Virgo,snaive,0.75
arizona,30.4,Taurus,persist,1.0
arkansas,253.54,Sagittarius,persist,1.0
armchairs,160.55,Virgo,persist,1.0
armenia,243.09,Sagittarius,persist,1.0
army,30.4,Taurus,persist,1.0
art,30.4,Taurus,persist,1.0
art museums,160.55,Virgo,persist,0.7917
arthritis,30.4,Taurus,persist,1.0
artificial intelligence,30.4,Taurus,persist,1.0
arts,30.4,Taurus,persist,1.0
aruba,347.76,Pisces,persist,1.0
asia,335.33,Pisces,snaive,0.625
asians,298.06,Capricorn,persist,1.0
asmr videos,30.4,Taurus,persist,1.0
asset,30.4,Taurus,persist,1.0
assisted living,331.73,Pisces,persist,0.9583
assistive technology,127.12,Leo,persist,0.9167
asthma,30.4,Taurus,persist,1.0
astrology,30.4,Taurus,persist,1.0
astronomy,30.4,Taurus,persist,1.0
asturias,218.3,Scorpio,persist,1.0
athens,160.55,Virgo,persist,1.0
athleisure,7.16,Aries,persist,0.9583
athletic apparel,160.55,Virgo,persist,1.0
athletic shoes,160.55,Virgo,persist,1.0
atlanta,30.4,Taurus,persist,1.0
atlantic city,137.51,Leo,persist,1.0
atlantic provinces,272.29,Capricorn,persist,0.1667
atmospheric science,10.45,Aries,persist,1.0
atms,30.4,Taurus,persist,1.0
auckland,46.38,Taurus,persist,0.9583
auctions,30.4,Taurus,persist,1.0
audi,30.4,Taurus,persist,1.0
audio,30.4,Taurus,persist,1.0
audio equipment,30.4,Taurus,persist,1.0
audio file formats,7.54,Aries,persist,0.9167
audio shopping,160.55,Virgo,persist,1.0
audiobooks,54.12,Taurus,persist,1.0
auditing,44.09,Taurus,persist,1.0
augmented,24.91,Aries,persist,0.4583
australia,30.4,Taurus,persist,1.0
australian football,160.55,Virgo,persist,1.0
austria,184.86,Libra,vote3,0.9167
autism spectrum disorders,160.55,Virgo,persist,1.0
auto batteries,160.55,Virgo,persist,1.0
auto body repair,273.56,Capricorn,vote3,0.6667
auto brakes,160.55,Virgo,persist,1.0
auto exterior,30.4,Taurus,persist,1.0
auto financing,21.57,Aries,persist,0.9167
auto glass repair,77.62,Gemini,persist,0.2917
auto insurance,160.55,Virgo,persist,0.8333
auto interior,30.4,Taurus,persist,1.0
auto leasing,9.55,Aries,persist,1.0
auto racing,160.55,Virgo,persist,0.7917
automotive electronic components,160.55,Virgo,persist,1.0
automotive industry,30.4,Taurus,persist,1.0
autonomous vehicles,127.12,Leo,persist,0.6667
autos,30.4,Taurus,persist,1.0
auvergne,160.55,Virgo,persist,1.0
aviation industry,37.74,Taurus,persist,1.0
azerbaijan,160.55,Virgo,persist,1.0
azores,30.4,Taurus,persist,1.0
b,30.4,Taurus,persist,1.0
babies,30.4,Taurus,persist,1.0
baby,30.4,Taurus,persist,1.0
baby care,30.4,Taurus,persist,1.0
baby feeding,30.4,Taurus,persist,1.0
baby food,30.4,Taurus,persist,1.0
baby formula,30.4,Taurus,persist,1.0
baby safety,126.6,Leo,persist,0.875
baby showers,160.55,Virgo,persist,1.0
baby strollers,214.16,Scorpio,persist,1.0
bachelor,34.2,Taurus,persist,1.0
bachelorette parties,160.55,Virgo,persist,1.0
backpacks,30.4,Taurus,persist,1.0
badminton,347.05,Pisces,vote3,1.0
bahamas,180.14,Libra,persist,0.0
bahia,30.4,Taurus,persist,1.0
bahrain,217.55,Scorpio,persist,0.6667
baja california,160.55,Virgo,persist,1.0
baked goods,48.55,Taurus,persist,0.6667
bakeries,30.4,Taurus,persist,1.0
balearic islands,136.6,Leo,persist,1.0
bali,30.4,Taurus,persist,1.0
ballet,36.87,Taurus,persist,1.0
baltics,207.99,Libra,snaive,1.0
baltimore metro,160.55,Virgo,persist,1.0
bandung,30.4,Taurus,persist,1.0
bangalore,30.4,Taurus,persist,1.0
bangkok,274.71,Capricorn,persist,1.0
bangladesh,30.4,Taurus,persist,1.0
banking,30.4,Taurus,persist,1.0
bankruptcy,160.55,Virgo,persist,1.0
barbados,79.04,Gemini,persist,1.0
barbecues,149.65,Leo,snaive,0.7917
barbuda,160.55,Virgo,persist,1.0
barcelona,354.47,Pisces,persist,0.7917
bari,30.4,Taurus,persist,1.0
bars,30.4,Taurus,persist,0.5833
baseball,143.64,Leo,snaive,0.9583
basilicata,160.55,Virgo,persist,1.0
basketball,12.87,Aries,vote3,0.8333
basketball equipment,30.8,Taurus,persist,1.0
basque country,118.29,Cancer,persist,0.9167
bath,30.4,Taurus,persist,1.0
bathroom,30.4,Taurus,persist,1.0
baton rouge,160.55,Virgo,persist,1.0
battle royale games,30.4,Taurus,persist,1.0
bavaria,107.38,Cancer,persist,1.0
bbq,30.4,Taurus,persist,1.0
beaches,87.65,Gemini,persist,1.0
beauty,30.4,Taurus,persist,0.1667
beauty pageants,160.55,Virgo,persist,1.0
beauty professionals,66.62,Gemini,persist,1.0
beauty services,163.19,Virgo,persist,1.0
bed,127.12,Leo,persist,0.9167
bed linens,160.55,Virgo,persist,1.0
bedding,30.4,Taurus,persist,1.0
bedroom,30.4,Taurus,persist,1.0
beds,116.32,Cancer,persist,1.0
beef,30.4,Taurus,persist,1.0
beijing,160.55,Virgo,persist,1.0
belarus,179.62,Virgo,persist,1.0
belgium,174.82,Virgo,vote3,1.0
belief,0.95,Aries,persist,0.9167
belize,30.4,Taurus,persist,1.0
belo horizonte,351.64,Pisces,persist,0.9583
benefits,30.4,Taurus,persist,1.0
benelux,160.55,Virgo,persist,1.0
bentley,160.55,Virgo,persist,1.0
berlin,210.79,Scorpio,persist,1.0
bermuda,30.4,Taurus,persist,0.5833
beverages,30.4,Taurus,persist,1.0
bhutan,30.4,Taurus,persist,1.0
bicycles,160.55,Virgo,persist,1.0
big island (hawaii),160.55,Virgo,persist,0.9583
bihar,76.93,Gemini,persist,1.0
bike accessories,30.4,Taurus,persist,1.0
bike frames,144.63,Leo,vote3,0.5833
bike helmets,115.3,Cancer,persist,0.5833
bike parts,30.4,Taurus,persist,1.0
bike rentals,197.26,Libra,persist,1.0
bilbao,189.65,Libra,persist,0.9583
billiards,316.89,Aquarius,persist,1.0
billing,30.4,Taurus,persist,1.0
binoculars,311.75,Aquarius,persist,1.0
biographies,30.4,Taurus,persist,1.0
biological sciences,311.36,Aquarius,persist,0.9583
biotech,30.4,Taurus,persist,1.0
birds,30.4,Taurus,persist,1.0
birdwatching,160.55,Virgo,persist,0.4167
birmingham (al),107.07,Cancer,persist,0.5417
birmingham (uk),163.19,Virgo,persist,0.9583
birth control,30.4,Taurus,persist,1.0
birthdays,30.4,Taurus,persist,0.9583
bisexual,30.4,Taurus,persist,1.0
bizarre,160.55,Virgo,persist,1.0
black sea turkey,155.45,Virgo,persist,1.0
blackberry os,160.55,Virgo,persist,1.0
blenders,82.19,Gemini,persist,0.9583
blindness,160.55,Virgo,persist,1.0
blogging resources,160.55,Virgo,persist,0.9583
blood conditions,160.55,Virgo,persist,1.0
blood sugar,107.07,Cancer,persist,0.9167
blu-ray players,160.55,Virgo,persist,1.0
blues,215.18,Scorpio,vote3,0.5833
bluetooth accessories,346.82,Pisces,snaive,0.5417
bmw,30.4,Taurus,persist,1.0
bmx bikes,160.55,Virgo,persist,1.0
board games,30.4,Taurus,persist,1.0
boating,154.36,Virgo,snaive,0.6667
boats,160.55,Virgo,persist,1.0
bodrum,160.55,Virgo,persist,1.0
body art,160.55,Virgo,persist,0.8333
body care,160.55,Virgo,persist,1.0
body mounted,16.8,Aries,persist,0.8333
body products,30.4,Taurus,persist,1.0
body soaps,255.38,Sagittarius,persist,0.75
body sprays,61.21,Gemini,snaive,0.5417
bodybuilding,250.02,Sagittarius,snaive,0.25
bogota,163.24,Virgo,persist,0.9583
bolivia,30.4,Taurus,persist,0.9583
bollywood,30.4,Taurus,persist,1.0
bollywood music,30.4,Taurus,persist,1.0
bologna,197.37,Libra,persist,0.9167
bonaire,46.38,Taurus,persist,0.875
bonds,160.55,Virgo,persist,0.7083
book retailers,160.55,Virgo,persist,1.0
bookkeeping,30.4,Taurus,persist,1.0
books,30.4,Taurus,persist,1.0
boots,311.17,Aquarius,persist,0.625
bora bora,30.4,Taurus,persist,1.0
bordeaux,160.55,Virgo,persist,1.0
