horizon,acc_model,acc_snaive,acc_always_rise,n_scored
1,0.4889753566796368,0.5810635538261998,0.4974059662775616,1542
2,0.4922879177377892,0.5661953727506427,0.4832904884318766,1556
3,0.5003174603174603,0.6126984126984127,0.5593650793650794,1575
4,0.5835922933499068,0.6239900559353636,0.3747669359850839,1609
5,0.4597846738442052,0.5446485117162762,0.6276124129195694,1579
6,0.5636704119850188,0.6504369538077404,0.3533083645443196,1602
7,0.47256857855361595,0.6209476309226932,0.6109725685785536,1604
8,0.5210997442455243,0.6023017902813299,0.5057544757033248,1564
9,0.4932475884244373,0.5762057877813505,0.4482315112540193,1555
10,0.5056962025316456,0.5613924050632911,0.5082278481012659,1580
11,0.5602027883396705,0.6026615969581749,0.5221799746514575,1578
12,0.493167701863354,0.568944099378882,0.46956521739130436,1610
13,0.4925,0.5875,0.429375,1600
14,0.5111548556430446,0.5688976377952756,0.5479002624671916,1524
15,0.5363408521303258,0.5733082706766918,0.6021303258145363,1596
16,0.5068836045056321,0.5894868585732165,0.41802252816020025,1598
17,0.4968671679197995,0.5626566416040101,0.5507518796992481,1596
18,0.5144291091593476,0.6016311166875784,0.4560853199498118,1594
19,0.44350961538461536,0.6057692307692307,0.6977163461538461,1664
20,0.4924288310115082,0.5869170199878861,0.36826165960024226,1651
21,0.523689197725837,0.5919140871762476,0.46304485154769426,1583
22,0.5112359550561798,0.5655430711610487,0.5474406991260924,1602
23,0.51625,0.561875,0.54,1600
24,0.5213032581453634,0.5939849624060151,0.4367167919799499,1596
