arm,auc,acc_h1,acc_mean,acc_h24
wclim_g1.0,0.5761,0.5481,0.5751,0.5562
wclim_g0.9,0.5864,0.5481,0.5854,0.575
wclim_g0.8,0.587,0.5417,0.5857,0.5688
wclim_g0.7,0.5845,0.5288,0.5828,0.5625
wclim_g0.5,0.5798,0.5353,0.5777,0.5219
wclim_g0.3,0.5722,0.5417,0.57,0.5
wclim_val-pick,0.5921,0.5609,0.591,0.5719
perlamp_g0.8,0.5369,0.484,0.5369,0.5875
ref_snaive,0.5916,0.5577,0.5909,0.5906
ref_climatology,0.5761,0.5481,0.5751,0.5562
ref_always_rise,0.4963,0.5321,0.4951,0.4031
perlamp_g0.8+vote,0.5876,0.5481,0.5865,0.5719
