arm,median_val,median_test,clamped_mean_test,frac_test_pos
spec w=const f=const,0.10746899606625016,-1.5023786496385552,1.7373763505543898,0.06806282722513089
spec w=const f=normal0.25,0.09869959238419523,-1.7264591397308378,1.2170215954419972,0.06282722513089005
spec w=const f=normal0.75,0.10356269127753603,-1.7764432483588308,1.0813951747940915,0.05759162303664921
spec w=const f=uniform,0.0943040038267533,-1.8573152121674026,0.7368373683956325,0.05759162303664921
spec w=normal0.05 f=const,0.09744409286086975,-1.8857113874523619,1.9691848468083897,0.07329842931937172
spec w=normal0.05 f=normal0.25,0.1212922746923405,-1.5175429878165558,2.260159245935837,0.08900523560209424
spec w=normal0.05 f=normal0.75,0.1417197528417813,-1.9568808476113668,1.8585127367753351,0.07853403141361257
spec w=normal0.05 f=uniform,0.1072015163072445,-2.1790206471464884,1.1340894905946153,0.06806282722513089
spec w=normal0.2 f=const,0.07356232017045117,-1.4794756146860437,1.1537249425509197,0.05759162303664921
spec w=normal0.2 f=normal0.25,0.11223488032472606,-2.2945998720032064,1.1272944896368906,0.06282722513089005
spec w=normal0.2 f=normal0.75,0.1269988845293485,-1.9468465989693815,1.9243480038705973,0.07329842931937172
spec w=normal0.2 f=uniform,0.09301345119126969,-2.410769638408812,0.9149615486374996,0.04712041884816754
spec w=normal0.5 f=const,0.10664207008238802,-1.492395386644151,1.376711690847237,0.06806282722513089
spec w=normal0.5 f=normal0.25,0.1214732736705102,-1.4804746823973791,0.7389724713825079,0.04712041884816754
spec w=normal0.5 f=normal0.75,0.14804585223890177,-2.0556801159075104,0.7160535277830816,0.04712041884816754
spec w=normal0.5 f=uniform,0.06372199509503162,-2.1518127120776263,0.7317939950388999,0.06282722513089005
spec+intercept,0.10787116316720313,-1.7654387237066618,0.6605197978103957,0.04712041884816754
spec+trend,0.08029645272805519,-2.2559918922122804,2.9228642023958415,0.1256544502617801
spec+trend+wd3e-3,-0.16558361538932642,-3.0706878438202496,0.6272569884214464,0.07329842931937172
spec+trend+wd3e-2,-0.1707695907761555,-2.9542704055219318,0.641958407627101,0.06806282722513089
spec+recency-loss,0.1114853989738509,-1.6253282143807306,1.4482145156903448,0.08376963350785341
spec+intercept+recency,0.1083665735404099,-1.8157116529292532,1.5501388048169424,0.06806282722513089
spec+int+trend+recency,0.10666200029420914,-1.75703463754459,1.4224261680397947,0.08376963350785341
level-only,,-0.7490307328605201,0.0,0.0
nowcast+harmonic,,-0.9355526554981362,1.4582156332429521,0.09424083769633508
nowcast+sinc,-0.3738032538570364,-0.8872601940790545,2.2050901843576503,0.09424083769633508
prune 12->8,0.1390473416071346,-1.2841274301659333,2.0355650834793586,0.07329842931937172
prune 12->6,0.15899661881572502,-1.1343158891531742,0.927600710011582,0.041884816753926704
prune 12->4,0.15434731589461625,-1.3522526105421502,0.9566324650154983,0.06282722513089005
prune 12->2,0.04951558041684112,-1.6632532065996357,0.9777716287475526,0.05235602094240838
prune 12->8->4,0.16639424086589372,-1.2881911417998104,1.0581591052398258,0.05235602094240838
