model,phase
"gauss (Δ-fit, shared p)",224.7
"gauss (Δ-fit, shared p)",194.39
"gauss (Δ-fit, shared p)",104.49
"gauss (Δ-fit, shared p)",74.41
"gauss (Δ-fit, shared p)",46.34
"gauss (Δ-fit, shared p)",255.3
"gauss (Δ-fit, shared p)",125.02
"gauss (Δ-fit, shared p)",208.87
"gauss (Δ-fit, shared p)",345.1
"gauss (Δ-fit, shared p)",45.45
"gauss (Δ-fit, shared p)",91.31
"gauss (Δ-fit, shared p)",351.27
"gauss (Δ-fit, shared p)",359.5
"gauss (Δ-fit, shared p)",100.67
"gauss (Δ-fit, shared p)",284.23
"gauss (Δ-fit, shared p)",150.78
"gauss (Δ-fit, shared p)",203.25
"gauss (Δ-fit, shared p)",224.1
"gauss (Δ-fit, shared p)",75.38
"gauss (Δ-fit, shared p)",313.33
"gauss (Δ-fit, shared p)",262.51
"gauss (Δ-fit, shared p)",314.64
"gauss (Δ-fit, shared p)",254.79
"gauss (Δ-fit, shared p)",255.16
"gauss (Δ-fit, shared p)",146.46
"gauss (Δ-fit, shared p)",332.57
"gauss (Δ-fit, shared p)",317.88
"gauss (Δ-fit, shared p)",167.73
"gauss (Δ-fit, shared p)",154.18
"gauss (Δ-fit, shared p)",314.18
"gauss (Δ-fit, shared p)",50.71
"gauss (Δ-fit, shared p)",59.01
"gauss (Δ-fit, shared p)",286.43
"gauss (Δ-fit, shared p)",58.19
"gauss (Δ-fit, shared p)",123.07
"gauss (Δ-fit, shared p)",14.48
"gauss (Δ-fit, shared p)",163.75
"gauss (Δ-fit, shared p)",287.87
"gauss (Δ-fit, shared p)",315.23
"gauss (Δ-fit, shared p)",194.45
"gauss (Δ-fit, shared p)",77.8
"gauss (Δ-fit, shared p)",45.34
"gauss (Δ-fit, shared p)",90.83
"gauss (Δ-fit, shared p)",254.22
"gauss (Δ-fit, shared p)",159.24
"gauss (Δ-fit, shared p)",77.01
"gauss (Δ-fit, shared p)",15.25
"gauss (Δ-fit, shared p)",94.36
"gauss (Δ-fit, shared p)",345.52
"gauss (Δ-fit, shared p)",44.77
"gauss (Δ-fit, shared p)",90.96
"gauss (Δ-fit, shared p)",45.29
"gauss (Δ-fit, shared p)",286.34
"gauss (Δ-fit, shared p)",331.88
"gauss (Δ-fit, shared p)",296.23
"gauss (Δ-fit, shared p)",148.82
"gauss (Δ-fit, shared p)",336.92
"gauss (Δ-fit, shared p)",45.23
"gauss (Δ-fit, shared p)",164.32
"gauss (Δ-fit, shared p)",74.42
"gauss (Δ-fit, shared p)",233.21
"gauss (Δ-fit, shared p)",284.07
"gauss (Δ-fit, shared p)",268.4
