topic,phase,sign,peak_month,dominant_planet,sun_share,phase_stable,dir_acc_test
3d printers,190.0,Libra,Nov,sun,0.687,1,0.7826
abruzzo,135.0,Leo,Sep,sun,0.873,1,
abstract strategy games,230.0,Scorpio,Dec,sun,1.0,1,
abu dhabi,190.0,Libra,Nov,sun,0.845,1,0.619
academic conferences,225.0,Scorpio,Dec,sun,1.0,1,0.5
acapulco,320.0,Aquarius,Mar,sun,0.879,1,0.3
accessories,215.0,Scorpio,Dec,sun,0.831,1,0.619
accident,90.0,Cancer,Jul,sun,0.968,1,0.5
accommodations,270.0,Capricorn,Jan,sun,1.0,1,0.4545
accounting,135.0,Leo,Sep,sun,0.814,1,0.5
acne,260.0,Sagittarius,Jan,sun,0.996,1,0.619
acquisitions,135.0,Leo,Sep,sun,0.877,1,0.7647
acting,260.0,Sagittarius,Jan,sun,0.966,1,0.3913
action,260.0,Sagittarius,Jan,sun,0.861,1,0.75
action cameras,200.0,Libra,Nov,sun,0.984,1,0.5455
action figures,215.0,Scorpio,Dec,sun,0.808,1,0.7826
activities,280.0,Capricorn,Feb,sun,0.809,1,0.7391
acupuncture,260.0,Sagittarius,Jan,sun,0.861,1,0.6087
acura,265.0,Sagittarius,Jan,sun,0.914,1,0.5882
adana,220.0,Scorpio,Dec,sun,0.706,1,0.5294
add,235.0,Scorpio,Dec,sun,0.996,1,0.55
add-ons,220.0,Scorpio,Dec,sun,0.838,1,0.5
adelaide,235.0,Scorpio,Dec,sun,0.963,1,0.5882
adhd,150.0,Virgo,Sep,sun,0.86,1,0.6087
adhesives,190.0,Libra,Nov,sun,0.965,1,0.6111
administrative jobs,255.0,Sagittarius,Jan,sun,0.675,1,0.6
admissions tests,200.0,Libra,Nov,sun,0.896,1,0.25
adoption,195.0,Libra,Nov,sun,0.979,1,0.6
adventure films,330.0,Pisces,Mar,sun,0.995,1,0.6842
adventure games,225.0,Scorpio,Dec,sun,0.932,1,0.6667
adventure travel,260.0,Sagittarius,Jan,sun,0.908,1,0.5417
advertising,135.0,Leo,Sep,sun,0.796,1,0.5625
advocacy,145.0,Leo,Sep,sun,0.854,1,0.7083
aegean islands,55.0,Taurus,Jun,sun,0.533,1,0.5
aegean turkey,35.0,Taurus,May,sun,0.936,1,0.375
aerospace,270.0,Capricorn,Jan,sun,0.996,1,0.4091
affiliate programs,260.0,Sagittarius,Jan,sun,0.869,1,0.375
afghanistan,130.0,Leo,Sep,sun,0.707,1,0.35
africa,280.0,Capricorn,Feb,sun,0.886,1,0.6667
african music,30.0,Aries,May,sun,0.995,1,0.5625
african-americans,275.0,Capricorn,Jan,sun,0.81,1,0.5789
africans,315.0,Aquarius,Mar,sun,0.977,1,0.5714
aftermarket auto parts,160.0,Virgo,Oct,sun,1.0,1,0.8571
aging,265.0,Sagittarius,Jan,sun,0.959,1,0.5652
agra,280.0,Capricorn,Feb,sun,0.997,1,0.5238
agricultural equipment,355.0,Pisces,Apr,sun,0.668,1,0.5
agriculture,265.0,Sagittarius,Jan,sun,0.905,1,0.7826
agritourism,290.0,Capricorn,Feb,sun,0.988,1,0.5833
agrochemicals,210.0,Scorpio,Nov,sun,0.907,1,0.5455
ahmedabad,150.0,Virgo,Sep,sun,0.991,1,0.4118
aichi,350.0,Pisces,Apr,sun,0.975,1,0.3125
aids,205.0,Libra,Nov,sun,0.852,1,0.7
air conditioners,330.0,Pisces,Mar,sun,0.779,1,0.7391
air filters,65.0,Gemini,Jun,sun,0.836,1,0.4167
air force,80.0,Gemini,Jul,sun,0.847,1,0.5714
air freight,310.0,Aquarius,Mar,sun,0.855,1,0.5417
air travel,265.0,Sagittarius,Jan,sun,0.932,1,0.5238
airport parking,80.0,Gemini,Jul,sun,0.794,1,0.6111
akita,260.0,Sagittarius,Jan,sun,0.895,1,0.5263
alabama,200.0,Libra,Nov,sun,0.997,1,0.6667
alagoas,260.0,Sagittarius,Jan,sun,0.883,1,0.5
alaska,200.0,Libra,Nov,sun,0.844,1,0.5263
albania,145.0,Leo,Sep,sun,0.862,1,0.5217
alberta,260.0,Sagittarius,Jan,sun,0.995,1,0.9
albuquerque-santa fe,100.0,Cancer,Aug,mercury,0.398,1,
alcohol testing,190.0,Libra,Nov,sun,0.973,1,0.4583
alcohol treatment,295.0,Capricorn,Feb,sun,0.971,1,0.4091
alfa romeo,265.0,Sagittarius,Jan,sun,0.892,1,0.4667
algarve,275.0,Capricorn,Jan,sun,0.803,1,0.85
algeria,40.0,Taurus,Jun,sun,0.99,1,0.875
alicante,335.0,Pisces,Mar,sun,0.85,1,0.7778
allergies,335.0,Pisces,Mar,sun,0.806,1,0.55
alsace,165.0,Virgo,Oct,sun,0.897,1,0.7857
alternative,110.0,Cancer,Aug,sun,0.972,1,0.5263
alternative energy,145.0,Leo,Sep,sun,0.877,1,0.5
alternative music,265.0,Sagittarius,Jan,sun,0.992,1,0.4737
alternative vehicles,320.0,Aquarius,Mar,mercury,0.328,1,0.4667
alumni,95.0,Cancer,Aug,sun,0.852,1,0.3125
alzheimer's disease,135.0,Leo,Sep,sun,0.81,1,0.8636
amalfi coast,260.0,Sagittarius,Jan,sun,0.862,1,0.6087
amateur,240.0,Scorpio,Dec,sun,0.67,1,0.4
amazonas,265.0,Sagittarius,Jan,sun,0.808,1,0.55
american football,270.0,Capricorn,Jan,sun,0.811,1,0.8
american football equipment,15.0,Aries,May,sun,0.848,1,1.0
amphibians,140.0,Leo,Sep,sun,0.876,1,0.8182
amsterdam,260.0,Sagittarius,Jan,sun,0.905,1,0.4706
analytics,270.0,Capricorn,Jan,sun,0.779,1,0.5909
anatomy,140.0,Leo,Sep,sun,0.8,1,0.6875
ancestry,205.0,Libra,Nov,sun,0.986,1,0.8
andalucia,285.0,Capricorn,Feb,sun,0.839,1,0.7222
andhra pradesh,260.0,Sagittarius,Jan,sun,0.998,1,0.4762
andorra,30.0,Aries,May,sun,0.802,1,0.5909
android apps,45.0,Taurus,Jun,sun,0.709,1,0.6316
android os,260.0,Sagittarius,Jan,sun,0.969,1,0.7778
angola,260.0,Sagittarius,Jan,sun,0.925,1,0.6667
anhui,225.0,Scorpio,Dec,sun,0.892,1,0.6667
animal products,165.0,Virgo,Oct,sun,0.903,1,0.3913
animal sports,0.0,Aries,Apr,sun,0.993,1,0.65
animal welfare,135.0,Leo,Sep,sun,0.894,1,0.7619
animals,170.0,Virgo,Oct,sun,0.934,1,0.7333
animated films,305.0,Aquarius,Feb,sun,0.82,1,0.55
animated gifs,150.0,Virgo,Sep,sun,0.931,1,0.0
animation,305.0,Aquarius,Feb,sun,0.986,1,0.2174
animation software,270.0,Capricorn,Jan,sun,0.91,1,0.5238
anime,345.0,Pisces,Apr,sun,0.837,1,0.5217
ankara,225.0,Scorpio,Dec,sun,0.97,1,0.5263
anniversaries,290.0,Capricorn,Feb,sun,0.943,1,0.5263
antalya,60.0,Taurus,Jun,sun,0.82,1,0.619
anthropology,265.0,Sagittarius,Jan,sun,0.848,1,0.8095
anti-aging skin care products,0.0,Aries,Apr,sun,1.0,1,0.5
antigua,295.0,Capricorn,Feb,sun,0.78,1,0.6316
antiperspirants,10.0,Aries,May,sun,0.888,1,0.6111
antiques,260.0,Sagittarius,Jan,sun,0.921,1,0.6667
antivirus,260.0,Sagittarius,Jan,sun,0.771,1,0.5333
anxiety,270.0,Capricorn,Jan,sun,0.997,1,0.7778
aomori,80.0,Gemini,Jul,sun,0.862,1,0.35
aosta valley,260.0,Sagittarius,Jan,sun,0.728,1,0.5
apparel,350.0,Pisces,Apr,sun,0.901,1,0.5
apparel services,330.0,Pisces,Mar,sun,1.0,1,0.5
apple ios,50.0,Taurus,Jun,sun,0.836,1,0.85
appraisals,325.0,Aquarius,Mar,sun,0.98,1,0.5417
aquaculture,315.0,Aquarius,Mar,sun,0.994,1,0.5652
aquaria,260.0,Sagittarius,Jan,sun,1.0,1,0.4167
aquariums,265.0,Sagittarius,Jan,sun,0.932,1,0.5625
aquitaine,300.0,Aquarius,Feb,sun,0.993,1,0.3684
arabs,245.0,Sagittarius,Jan,sun,0.969,1,
aragon,135.0,Leo,Sep,sun,0.955,1,0.5
arcade,345.0,Pisces,Apr,sun,0.983,1,0.6875
archaeology,265.0,Sagittarius,Jan,sun,0.855,1,0.3333
architecture,140.0,Leo,Sep,sun,0.745,1,0.6364
argentina,50.0,Taurus,Jun,sun,0.865,1,0.7222
arizona,265.0,Sagittarius,Jan,sun,0.941,1,0.6667
arkansas,130.0,Leo,Sep,sun,0.967,1,0.7
armchairs,190.0,Libra,Nov,sun,0.878,1,0.6429
armenia,320.0,Aquarius,Mar,sun,0.884,1,0.9091
army,250.0,Sagittarius,Jan,sun,0.965,1,0.6957
art,165.0,Virgo,Oct,sun,0.99,1,0.5652
art museums,285.0,Capricorn,Feb,mercury,0.436,1,0.5909
arthritis,145.0,Leo,Sep,sun,0.797,1,0.4091
artificial intelligence,295.0,Capricorn,Feb,sun,0.884,1,0.4762
arts,325.0,Aquarius,Mar,sun,0.977,1,0.5652
aruba,265.0,Sagittarius,Jan,sun,0.873,1,0.7273
asia,45.0,Taurus,Jun,sun,0.997,1,0.55
asians,330.0,Pisces,Mar,sun,0.946,1,0.7143
asmr videos,230.0,Scorpio,Dec,sun,0.964,1,0.5217
asset,280.0,Capricorn,Feb,sun,0.982,1,0.6087
assisted living,320.0,Aquarius,Mar,sun,0.935,1,0.3913
assistive technology,140.0,Leo,Sep,sun,0.844,1,0.55
asthma,125.0,Leo,Sep,sun,0.831,1,0.6818
astrology,250.0,Sagittarius,Jan,sun,0.899,1,0.4545
astronomy,265.0,Sagittarius,Jan,sun,0.995,1,0.5238
asturias,145.0,Leo,Sep,sun,0.933,1,0.5833
athens,55.0,Taurus,Jun,sun,1.0,1,0.625
athleisure,260.0,Sagittarius,Jan,sun,0.833,1,0.4211
athletic apparel,260.0,Sagittarius,Jan,mercury,0.455,1,0.5
athletic shoes,225.0,Scorpio,Dec,sun,0.598,1,0.4545
atlanta,320.0,Aquarius,Mar,sun,0.769,1,0.6667
atlantic city,270.0,Capricorn,Jan,sun,0.915,1,0.4762
atlantic provinces,30.0,Aries,May,sun,0.819,1,0.625
