topic,sign,phase,peak_month,arm,dir_acc_test
3d printers,Nov,315.0,Nov,seasonal,0.8261
abruzzo,Sep,255.0,Sep,seasonal,
abstract strategy games,Dec,345.0,Dec,seasonal,
abu dhabi,Nov,315.0,Nov,seasonal,0.5714
academic conferences,Dec,345.0,Dec,seasonal,0.25
acapulco,Apr,105.0,Apr,seasonal,0.4
accessories,Jul,195.0,Jul,seasonal,0.5714
accident,Jul,195.0,Jul,seasonal,0.7222
accommodations,Jan,15.0,Jan,seasonal,0.7273
accounting,Sep,255.0,Sep,seasonal,0.6364
acne,Jan,15.0,Jan,seasonal,0.5714
acquisitions,Sep,255.0,Sep,seasonal,0.5882
acting,Jan,15.0,Jan,seasonal,0.5217
action,Jan,15.0,Jan,seasonal,0.75
action cameras,May,135.0,May,seasonal,0.4545
action figures,Dec,345.0,Dec,seasonal,0.8696
activities,Feb,45.0,Feb,seasonal,0.6522
acupuncture,Jan,15.0,Jan,seasonal,0.5217
acura,Jan,15.0,Jan,seasonal,0.5294
adana,Dec,345.0,Dec,seasonal,0.7059
add,Dec,345.0,Dec,seasonal,0.6
add-ons,Nov,315.0,Nov,seasonal,0.5
adelaide,Dec,345.0,Dec,seasonal,0.5294
adhd,Jan,15.0,Jan,seasonal,0.7391
adhesives,Aug,225.0,Aug,seasonal,0.8333
administrative jobs,Jan,15.0,Jan,seasonal,0.7
admissions tests,Sep,255.0,Sep,seasonal,0.25
adoption,Jun,165.0,Jun,seasonal,0.5
adventure films,Jan,15.0,Jan,seasonal,0.6842
adventure games,Apr,105.0,Apr,seasonal,0.5238
adventure travel,Jan,15.0,Jan,seasonal,0.5417
advertising,Feb,45.0,Feb,seasonal,0.875
advocacy,Sep,255.0,Sep,seasonal,0.625
aegean islands,Jun,165.0,Jun,seasonal,0.8
aegean turkey,May,135.0,May,seasonal,0.375
aerospace,Jan,15.0,Jan,seasonal,0.4091
affiliate programs,Jan,15.0,Jan,seasonal,0.375
afghanistan,May,135.0,May,seasonal,0.5
africa,Sep,255.0,Sep,seasonal,0.6667
african music,May,135.0,May,seasonal,0.625
african-americans,Jan,15.0,Jan,seasonal,0.6842
africans,Feb,45.0,Feb,seasonal,0.4762
aftermarket auto parts,Feb,45.0,Feb,seasonal,0.5714
aging,Jan,15.0,Jan,seasonal,0.6522
agra,Sep,255.0,Sep,seasonal,0.619
agricultural equipment,Apr,105.0,Apr,seasonal,0.5
agriculture,Feb,45.0,Feb,seasonal,0.6522
agritourism,Feb,45.0,Feb,seasonal,0.5833
agrochemicals,Jul,195.0,Jul,seasonal,0.4545
ahmedabad,Jul,195.0,Jul,seasonal,0.6471
aichi,Apr,105.0,Apr,seasonal,0.4375
aids,Nov,315.0,Nov,seasonal,0.8
air conditioners,Jun,165.0,Jun,seasonal,0.8261
air filters,Jun,165.0,Jun,seasonal,0.5
air force,Jul,195.0,Jul,seasonal,0.5714
air freight,Jul,195.0,Jul,seasonal,0.625
air travel,Jun,165.0,Jun,seasonal,0.5238
airport parking,Jul,195.0,Jul,seasonal,0.6667
akita,Jan,15.0,Jan,seasonal,0.5263
alabama,Sep,255.0,Sep,seasonal,0.5556
alagoas,Jan,15.0,Jan,seasonal,0.5833
alaska,Jul,195.0,Jul,seasonal,0.8421
albania,Sep,255.0,Sep,seasonal,0.6087
