date,n_events,material,conflict,verbal_conf,cooperation,material_coop,violence,neg_tone,neg_gold
1979-01-01,661,0.1059,0.219365,0.113464,0.780635,0.090772,0.078669,-5.643106,-1.250983
1979-01-02,976,0.180328,0.309426,0.129098,0.690574,0.078893,0.128074,-5.208303,-0.02459
1979-01-03,1060,0.130189,0.240566,0.110377,0.759434,0.092453,0.109434,-5.407533,-0.79783
1979-01-04,950,0.129474,0.222105,0.092632,0.777895,0.097895,0.093684,-5.418182,-0.687158
1979-01-05,1027,0.132425,0.242454,0.110029,0.757546,0.076923,0.065239,-5.270901,-0.938559
1979-01-06,644,0.119565,0.276398,0.156832,0.723602,0.076087,0.079193,-5.308304,-0.840839
1979-01-07,884,0.078054,0.186652,0.108597,0.813348,0.084842,0.047511,-5.590466,-1.386991
1979-01-08,1291,0.071263,0.197521,0.126259,0.802479,0.09605,0.046476,-5.173096,-1.409605
1979-01-09,1287,0.144522,0.286713,0.142191,0.713287,0.068376,0.090132,-5.586455,-0.36216
1979-01-10,1290,0.078295,0.227907,0.149612,0.772093,0.073643,0.052713,-5.368943,-1.156589
1979-01-11,866,0.066975,0.204388,0.137413,0.795612,0.08545,0.040416,-5.515824,-1.361663
1979-01-12,1443,0.099099,0.243243,0.144144,0.756757,0.081081,0.059598,-5.833773,-0.968468
1979-01-13,726,0.128099,0.263085,0.134986,0.736915,0.081267,0.084022,-4.915215,-0.489532
1979-01-14,851,0.108108,0.254994,0.146886,0.745006,0.075206,0.06698,-5.29477,-0.76228
1979-01-15,1138,0.133568,0.268893,0.135325,0.731107,0.071178,0.096661,-5.164278,-0.595518
1979-01-16,1290,0.107752,0.216279,0.108527,0.783721,0.104651,0.06124,-5.321553,-1.115814
1979-01-17,1279,0.090696,0.247068,0.156372,0.752932,0.093041,0.05473,-5.130349,-0.952541
1979-01-18,1353,0.120473,0.260902,0.140429,0.739098,0.08204,0.075388,-4.706006,-0.84878
1979-01-19,1324,0.160121,0.311934,0.151813,0.688066,0.068731,0.115559,-5.024455,-0.218127
1979-01-20,1165,0.112446,0.232618,0.120172,0.767382,0.072103,0.07382,-5.324888,-1.054421
1979-01-21,744,0.126344,0.267473,0.141129,0.732527,0.071237,0.077957,-5.469169,-0.525941
1979-01-22,1065,0.094836,0.196244,0.101408,0.803756,0.069484,0.055399,-5.493334,-1.131549
1979-01-23,1277,0.090838,0.195771,0.104933,0.804229,0.083007,0.052467,-5.059287,-1.412294
1979-01-24,1079,0.107507,0.235403,0.127896,0.764597,0.075996,0.060241,-5.077358,-1.013716
1979-01-25,1156,0.098616,0.211073,0.112457,0.788927,0.061419,0.058824,-5.381682,-1.664879
1979-01-26,1563,0.134357,0.266155,0.131798,0.733845,0.079974,0.083173,-4.833022,-0.601344
1979-01-27,780,0.055128,0.151282,0.096154,0.848718,0.062821,0.038462,-6.090094,-1.869231
1979-01-28,983,0.101729,0.17294,0.071211,0.82706,0.06409,0.092574,-5.507723,-1.201729
1979-01-29,1285,0.102724,0.205447,0.102724,0.794553,0.06537,0.068482,-5.385563,-1.167004
1979-01-30,1168,0.125856,0.247432,0.121575,0.752568,0.071918,0.064212,-5.376088,-0.878082
1979-01-31,925,0.074595,0.183784,0.109189,0.816216,0.058378,0.059459,-6.029501,-1.470703
1979-02-01,902,0.109756,0.235033,0.125277,0.764967,0.087583,0.085366,-4.730829,-0.964634
1979-02-02,1625,0.110154,0.240615,0.130462,0.759385,0.073846,0.073846,-5.200362,-1.061785
1979-02-03,738,0.104336,0.227642,0.123306,0.772358,0.104336,0.067751,-5.043407,-0.998509
1979-02-04,602,0.141196,0.312292,0.171096,0.687708,0.127907,0.094684,-5.542686,-0.47691
1979-02-05,1332,0.126877,0.235736,0.108859,0.764264,0.073574,0.064565,-4.959581,-0.710886
1979-02-06,1170,0.133333,0.219658,0.086325,0.780342,0.074359,0.077778,-5.40594,-1.046838
1979-02-07,1218,0.110837,0.20197,0.091133,0.79803,0.063218,0.07225,-5.293091,-1.166256
1979-02-08,1286,0.119751,0.207621,0.087869,0.792379,0.084759,0.069207,-5.844901,-1.26423
1979-02-09,1383,0.185828,0.289226,0.103398,0.710774,0.077368,0.105568,-4.989101,-0.270354
1979-02-10,825,0.145455,0.249697,0.104242,0.750303,0.116364,0.117576,-5.470524,-0.752
1979-02-11,714,0.12605,0.2493,0.123249,0.7507,0.112045,0.077031,-4.965936,-0.795098
1979-02-12,944,0.134534,0.226695,0.092161,0.773305,0.075212,0.077331,-5.193708,-0.813559
1979-02-13,1056,0.107955,0.193182,0.085227,0.806818,0.063447,0.066288,-5.218885,-1.037973
1979-02-14,1184,0.17652,0.268581,0.092061,0.731419,0.090372,0.118243,-4.737378,-0.211318
1979-02-15,1159,0.168248,0.292494,0.124245,0.707506,0.077653,0.133736,-5.036582,-0.148835
1979-02-16,1473,0.170401,0.310251,0.139851,0.689749,0.068568,0.09776,-5.261424,-0.095927
1979-02-17,1216,0.128289,0.235197,0.106908,0.764803,0.064967,0.100329,-5.446757,-0.676891
1979-02-18,1072,0.163246,0.301306,0.13806,0.698694,0.08209,0.117537,-4.5787,-0.315951
1979-02-19,1581,0.14358,0.275775,0.132195,0.724225,0.074004,0.103732,-5.533856,-0.53308
1979-02-20,1246,0.116372,0.244783,0.128411,0.755217,0.085072,0.081862,-5.030134,-1.04679
1979-02-21,1617,0.11008,0.245516,0.135436,0.754484,0.079159,0.066172,-5.176567,-1.003154
1979-02-22,1165,0.103863,0.236052,0.132189,0.763948,0.094421,0.062661,-5.3329,-0.95176
1979-02-23,1685,0.157864,0.327003,0.169139,0.672997,0.079525,0.100297,-5.116514,-0.122374
