Time,sun_lon,sun_dist,moon_lon,moon_dist,mercury_lon,mercury_dist,venus_lon,venus_dist,mars_lon,mars_dist,jupiter_lon,jupiter_dist,saturn_lon,saturn_dist,uranus_lon,uranus_dist,neptune_lon,neptune_dist,pluto_lon,pluto_dist,node_lon,node_dist,chiron_lon,chiron_dist
2004-12-26,251.2699,0.983418,71.2699,0.002714,229.2818,0.947533,228.4582,1.52069,216.7337,2.283703,172.816,5.564532,91.4168,8.127718,309.7845,20.554079,289.7494,30.829977,238.6025,31.838176,4.6821,0.00257,271.1594,14.121146
2005-01-25,281.6325,0.984515,101.6325,0.002711,268.5065,1.366669,265.7836,1.622356,237.3994,2.082403,174.8435,5.088529,89.019,8.097184,311.1138,20.910604,290.7936,31.037206,239.6172,31.619041,3.1024,0.00257,273.7837,14.229429
2005-02-24,311.7527,0.989682,131.7527,0.002671,319.9806,1.294191,303.0412,1.690353,258.4465,1.864251,174.1698,4.684414,87.0769,8.333304,312.7659,21.050381,291.9105,30.994027,240.3245,31.212594,1.5251,0.00257,276.2627,14.103557
2005-03-25,341.3777,0.997474,161.3777,0.002607,348.0706,0.632694,340.0391,1.722589,279.7729,1.643942,171.1604,4.471109,86.479,8.756069,314.4253,20.946332,292.873,30.715885,240.5862,30.727256,359.9529,0.00257,278.1852,13.786565
2005-04-24,10.3964,1.005815,190.3964,0.002533,343.4731,0.809748,16.6535,1.713965,301.207,1.432778,167.4951,4.516265,87.4618,9.242743,315.7942,20.62955,293.4953,30.275557,240.3763,30.290723,358.3871,0.00257,279.2282,13.364961
2005-05-23,38.8536,1.012622,218.8536,0.002465,26.6113,1.25523,52.8565,1.658727,322.4533,1.236717,165.2337,4.794568,89.7809,9.678511,316.6356,20.177066,293.6692,29.781751,239.7934,30.015198,356.8278,0.00257,279.2272,12.950573
2005-06-22,66.9209,1.016298,246.9209,0.002414,86.6701,1.118469,88.689,1.554825,343.0098,1.056098,165.4214,5.211916,93.01,9.979908,316.8119,19.69428,293.3882,29.353197,239.0357,29.969542,355.2736,0.00257,278.2575,12.657309
2005-07-21,94.8467,1.016025,274.8467,0.002388,116.4223,0.671034,124.1595,1.406762,2.0299,0.887286,167.9787,5.661657,96.7037,10.097566,316.3228,19.295241,292.7555,29.093219,238.3451,30.164847,353.7218,0.00257,276.6817,12.573924
2005-08-19,122.9013,1.011872,302.9013,0.002391,105.6062,0.804436,159.1672,1.224346,18.0091,0.72671,172.3523,6.055826,100.4306,10.013069,315.3376,19.079837,291.9694,29.066966,237.9389,30.554693,352.1699,0.00257,275.0799,12.73773
2005-09-18,151.3266,1.004783,331.3266,0.002422,151.3042,1.384325,193.4662,1.018583,28.0689,0.579354,177.939,6.330132,103.7527,9.738079,314.1835,19.108183,291.2769,29.284419,237.9548,31.047662,350.6152,0.00257,274.044,13.120959
2005-10-17,180.2875,0.996429,0.2875,0.002478,199.0999,1.277971,226.4525,0.798719,27.6439,0.476953,184.1892,6.441661,106.2052,9.317588,313.2607,19.379327,290.905,29.694551,238.4245,31.528059,349.0558,0.00257,273.9588,13.638768
2005-11-16,209.8292,0.988892,29.8292,0.002551,226.7434,0.7652,256.2242,0.574162,18.1768,0.489622,190.5735,6.368917,107.3357,8.834223,312.9051,19.826123,290.9937,30.195215,239.2741,31.881245,347.491,0.00257,274.9102,14.174695
2005-12-15,239.8561,0.984169,59.8561,0.002626,219.1586,1.080936,276.0646,0.367353,14.4935,0.64641,196.5188,6.115602,106.8705,8.404781,313.2765,20.332745,291.5586,30.658526,240.3436,32.020379,345.9204,0.00257,276.7281,14.611519
2006-01-14,270.1442,0.983581,90.1442,0.002685,262.3373,1.417735,269.4752,0.266687,21.1429,0.894489,201.3559,5.716212,105.0139,8.155195,314.3284,20.76881,292.4941,30.965217,241.4201,31.909721,344.3449,0.00257,279.08,14.858472
2006-02-13,300.3923,0.987315,120.3923,0.002715,313.4217,1.211434,263.892,0.383153,33.7378,1.182859,204.3248,5.240356,102.6221,8.169335,315.8513,21.026179,293.607,31.037383,242.2825,31.577469,342.7663,0.00257,281.556,14.870639
2006-03-14,330.3019,0.994342,150.3019,0.002708,324.6633,0.612335,284.2561,0.598789,49.1432,1.479856,204.7547,4.791034,100.8525,8.442007,317.5474,21.046046,294.6682,30.85914,242.7532,31.111468,341.1879,0.00257,283.7346,14.658138
2006-04-13,359.6674,1.002753,179.6674,0.002666,332.5367,0.946972,314.1937,0.830952,65.856,1.763814,202.5787,4.487259,100.4915,8.883492,319.1012,20.829699,295.465,30.478722,242.7499,30.635847,339.6134,0.00257,285.2426,14.283294
2006-05-13,28.4397,1.010375,208.4397,0.002603,21.8505,1.311827,347.2669,1.055563,83.1912,2.0193,198.9511,4.420695,101.6826,9.370398,320.2365,20.432851,295.8479,29.992571,242.3149,30.2756,338.0454,0.00257,285.8201,13.846477
2006-06-11,56.7282,1.015366,236.7282,0.002532,79.4392,0.986777,21.5459,1.260095,100.871,2.235739,195.9277,4.604777,104.1431,9.792424,320.7589,19.949644,295.7622,29.519519,241.6078,30.122796,336.4839,0.00257,285.3957,13.464561
2006-07-11,84.7519,1.016591,264.7519,0.002465,95.9257,0.583513,56.4559,1.434398,118.8294,2.406191,195.065,4.970574,107.4457,10.071082,320.5935,19.49326,295.2637,29.173733,240.8602,30.215168,334.9273,0.00257,284.1549,13.245301
2006-08-09,112.7755,1.013793,292.7755,0.002415,93.8918,0.95043,91.9105,1.570063,137.1069,2.526287,196.7155,5.413897,111.1506,10.160737,319.8231,19.174539,294.5145,29.040108,240.3081,30.530191,333.3731,0.00257,282.5454,13.259553
2006-09-07,141.0511,1.007616,321.0511,0.002388,147.0352,1.383749,127.9267,1.661786,155.7909,2.593671,200.4769,5.837367,114.8247,10.046371,318.7039,19.076989,293.7496,29.153992,240.1286,30.993033,331.8191,0.00257,281.153,13.518532
2006-10-07,169.7683,0.999502,349.7683,0.002391,192.7013,1.165122,164.428,1.708577,174.9802,2.608054,205.7415,6.164815,118.0187,9.744476,317.6169,19.231535,293.2144,29.489886,240.3997,31.494803,330.2636,0.00257,280.4833,13.968288
2006-11-05,199.0163,0.991431,19.0163,0.002424,206.6335,0.682624,201.248,1.71337,194.7636,2.571703,211.9172,6.342526,120.2603,9.307163,316.9473,19.6022,293.0922,29.964948,241.0907,31.917057,328.7053,0.00257,280.7906,14.506294
2006-12-05,228.7612,0.985479,48.7612,0.002483,211.3693,1.20697,238.2455,1.680846,215.2072,2.490046,218.4473,6.339691,121.1155,8.825012,316.9483,20.093518,293.4528,30.459087,242.0761,32.158592,327.1432,0.00257,282.0479,15.011487
2007-01-03,258.8485,0.98326,78.8485,0.002557,256.6687,1.440215,275.336,1.614718,236.343,2.371905,224.7654,6.151056,120.3812,8.419284,317.6721,20.578651,294.2406,30.846508,243.1647,32.160006,325.5766,0.00257,284.0174,15.374942
2007-02-02,289.0333,0.98542,109.0333,0.002631,305.8219,1.099663,312.3814,1.515891,258.1485,2.228902,230.2429,5.800661,118.3758,8.21151,318.9841,20.935828,295.298,31.029046,244.1377,31.920618,324.0049,0.00257,286.3426,15.523709
2007-03-03,319.0373,0.991389,139.0373,0.002689,302.4458,0.664686,349.0822,1.382406,280.5183,2.073753,234.1634,5.344783,116.0314,8.271361,320.6262,21.079805,296.4088,30.961718,244.7951,31.502105,322.4294,0.00257,288.6203,15.435393
