Time,sun_lon,sun_dist,moon_lon,moon_dist,mercury_lon,mercury_dist,venus_lon,venus_dist,mars_lon,mars_dist,jupiter_lon,jupiter_dist,saturn_lon,saturn_dist,uranus_lon,uranus_dist,neptune_lon,neptune_dist,pluto_lon,pluto_dist,node_lon,node_dist,chiron_lon,chiron_dist
2005-01,271.5199,0.983699,339.7965,0.002522,253.5911,1.280273,253.3335,1.592205,230.4628,2.152191,174.4524,5.245398,89.8266,8.076091,310.6196,20.812746,290.4258,30.994828,239.3037,31.717107,3.6291,0.00257,272.9031,14.220002
2005-02,302.9809,0.987852,27.1709,0.002631,303.8154,1.381011,292.157,1.674028,252.2531,1.928938,174.6504,4.787788,87.5337,8.23995,312.2674,21.034711,291.5899,31.032938,240.1594,31.345222,1.9864,0.00257,275.5777,14.163075
2005-03,331.0747,0.994617,35.1658,0.002626,348.7689,0.838697,327.1267,1.715682,272.2855,1.720506,172.3987,4.518008,86.5068,8.594284,313.8632,21.009714,292.5666,30.83646,240.5496,30.898131,0.5026,0.00257,277.5985,13.914613
2005-04,1.6875,1.003403,79.5652,0.002696,338.25,0.687756,5.6269,1.721297,294.7306,1.495182,168.5384,4.474998,87.0064,9.09624,315.4267,20.743902,293.3513,30.419739,240.486,30.410195,358.8599,0.00257,279.0195,13.497048
2005-05,30.822,1.010986,111.2674,0.002701,11.2085,1.139428,42.6148,1.679427,316.4642,1.290729,165.6461,4.696615,89.0099,9.565479,316.4606,20.313564,293.6679,29.92042,239.9867,30.072018,357.2701,0.00257,279.3346,13.060642
2005-06,60.5502,1.015819,155.565,0.002643,74.5436,1.222429,80.5567,1.582687,338.4253,1.096014,165.1548,5.110361,92.2178,9.92618,316.8329,19.800925,293.4886,29.439225,239.2111,29.958157,355.6273,0.00257,278.5492,12.708164
2005-07,89.1629,1.016434,189.3864,0.002575,114.2585,0.745717,116.9732,1.440082,358.3439,0.92088,167.2906,5.572157,95.9354,10.089865,316.4706,19.36437,292.9042,29.128551,238.4687,30.107046,354.0376,0.00257,277.025,12.571124
2005-08,118.8204,1.0127,239.3436,0.002467,104.844,0.713345,154.132,1.252493,15.9717,0.749422,171.6298,6.004898,99.9052,10.037733,315.4998,19.096752,292.0834,29.055225,237.9737,30.489303,352.3948,0.00257,275.2893,12.699035
2005-09,148.8074,1.005491,292.7158,0.002416,146.4924,1.366657,190.4889,1.037385,27.5343,0.59125,177.4134,6.312064,103.4885,9.769004,314.2815,19.095458,291.3278,29.256417,237.9349,31.003065,350.7521,0.00257,274.1005,13.080317
2005-10,178.295,0.997,331.4443,0.002446,196.2066,1.299115,224.2713,0.813999,28.0678,0.48116,183.7528,6.439798,106.0753,9.349389,313.3085,19.354178,290.9167,29.662356,238.3791,31.498155,349.1623,0.00257,273.931,13.601511
2005-11,209.2854,0.98901,22.5537,0.002537,226.8751,0.775306,255.7358,0.578218,18.3416,0.488016,190.4591,6.371916,107.329,8.842951,312.9052,19.817038,290.9877,30.186018,239.2561,31.876519,347.5196,0.00257,274.8843,14.165474
2005-12,239.6756,0.984186,57.5967,0.002622,218.9496,1.077232,276.0066,0.368426,14.4812,0.645139,196.4858,6.117601,106.8779,8.406929,313.2721,20.329802,291.554,30.656118,240.337,32.020284,345.9298,0.00257,276.7153,14.609402
2006-01,271.2556,0.983645,103.333,0.002699,264.0739,1.420583,268.8054,0.267239,21.5257,0.904582,201.5024,5.699584,104.9287,8.150787,314.3775,20.781929,292.5331,30.972301,241.4568,31.90108,344.2871,0.00257,279.1712,14.863172
2006-02,302.7181,0.987764,147.6032,0.002711,317.3774,1.161958,264.7898,0.398063,34.8545,1.205809,204.4549,5.203204,102.4494,8.181906,315.9803,21.036538,293.6938,31.032298,242.3346,31.544794,342.6443,0.00257,281.7401,14.861736
