Time,sun_lon,sun_dist,moon_lon,moon_dist,mercury_lon,mercury_dist,venus_lon,venus_dist,mars_lon,mars_dist,jupiter_lon,jupiter_dist,saturn_lon,saturn_dist,uranus_lon,uranus_dist,neptune_lon,neptune_dist,pluto_lon,pluto_dist,node_lon,node_dist,chiron_lon,chiron_dist
1700Q1,307.2404,0.988831,269.4647,0.002715,281.8923,1.075659,329.5737,1.533812,205.3225,1.107636,270.9523,5.934885,314.1306,10.730241,77.4028,18.13581,344.1496,30.652794,110.0406,35.885661,145.2593,0.00257,160.7105,7.522615
1700Q2,35.8108,1.012349,7.5314,0.002571,31.6029,0.552111,77.2779,1.017123,205.6609,0.524684,282.4924,4.652469,323.4219,9.982302,78.6958,19.502919,347.2919,30.528157,109.3529,37.032221,140.49,0.00257,155.1674,7.80942
1700Q3,123.7846,1.011669,149.2527,0.002409,150.8482,0.973647,148.3333,0.328635,218.5028,0.917431,274.3601,4.200054,322.6362,8.735247,83.9052,19.523923,347.7507,29.130395,111.6066,37.676048,135.6147,0.00257,161.3674,9.130527
1700Q4,214.5319,0.987682,281.3708,0.002675,223.5303,1.412954,167.8936,0.706558,280.5169,1.450971,277.8972,5.439592,317.9861,9.393171,85.4007,18.104968,345.5306,29.208904,113.203,36.42572,130.7394,0.00257,174.343,9.096173
1701Q1,306.9874,0.988732,29.5847,0.002631,290.1429,1.305102,274.343,1.324684,349.3154,2.024483,297.7096,6.018735,324.854,10.579032,82.0374,18.017033,346.304,30.623064,111.6612,35.621226,125.9171,0.00257,179.6451,7.756806
1701Q2,35.5691,1.012289,139.967,0.002465,11.4024,0.739481,24.8616,1.693432,53.0938,2.503977,315.3512,5.091688,334.8895,10.070749,82.9906,19.385736,349.4544,30.556612,110.9086,36.744969,121.1478,0.00257,173.8989,7.649428
1701Q3,123.5355,1.011661,280.1181,0.002642,144.5745,0.694615,137.9908,1.653303,113.3081,2.636608,314.3001,3.999843,335.91,8.718645,88.1979,19.517634,350.0295,29.157779,113.1477,37.425481,116.2725,0.00257,177.2109,9.044462
1701Q4,214.2706,0.987697,43.2745,0.00266,233.1904,1.215603,250.8996,1.219022,171.3685,2.239286,309.0339,4.797967,330.401,9.083553,90.0518,18.114261,347.8062,29.173567,114.8186,36.201742,111.3972,0.00257,189.6724,9.436873
1702Q1,306.7217,0.988666,166.0219,0.002434,302.5014,1.391667,352.6951,0.58586,226.7857,1.428107,325.1074,5.891861,335.868,10.381596,86.7215,17.906096,348.4629,30.591251,113.3097,35.359389,106.5749,0.00257,197.2074,8.242812
1702Q2,35.3163,1.012207,279.5076,0.002538,13.0176,1.05241,357.7284,0.419394,268.8802,0.630073,345.8718,5.551703,346.4067,10.136799,87.3276,19.266952,351.6167,30.583275,112.4915,36.458636,101.8056,0.00257,192.3708,7.767512
1702Q3,123.2884,1.011725,42.2145,0.002692,116.1874,0.647803,84.1234,1.121992,260.6327,0.465855,354.5598,4.252405,349.335,8.74422,92.5075,19.509717,352.3081,29.18565,114.7138,37.175765,96.9303,0.00257,192.7507,9.108898
1702Q4,214.0154,0.987816,171.1205,0.002438,234.9325,0.871885,195.9799,1.591563,303.4416,1.01068,345.1787,4.242385,343.4181,8.787909,94.7157,18.131269,350.0864,29.138619,116.4602,35.979989,92.055,0.00257,203.9178,9.881881
1703Q1,306.4609,0.988696,299.8714,0.002513,316.7778,1.263668,310.288,1.710549,5.9324,1.748026,353.7288,5.570495,347.2354,10.142674,91.4536,17.803711,350.6256,30.557235,114.9876,35.100217,87.2327,0.00257,212.8353,8.908898
1703Q2,35.0692,1.012167,42.366,0.002712,26.3892,1.293942,61.325,1.468971,66.0335,2.396457,14.4988,5.897393,358.0046,10.176002,91.7088,19.147105,353.7783,30.60757,114.1034,36.173434,82.4634,0.00257,209.5578,8.13957
1703Q3,123.0459,1.011798,168.52,0.002555,105.0296,1.000398,168.0778,0.842681,124.8759,2.675672,30.4851,4.827987,2.8412,8.811171,96.8351,19.49965,354.5849,29.213684,116.3066,36.926624,77.5881,0.00257,207.5127,9.319661
1703Q4,213.7584,0.987841,311.9699,0.002527,207.9648,0.692062,212.6784,0.26657,184.0628,2.416889,25.4443,4.016374,357.0597,8.523205,99.3902,18.155609,352.3701,29.104019,118.1291,35.760351,72.7128,0.00257,216.9098,10.398972
1704Q1,306.2071,0.988576,67.4831,0.002707,323.9398,0.877585,260.4803,0.828325,244.7252,1.739498,24.1257,5.130926,359.0193,9.869741,96.232,17.710433,352.7913,30.520873,116.6964,34.843666,67.8905,0.00257,226.4574,9.682273
1704Q2,35.7896,1.012259,177.7374,0.00255,46.7805,1.241628,7.4384,1.435468,306.0413,1.00778,42.0521,6.048521,9.8304,10.178572,96.1716,19.040961,355.9686,30.618823,115.7546,35.904784,63.0682,0.00257,224.8041,8.705693
1704Q3,123.762,1.011623,319.943,0.002411,119.9235,1.332099,119.6706,1.723243,349.9696,0.475256,61.5511,5.464322,16.3586,8.901092,101.2383,19.480278,356.8446,29.2286,117.9583,36.675094,58.1929,0.00257,221.1978,9.675776
1704Q4,214.5035,0.987677,90.8138,0.002684,195.5075,1.073912,234.2527,1.576175,341.1334,0.625083,65.0163,4.227694,11.2277,8.314408,104.0665,18.170392,354.6359,29.08104,119.8288,35.524701,53.3176,0.00257,228.7536,10.966314
1705Q1,306.9529,0.988745,200.2892,0.002622,297.8825,0.644159,346.1933,1.124267,24.7068,1.44086,56.7352,4.7161,11.3499,9.588827,101.0153,17.633308,354.9855,30.495588,118.4132,34.590539,48.4953,0.00257,238.3374,10.491925
1705Q2,35.5367,1.012258,312.433,0.00247,57.538,0.912566,74.9581,0.453564,79.572,2.218198,68.6405,5.986759,21.6717,10.161382,100.6377,18.920008,358.1256,30.639389,117.4275,35.620386,43.726,0.00257,238.15,9.397834
1705Q3,123.5121,1.0117,90.6848,0.002666,135.5785,1.333028,78.7213,0.58522,137.045,2.626753,88.8196,6.002268,29.8298,9.039771,105.6014,19.465727,359.1152,29.257237,119.6074,36.426211,38.8507,0.00257,233.5896,10.113374
1705Q4,214.2492,0.987768,213.5829,0.002635,204.4946,1.363087,178.9552,1.241596,197.4151,2.512595,99.9567,4.751675,25.9568,8.162138,108.7577,18.206627,356.9213,29.047614,121.5559,35.307721,33.9754,0.00257,239.2808,11.553344
1706Q1,306.699,0.988742,337.679,0.002413,280.4649,0.89095,292.0677,1.640344,261.844,2.005899,91.2101,4.43237,24.0942,9.285002,105.8723,17.557371,357.1525,30.456521,120.186,34.336999,29.1531,0.00257,248.6295,11.326852
1706Q2,35.2902,1.012238,89.527,0.002548,48.4657,0.605517,43.6277,1.706695,328.9112,1.442865,95.1857,5.734428,33.6521,10.113833,105.1466,18.798873,0.2791,30.658397,119.132,35.33599,24.3838,0.00257,249.6876,10.161841
1706Q3,123.2659,1.011705,211.5995,0.002688,146.789,1.14033,155.6866,1.333041,31.1896,0.934944,113.7992,6.324506,43.165,9.20477,109.9797,19.447753,1.3807,29.287073,121.285,36.17655,19.5085,0.00257,244.7376,10.621128
1706Q4,213.9918,0.987777,342.2007,0.002443,216.0174,1.449425,261.1702,0.685321,46.1052,0.523812,129.8252,5.366029,41.0342,8.090005,113.4491,18.248413,359.2076,29.016043,123.3115,35.091731,14.6333,0.00257,248.7474,12.144941
1707Q1,306.4373,0.988633,110.8437,0.002545,283.7274,1.179157,281.5317,0.314892,46.2987,1.11557,126.3288,4.392599,37.3678,8.98681,110.7632,17.491616,359.3204,30.416604,121.9913,34.085201,9.811,0.00257,257.6614,12.146629
1707Q2,35.0443,1.012107,212.3493,0.002716,20.0348,0.593175,352.1297,0.975122,92.8427,1.966214,122.5094,5.351593,45.7807,10.036879,109.6964,18.678199,2.4291,30.67638,120.8683,35.051509,5.0416,0.00257,259.6928,10.955472
1707Q3,123.0206,1.011734,340.1708,0.002525,150.0892,0.858875,100.4042,1.539069,148.7998,2.488455,137.6482,6.393228,56.3122,9.386146,114.3714,19.426483,3.6414,29.318574,122.9908,35.926226,0.1664,0.00257,254.7292,11.172417
1707Q4,213.7312,0.987866,123.8603,0.002534,226.9633,1.356554,214.8455,1.712285,210.3971,2.527123,156.192,5.900884,56.2486,8.105074,118.1371,18.295361,1.4947,28.986768,125.0953,34.876814,355.2911,0.00257,257.2912,12.7284
