Time,sun_lon,sun_dist,moon_lon,moon_dist,mercury_lon,mercury_dist,venus_lon,venus_dist,mars_lon,mars_dist,jupiter_lon,jupiter_dist,saturn_lon,saturn_dist,uranus_lon,uranus_dist,neptune_lon,neptune_dist,pluto_lon,pluto_dist,node_lon,node_dist,chiron_lon,chiron_dist
2005-01-03,262.3471,0.983349,206.7116,0.002473,241.1665,1.1572,242.0602,1.561694,224.2203,2.213293,173.8452,5.390454,90.566,8.084102,310.2128,20.704953,290.107,30.93278,238.9958,31.785059,4.1061,0.00257,272.1051,14.188316
2005-01-10,269.4824,0.983595,311.6671,0.002443,250.7233,1.256799,250.8281,1.585695,229.0724,2.165964,174.3377,5.277516,89.9916,8.075631,310.5256,20.790289,290.3535,30.982946,239.2371,31.734001,3.7351,0.00257,272.7253,14.214867
2005-01-17,276.6101,0.984041,42.8927,0.002688,260.964,1.329873,259.5969,1.607825,233.9466,2.117342,174.6867,5.165783,89.4164,8.082816,310.863,20.864905,290.6093,31.019643,239.4653,31.670622,3.3642,0.00257,273.3472,14.228081
2005-01-24,283.7264,0.984755,126.3757,0.002688,271.7287,1.378523,268.3649,1.628156,238.8436,2.06769,174.8866,5.056832,88.8567,8.105413,311.2212,20.927897,290.8712,31.04247,239.6781,31.595944,2.9932,0.00257,273.9648,14.228057
2005-01-31,290.8319,0.985745,215.869,0.002492,283.0237,1.403172,277.1327,1.646684,243.7649,2.017168,174.9329,4.952214,88.3278,8.142949,311.5963,20.97853,291.1367,31.051181,239.8731,31.511037,2.6223,0.00257,274.5731,14.214987
2005-02-07,297.9255,0.986927,319.6626,0.002437,294.9186,1.40152,285.8989,1.663325,248.7092,1.965898,174.8233,4.853588,87.844,8.194757,311.9844,21.016128,291.4018,31.045619,240.048,31.417081,2.2513,0.00257,275.1664,14.189123
2005-02-14,304.9998,0.988246,51.562,0.002686,307.4657,1.367399,294.6591,1.678037,253.6735,1.914104,174.5597,4.762711,87.4189,8.259814,312.3814,21.040189,291.6644,31.025867,240.2006,31.315522,1.8804,0.00257,275.7389,14.150956
2005-02-21,312.0504,0.98975,135.3846,0.002666,320.5377,1.289854,303.4111,1.690857,258.6576,1.862047,174.1496,4.681174,87.0634,8.336781,312.7829,21.050541,291.9212,30.992337,240.3294,31.207944,1.5095,0.00257,276.2852,14.101231
2005-02-28,319.0785,0.991457,226.0757,0.002502,333.3985,1.157047,312.1556,1.701767,263.6628,1.809883,173.6039,4.610402,86.7854,8.424244,313.1846,21.047173,292.1692,30.945568,240.4331,31.095903,1.1385,0.00257,276.8007,14.040752
2005-03-07,326.0854,0.993288,327.671,0.002455,344.0716,0.975305,320.8926,1.71065,268.6873,1.7577,172.9373,4.55176,86.5913,8.52074,313.5831,21.030136,292.406,30.88617,240.5107,30.980991,0.7676,0.00257,277.2805,13.970369
2005-03-14,333.0662,0.995155,59.7042,0.002681,349.7393,0.788159,329.6185,1.717386,273.7267,1.705672,172.1711,4.506499,86.4859,8.624608,313.9737,20.999665,292.6287,30.814979,240.5613,30.86498,0.3966,0.00257,277.7195,13.891151
