Time,sun_lon,sun_dist,moon_lon,moon_dist,mercury_lon,mercury_dist,venus_lon,venus_dist,mars_lon,mars_dist,jupiter_lon,jupiter_dist,saturn_lon,saturn_dist,uranus_lon,uranus_dist,neptune_lon,neptune_dist,pluto_lon,pluto_dist,node_lon,node_dist,chiron_lon,chiron_dist
1700,80.7349,1.016792,274.5833,0.002697,72.4749,1.277344,125.9382,0.642358,200.9157,0.668532,279.8001,4.149397,324.6438,9.220611,81.3392,19.782831,348.0753,29.802522,110.2884,37.601433,137.9993,0.00257,156.6805,8.538552
1701,80.4888,1.016876,36.7979,0.002614,90.5496,1.294596,82.555,1.733792,84.2982,2.631615,317.9492,4.386907,337.0931,9.314998,85.5736,19.721058,350.2958,29.842738,111.8234,37.328258,118.6571,0.00257,173.7588,8.338313
1702,80.2474,1.016828,167.5771,0.002486,103.3446,1.056954,34.8862,0.783868,268.2865,0.409735,353.0901,4.895577,349.5488,9.420899,89.8375,19.656005,352.5149,29.882187,113.3845,37.055664,99.3149,0.00257,190.7583,8.348528
1703,80.0007,1.016785,307.3755,0.002486,105.0083,0.753466,117.3306,1.181911,96.2477,2.60135,24.3955,5.472328,2.0039,9.532736,94.1316,19.587667,354.7317,29.920641,114.973,36.783513,79.9728,0.00257,206.9457,8.566104
1704,80.7146,1.016844,84.5399,0.00271,84.8567,0.566301,64.3959,1.638157,334.1635,0.701526,52.8396,5.934361,14.5282,9.629839,98.5161,19.521088,356.955,29.941162,116.6165,36.520743,60.5776,0.00257,221.7499,8.972735
1705,80.467,1.016794,206.5099,0.002597,61.169,0.73709,65.2057,0.305207,108.7379,2.488944,79.0044,6.202188,26.9772,9.73917,102.8705,19.446954,359.1648,29.977844,118.2634,36.248617,41.2354,0.00257,235.0233,9.497395
1706,80.216,1.0168,340.1235,0.002479,62.6457,1.099745,101.1679,1.56873,2.7431,1.182257,104.0144,6.22941,39.3953,9.838571,107.2538,19.369377,1.3695,30.014359,119.9399,35.975757,21.8932,0.00257,246.7498,10.109824
1707,79.9784,1.016818,117.8704,0.002497,78.7949,1.326237,46.3821,1.303484,120.7904,2.291557,128.7781,6.027316,51.7747,9.922177,111.6654,19.288853,3.5693,30.050902,121.6464,35.702335,2.551,0.00257,257.0744,10.772189
1708,80.6862,1.016773,254.8126,0.002716,97.5418,1.207991,125.7067,0.623935,22.4891,1.638958,154.402,5.651689,64.2333,9.980726,116.1563,19.215457,5.7791,30.071977,123.4074,35.439,343.1558,0.00257,266.1345,11.455548
1709,80.4384,1.016851,16.3631,0.002586,106.2342,0.922083,83.123,1.73261,133.9968,2.023513,181.755,5.141992,76.5157,10.023285,120.6166,19.131818,7.9719,30.110324,125.1724,35.165582,323.8136,0.00257,274.2539,12.135964
1710,80.1972,1.016823,152.1291,0.002469,99.8485,0.64167,34.9817,0.802244,38.3184,2.029172,212.3842,4.617825,88.74,10.039572,125.1012,19.047252,10.1616,30.14937,126.9675,34.892909,304.4715,0.00257,281.5422,12.801614
1711,79.9509,1.016782,288.0511,0.002512,72.3904,0.590035,117.7528,1.165907,147.7625,1.678269,247.2678,4.236165,100.9057,10.029288,129.6082,18.962595,12.3492,30.18918,128.7927,34.621673,285.1293,0.00257,288.1475,13.442069
1712,80.6642,1.016864,65.0523,0.002716,59.4727,0.892867,64.9469,1.645333,53.2221,2.323255,285.2817,4.158528,113.1317,10.003006,134.1795,18.892477,14.5552,30.213931,130.6724,34.364971,265.7341,0.00257,294.1482,14.042151
1713,80.4194,1.016838,186.6126,0.002579,69.1557,1.237764,62.0172,0.312757,164.5233,1.278358,323.1748,4.447218,125.1825,9.947856,138.7264,18.811372,16.742,30.254034,132.5603,34.099582,246.3919,0.00257,299.7315,14.611309
1714,80.1697,1.016819,324.5479,0.002455,87.2334,1.315542,101.7097,1.55919,66.3899,2.519987,357.7445,4.980323,137.192,9.873557,143.2945,18.732697,18.9278,30.293246,134.4821,33.837753,227.0497,0.00257,304.9294,15.140236
1715,79.9321,1.016831,98.1047,0.002537,101.3859,1.106295,46.8543,1.317717,187.256,0.832806,28.5216,5.551101,149.173,9.784837,147.8845,18.657244,21.1121,30.330745,136.4396,33.579903,207.7075,0.00257,309.8057,15.626955
1716,80.64,1.016764,234.9493,0.00271,106.3263,0.787618,125.421,0.60561,79.5324,2.618438,56.5879,5.988426,161.1862,9.702572,152.5242,18.600844,23.3168,30.352458,138.4551,33.338847,188.3124,0.00257,314.3916,16.058449
1717,80.3898,1.016817,356.9776,0.002571,89.5684,0.57428,83.691,1.731139,234.8461,0.454893,82.517,6.222399,173.1253,9.599034,157.1511,18.532224,25.495,30.387111,140.4859,33.088159,168.9702,0.00257,318.7835,16.458422
1718,80.1479,1.016809,136.4868,0.002443,62.995,0.685551,35.1046,0.820573,91.583,2.623611,107.4285,6.21501,185.0718,9.4947,161.7962,18.467112,27.6685,30.420359,142.5544,32.840714,149.628,0.00257,322.9922,16.815227
1719,79.9022,1.016767,268.6341,0.002563,60.5857,1.037081,118.1669,1.149779,315.0372,0.544248,132.2315,5.982266,197.0359,9.39391,166.4562,18.405527,29.8368,30.452871,144.6596,32.596396,130.2858,0.00257,327.0524,17.129011
1720,80.6144,1.016853,45.1086,0.002702,77.3571,1.317962,65.4997,1.652226,104.0892,2.543743,158.0466,5.584307,208.9924,9.313742,171.1393,18.364707,32.028,30.472553,146.8188,32.370059,110.8906,0.00257,330.9868,17.384308
1721,80.3711,1.016842,167.7675,0.002565,94.7457,1.246032,59.0268,0.32157,353.3972,0.991359,185.7944,5.064247,220.9987,9.229353,175.8146,18.311308,34.1886,30.505175,148.9941,32.133556,91.5485,0.00257,334.8404,17.61128
1722,80.1217,1.016808,307.9696,0.002428,105.1455,0.974417,102.25,1.549361,116.025,2.377532,217.0157,4.549479,233.0477,9.158436,180.4947,18.262507,36.3457,30.538041,151.2035,31.901612,72.2063,0.00257,338.6258,17.795111
1723,79.8845,1.01684,78.8516,0.002595,102.1709,0.68067,47.3305,1.331761,14.8461,1.470214,252.5064,4.203841,245.1445,9.103293,185.1755,18.219196,38.5009,30.571022,153.4462,31.675372,52.8641,0.00257,342.3649,17.935209
1724,80.5945,1.016791,214.7385,0.002688,76.4091,0.576898,125.0742,0.587385,128.9667,2.138878,290.7235,4.179871,257.2249,9.06696,189.8487,18.197609,40.685,30.593364,155.7358,31.470603,33.4689,0.00257,346.084,18.014825
1725,80.3452,1.016832,339.1846,0.002556,59.2709,0.82972,84.261,1.729433,32.3581,1.887528,328.2321,4.515378,269.4389,9.046523,194.5172,18.166238,42.8389,30.626576,158.0421,31.258177,14.1267,0.00257,349.7927,18.066589
1726,80.1035,1.016828,119.4086,0.00242,66.0984,1.189267,35.2565,0.8388,142.1766,1.820673,2.1983,5.065666,281.7112,9.048188,199.1777,18.142331,44.993,30.658518,160.3809,31.054073,354.7846,0.00257,353.511,18.073353
1727,79.8579,1.016755,249.4738,0.002623,83.7715,1.327603,118.5756,1.133529,47.0972,2.22143,32.4687,5.625466,294.0351,9.072684,203.8292,18.126283,47.1465,30.68859,162.7526,30.858598,335.4424,0.00257,357.2557,18.035032
1728,80.567,1.016819,24.4215,0.002678,100.8192,1.138525,66.0535,1.65881,157.7367,1.443293,60.1978,6.03559,306.3621,9.107314,208.4495,18.131562,49.3319,30.707853,165.166,30.687646,316.0472,0.00257,1.0656,17.934724
1729,80.3213,1.016818,150.4657,0.002542,106.4287,0.838239,56.2373,0.331573,61.3212,2.455158,85.9356,6.234804,318.7804,9.172671,213.0759,18.1307,51.4822,30.733833,167.6008,30.50981,296.705,0.00257,4.9214,17.806717
1730,80.071,1.016778,290.1987,0.002416,93.8152,0.592808,102.785,1.539271,177.0131,1.008322,110.7929,6.193145,331.2239,9.256855,217.6902,18.137428,53.629,30.757603,170.0662,30.340436,277.3629,0.00257,8.861,17.634437
1731,79.8321,1.016829,60.1896,0.002651,65.693,0.641315,47.8078,1.345641,74.0489,2.590977,135.6834,5.931502,343.682,9.355794,222.2895,18.151416,55.7722,30.779555,172.5597,30.179752,258.0207,0.00257,12.909,17.417922
1732,80.5432,1.016802,194.088,0.002667,60.4134,0.99525,124.6548,0.569228,210.6894,0.58067,161.7351,5.513778,356.1889,9.4485,226.8402,18.181494,57.9464,30.793768,175.0829,30.043351,238.6255,0.00257,17.1288,17.141631
1733,80.2946,1.016826,322.5162,0.002524,73.7918,1.295047,84.8283,1.727424,86.8975,2.632168,189.9079,4.987503,8.6671,9.563268,231.4019,18.207184,60.082,30.814071,177.6232,29.900003,219.2833,0.00257,21.4816,16.837943
1734,80.0536,1.016839,100.8034,0.002422,91.7254,1.278456,35.4266,0.857018,287.5781,0.433074,221.7115,4.487449,21.129,9.677236,235.9418,18.238676,62.2147,30.833688,180.183,29.7661,199.9412,0.00257,26.0355,16.490295
1735,79.811,1.016776,230.5989,0.002672,103.696,1.026242,118.975,1.11709,98.8097,2.582293,257.7327,4.181023,33.5657,9.784206,240.4578,18.275535,64.345,30.852839,182.7592,29.642094,180.599,0.00257,30.8316,16.098732
1736,80.5216,1.016838,3.6182,0.002659,104.2299,0.711102,66.6107,1.665167,341.9893,0.803105,296.0421,4.208353,46.0862,9.869011,244.9082,18.321827,66.5106,30.867812,185.3463,29.544033,161.2038,0.00257,35.9781,15.650351
1737,80.2775,1.016853,134.3253,0.002503,81.2236,0.566391,53.678,0.342655,111.3168,2.451782,333.1354,4.584341,58.4615,9.947865,249.3673,18.367187,68.6399,30.88667,187.9442,29.441982,141.8616,0.00257,41.4203,15.17239
1738,80.0294,1.016785,271.599,0.002433,59.7974,0.769841,103.3235,1.529013,7.2683,1.287414,6.5535,5.146612,70.7878,10.004255,253.7959,18.417605,70.7696,30.904214,190.5506,29.352208,122.5195,0.00257,47.279,14.651409
1739,79.7886,1.01681,41.3517,0.002687,63.3761,1.133699,48.2942,1.359223,123.4522,2.237069,36.3914,5.692752,83.0614,10.035353,258.1924,18.473104,72.9003,30.919877,193.1632,29.275399,103.1773,0.00257,53.6361,14.088646
