Time,mercury_hdist,venus_hdist,mars_hdist,jupiter_hdist,saturn_hdist,uranus_hdist,neptune_hdist,pluto_hdist,chiron_hdist,sun_hdist,node_hdist
2004-12-26,0.371954,0.723182,1.575554,5.453616,9.057358,20.058001,30.066342,30.889199,13.206947,,
2005-01-25,0.465952,0.726858,1.538779,5.454986,9.06045,20.059487,30.065659,30.902025,13.261466,,
2005-02-24,0.345888,0.728231,1.500057,5.455924,9.063702,20.060946,30.064981,30.914884,13.315726,,
2005-03-25,0.379338,0.726446,1.462284,5.456429,9.067104,20.062376,30.064311,30.927756,13.369633,,
2005-04-24,0.465157,0.722662,1.42865,5.456504,9.070651,20.063777,30.063647,30.940626,13.423136,,
2005-05-23,0.342269,0.719306,1.402311,5.456156,9.07434,20.065147,30.06299,30.953493,13.476232,,
2005-06-22,0.381257,0.718539,1.385967,5.455389,9.078172,20.066489,30.062339,30.966369,13.528974,,
2005-07-21,0.465094,0.720844,1.381402,5.454206,9.082149,20.067804,30.061693,30.979274,13.58144,,
2005-08-19,0.34264,0.724726,1.389128,5.452608,9.086278,20.069096,30.06105,30.99223,13.633722,,
2005-09-18,0.380904,0.727714,1.408274,5.450593,9.090564,20.070365,30.060409,31.005258,13.685901,,
2005-10-17,0.465016,0.72793,1.436765,5.44816,9.095011,20.071613,30.059769,31.018373,13.738033,,
2005-11-16,0.340915,0.725216,1.471729,5.445305,9.09962,20.07284,30.059129,31.031584,13.790146,,
2005-12-15,0.38449,0.72127,1.509978,5.44203,9.104392,20.074046,30.05849,31.044891,13.842239,,
2006-01-14,0.463997,0.718659,1.548411,5.438334,9.109324,20.07523,30.057851,31.058289,13.894285,,
2006-02-13,0.334841,0.719145,1.584273,5.434224,9.114408,20.07639,30.057213,31.071762,13.946219,,
2006-03-14,0.392058,0.722401,1.615295,5.429714,9.119632,20.077524,30.056578,31.085281,13.997929,,
2006-04-13,0.462149,0.726246,1.639767,5.424821,9.124982,20.078628,30.055945,31.098814,14.04929,,
2006-05-13,0.329486,0.728193,1.656551,5.419564,9.130446,20.079701,30.055316,31.112338,14.10022,,
2006-06-11,0.396498,0.727037,1.66501,5.413956,9.13602,20.080744,30.054692,31.125852,14.150713,,
2006-07-11,0.461386,0.723529,1.664898,5.408003,9.141706,20.081756,30.05407,31.139369,14.200821,,
2006-08-09,0.328575,0.719885,1.65628,5.401706,9.147511,20.08274,30.053449,31.15291,14.250626,,
2006-09-07,0.396815,0.718443,1.639517,5.395067,9.15344,20.083698,30.05283,31.166493,14.300199,,
2006-10-07,0.46132,0.720145,1.615301,5.388087,9.159498,20.084629,30.052209,31.180134,14.349594,,
2006-11-05,0.328043,0.723889,1.584719,5.38077,9.165687,20.085535,30.051588,31.193844,14.398844,,
2006-12-05,0.398292,0.727273,1.549319,5.373121,9.172009,20.086415,30.050965,31.207629,14.447976,,
2007-01-03,0.460464,0.728145,1.511168,5.365144,9.178467,20.08727,30.050339,31.2215,14.497015,,
2007-02-02,0.324859,0.725931,1.47289,5.356846,9.185059,20.088099,30.04971,31.235458,14.545968,,
2007-03-03,0.403609,0.722017,1.437616,5.348244,9.19178,20.088901,30.049079,31.249493,14.594795,,
2007-04-02,0.458113,0.718949,1.408722,5.339365,9.198615,20.089675,30.048446,31.26358,14.643405,,
2007-05-02,0.320039,0.718764,1.389305,5.330241,9.205547,20.090418,30.047812,31.277689,14.691695,,
2007-06-01,0.409405,0.721567,1.381567,5.320901,9.212564,20.09113,30.047178,31.291801,14.739602,,
2007-06-30,0.456085,0.72549,1.386344,5.311364,9.219662,20.09181,30.046544,31.305911,14.787114,,
2007-07-30,0.317761,0.728019,1.40296,5.301641,9.226841,20.092459,30.045908,31.320028,14.834256,,
2007-08-28,0.411592,0.727588,1.429437,5.291741,9.234104,20.093077,30.045272,31.334162,14.881067,,
2007-09-26,0.455405,0.724474,1.462946,5.281674,9.241453,20.093665,30.044632,31.348323,14.927583,,
2007-10-26,0.317088,0.72062,1.500336,5.271448,9.248893,20.094223,30.04399,31.362524,14.973842,,
2007-11-24,0.412577,0.718496,1.53855,5.261073,9.256425,20.09475,30.043343,31.376775,15.019881,,
2007-12-24,0.454749,0.719496,1.574888,5.250556,9.264054,20.095248,30.042692,31.391088,15.065739,,
2008-01-22,0.315826,0.722973,1.607101,5.239909,9.271782,20.095716,30.042035,31.405473,15.111439,,
2008-02-21,0.415444,0.726668,1.633407,5.229148,9.279607,20.096153,30.041373,31.41993,15.156984,,
2008-03-21,0.452743,0.728218,1.65247,5.218298,9.287522,20.09656,30.040705,31.434452,15.202344,,
2008-04-20,0.313252,0.726635,1.663395,5.207387,9.295518,20.096934,30.040031,31.449026,15.247475,,
2008-05-20,0.420182,0.722912,1.6657,5.196444,9.303586,20.097276,30.039352,31.463639,15.29234,,
2008-06-18,0.449916,0.719448,1.659296,5.185496,9.311718,20.097585,30.038669,31.478282,15.336908,,
2008-07-18,0.311061,0.718521,1.644468,5.174568,9.319906,20.097861,30.03798,31.492947,15.381156,,
2008-08-16,0.424046,0.720736,1.621893,5.163687,9.328145,20.098103,30.037287,31.507626,15.425062,,
2008-09-15,0.447798,0.724613,1.592654,5.152876,9.33643,20.098311,30.03659,31.522315,15.468616,,
2008-10-14,0.310026,0.727651,1.558261,5.142152,9.344759,20.098486,30.035888,31.53702,15.511831,,
2008-11-13,0.425898,0.727947,1.520686,5.131527,9.353136,20.098627,30.03518,31.55175,15.554741,,
2008-12-12,0.446704,0.725319,1.482387,5.121013,9.361565,20.098734,30.034465,31.56652,15.597384,,
2009-01-11,0.309457,0.721404,1.446289,5.110624,9.37005,20.098807,30.033743,31.581338,15.639786,,
2009-02-09,0.427626,0.718712,1.415604,5.100381,9.378586,20.098846,30.033015,31.596206,15.681949,,
