category,days,stages,picks,auc_artamodel,auc_calendar,auc_memory,auc_temporal_half,null
astro-ph.CO,6463,8,sep_sun_jupiter|sep_moon_venus|t_venus|t_true_node|sep_mercury_jupiter|t_mars|sep_moon_mars|sep_jupiter_saturn,0.5036143860902704,0.651432059068715,0.5879465880671669,0.5199392031266964,0.4656005803609315
astro-ph.EP,6462,6,sep_moon_venus|sep_moon_jupiter|sep_mars_saturn|t_venus|sep_jupiter_true_node|sep_moon_mercury,0.505746894931185,0.5311211816045653,0.5573313192346425,0.5361329136439575,0.5465150773722238
astro-ph.GA,6464,4,t_venus|sep_saturn_true_node|sep_sun_mars|sep_mercury_jupiter,0.6482854764877237,0.6613483146067416,0.5689596337910945,0.4156117353308365,0.5699856433521961
astro-ph.HE,6464,2,sep_venus_jupiter|t_true_node,0.41180248592693336,0.5901356303600438,0.5493728512599645,0.46940393262762103,0.5251245298824965
astro-ph.IM,6462,7,t_mercury|sep_moon_true_node|sep_mars_true_node|sep_sun_venus|t_true_node|t_moon|sep_venus_mars,0.5973134152102031,0.59046410014171,0.555209317430326,0.4780374389704767,0.43424199714303324
astro-ph.SR,6464,2,sep_sun_venus|t_jupiter,0.5414373787339996,0.5754481461615378,0.5435878843263073,0.5492286975077172,0.5249591793463699
cond-mat.dis-nn,10935,8,sep_sun_true_node|t_moon|t_true_node|sep_mercury_saturn|sep_mars_saturn|sep_moon_mars|t_saturn|t_jupiter,0.5368203007435806,0.5910012399141995,0.5456211160699502,0.4876109722156706,0.5131933868761889
cond-mat.mes-hall,11106,6,sep_mercury_saturn|sep_moon_jupiter|sep_mercury_venus|sep_moon_mars|sep_moon_true_node|sep_venus_mars,0.47116035093282593,0.5564273822736642,0.5525269541778975,0.5119706062879357,0.5071242162751798
cond-mat.mtrl-sci,10938,8,t_sun|sep_mars_jupiter|sep_moon_venus|sep_moon_mars|sep_moon_saturn|sep_venus_mars|sep_mercury_jupiter|sep_saturn_true_node,0.4399152406844714,0.4547569166799936,0.5636718375179914,0.46606513715575865,0.41467713077011703
cond-mat.quant-gas,6403,5,sep_moon_mars|sep_saturn_true_node|sep_mercury_saturn|t_moon|t_jupiter,0.4723549188554756,0.6255532581213082,0.5519363348671906,0.5280561647425552,0.47996643148308427
cond-mat.soft,10956,4,sep_moon_jupiter|sep_mercury_mars|t_venus|t_saturn,0.49387531796569634,0.4632259629213926,0.5644927495360943,0.49294441557346946,0.5308818303741638
cond-mat.stat-mech,11118,8,sep_moon_saturn|sep_sun_venus|t_sun|sep_mars_jupiter|sep_sun_mercury|t_mercury|sep_venus_mars|sep_mercury_mars,0.48797360212834273,0.5444756930110239,0.5227416938060945,0.5156458438550356,0.4759897154468921
cond-mat.str-el,10964,2,sep_sun_moon|sep_mars_jupiter,0.508195729130981,0.4982905104487838,0.5855595523581135,0.49293970950021904,0.46639169910726447
