category,sky,sun_only,sky_no_sun,null
astro-ph.CO,0.5797487197808742,0.6517982612837918,0.5372930808622127,0.44633518754702745
astro-ph.EP,0.5385431352802955,0.5354011413225914,0.5193957703927492,0.5312302298419476
astro-ph.GA,0.6194132334581772,0.6592592592592592,0.6023054515189347,0.5312039791594825
astro-ph.HE,0.626385583134988,0.5886168725679096,0.597166496656466,0.5259693349956079
astro-ph.IM,0.637015824279641,0.5892684222957015,0.6435049598488427,0.510453159794824
astro-ph.SR,0.5966750766500454,0.5777228148942792,0.5907351120117077,0.4930409109721356
cond-mat.dis-nn,0.5525068710378855,0.5888323098828888,0.5446304724551405,0.49977120820263377
cond-mat.mes-hall,0.5875667248031289,0.561248084139316,0.5393359230484647,0.5501546379336871
cond-mat.mtrl-sci,0.4710746841516072,0.45209339517031827,0.4578042539581001,0.5139602568754574
cond-mat.quant-gas,0.5431198547680293,0.6253146784110042,0.5540122525763866,0.48151357372307313
cond-mat.soft,0.47433544464435784,0.4655705897946407,0.4738594126306409,0.5256258608154017
cond-mat.stat-mech,0.5135267113129367,0.5418549225570692,0.4971083130743238,0.5258194064496796
cond-mat.str-el,0.537590499029348,0.501120246659815,0.51206463400708,0.5401336993102667
cond-mat.supr-con,0.517453786523554,0.4997992446829656,0.4944265553567879,0.5493406983069945
cs.AI,0.5344170986629087,0.5097975070042109,0.5025863852679495,0.5374754379701353
cs.AR,0.5456124287873503,0.5295677828159516,0.5429964539007093,0.516802323611276
cs.CC,0.48190936034073295,0.575818956211113,0.47726157530079105,0.49835670128294707
cs.CE,0.5670706240799699,0.48419773373044406,0.5676560199924686,0.47108520788168606
cs.CG,0.5881988063733519,0.4644332302412471,0.55021029046461,0.46953220464722883
cs.CL,0.6007830531597783,0.6290262294775596,0.5870983114832223,0.4886440575143956
cs.CR,0.48865152228499686,0.5189128217200252,0.48631512868800997,0.5061126809188031
cs.CV,0.5818583693911621,0.6219081121597221,0.46391094000204425,0.5886558825238264
cs.CY,0.4943886052545481,0.427363823813618,0.48791362636860963,0.44721680186087504
cs.DB,0.4916933107642154,0.5129895086310522,0.4282953501620452,0.49101878709826846
cs.DC,0.5329586101175268,0.6042325247048838,0.5214830724994154,0.5772298593995111
cs.DL,0.48723686053024645,0.5567616924943988,0.5237904919716205,0.49865623116827296
cs.DM,0.5463651085434174,0.5091649159663865,0.5348498774509804,0.5025685355166533
cs.DS,0.6759086347866391,0.5866358576063431,0.609643655868496,0.5259299851626498
cs.ET,0.5150165581820259,0.5600916092522807,0.5066296169413675,0.456369175922773
cs.FL,0.5623715887266069,0.5949740944213676,0.5337107508151324,0.5175829832139064
cs.GR,0.6048252555931043,0.642126876844762,0.5904949309150019,0.5093512080010568
cs.GT,0.5739601518552387,0.504663729320808,0.5611826973702442,0.502095406397481
cs.HC,0.6683637755660068,0.7682161216230997,0.6520616865361478,0.5634129654212445
cs.IR,0.6305539457162175,0.5143768714382304,0.6345533903216459,0.5574781977229063
cs.IT,0.5325784498660804,0.5523824163913582,0.5155857555261429,0.5879534362366607
cs.LG,0.7343231989249689,0.5831999858548531,0.6501153713543094,0.47092759009902324
cs.LO,0.5772006106634201,0.5299051152723829,0.5502251338241831,0.4962577106345935
cs.MA,0.5945241199478488,0.6076401564537157,0.5523859191655802,0.5805195373647275
cs.MM,0.5628775834658188,0.5067170111287759,0.540472972972973,0.5529049635941222
cs.NE,0.4700029198562923,0.643549021848142,0.4738977542496604,0.5645081636032229
cs.NI,0.4925796586761369,0.5394534872250173,0.4900424188615961,0.48725319860211225
cs.PL,0.5738091557102304,0.617518675556813,0.5754538546809777,0.48231295591787554
cs.RO,0.6936918111954679,0.6226927631120708,0.6153483008675598,0.704135944028725
cs.SD,0.5269084419798242,0.4836735295852752,0.4891083121939709,0.5999138642524239
cs.SE,0.513852141001151,0.5708683838971085,0.5111618001257667,0.48433127751580196
cs.SI,0.5487249929557622,0.543107213299521,0.48966258100873483,0.5283670220153861
econ.EM,0.5197206922870639,0.48402335127998847,0.5132021370959424,0.4962227038223726
econ.GN,0.4946691855036588,0.47141337155017043,0.5074099407204742,0.505442380451523
econ.TH,0.41061722708429294,0.3912828189774297,0.396568401658222,0.5326557012220149
eess.AS,0.5324812456660153,0.5710615898632038,0.5342463594528148,0.46205607268072174
eess.IV,0.5176230388996347,0.4808859875349237,0.4977971201375457,0.43963346367353756
eess.SP,0.4231622306717364,0.6342680608365019,0.40094264892268694,0.4523490917800091
eess.SY,0.7541786361426613,0.7409908516374243,0.7506209395854511,0.6402756478038949
gr-qc,0.5458516972873938,0.5990136902641355,0.5312758919028958,0.5737607490585104
hep-ex,0.5227700523569735,0.5216273875644227,0.5189026415025678,0.5497795201117309
hep-lat,0.5870540150665171,0.5936199711492226,0.5798813912485976,0.5489889316689317
hep-ph,0.5719442970210213,0.6255255324549462,0.5557837413757298,0.5843749464434843
hep-th,0.7147878587379042,0.7506125930646843,0.6927896458393135,0.6643105115315406
math-ph,0.5743208128091567,0.5896841813208771,0.572979106232931,0.5404289466280894
math.AC,0.5058294950572083,0.42886306373397737,0.48781724638038126,0.4882440616886383
math.AG,0.48967564852355494,0.5167064332101468,0.46941713609127766,0.5360902803784569
math.AP,0.5002753066159958,0.5558440576956296,0.4657540162376922,0.45370974197549635
math.AT,0.5321700247667641,0.5873645276624271,0.5280732667920522,0.5378701430159653
math.CA,0.475794975771724,0.49406965280555065,0.4746695932811875,0.5128590327762692
math.CO,0.5247479677521614,0.5555979158724108,0.5140871328442811,0.5382939447914197
math.CT,0.5981907081509696,0.5465050268280623,0.5390737451242514,0.5578178484389174
math.CV,0.49712410511912286,0.5696921699607465,0.48579119296491136,0.4782885069610117
math.DG,0.5283077366789242,0.507178393745558,0.4944490796534924,0.5263513316921116
math.DS,0.5767907969639469,0.6240006132271949,0.5609481302355719,0.5031967524688298
math.FA,0.508362823013296,0.5338224568190045,0.507093190990475,0.48741755547969734
math.GM,0.5639255167498218,0.5856089629365645,0.5713482270135424,0.4977281393717707
math.GN,0.547943003353532,0.49784096846072434,0.5397176960208625,0.5530655045703425
math.GR,0.4998839872083287,0.5111599261553361,0.5232756968333552,0.49888086294260026
math.GT,0.4867548500881834,0.5833426704014939,0.496557734204793,0.5113015210732671
math.HO,0.49519208676071874,0.4857773080281237,0.5234325934776283,0.5096858296483564
math.KT,0.5068907504118327,0.5135011040622481,0.5082419123059129,0.5495292916347366
math.LO,0.46874621848739495,0.519950700280112,0.4948915032679738,0.5242481959577351
math.MG,0.5174872766007812,0.5806025410776681,0.5086928218929948,0.5339951760474987
math.NA,0.5588726045123488,0.5422241867700079,0.5353188387947949,0.5096944633932515
math.NT,0.5636087839553185,0.517994414826098,0.5598565625793348,0.5452187128383874
