category,days,test_pos,auc_level_all8,auc_rise_all8,auc_level_slow4,auc_rise_slow4,auc_level_sun,auc_rise_sun,auc_level_moon,auc_rise_moon,auc_level_fast4,auc_rise_fast4,r2_sqrt_all8,r2_note
astro-ph.CO,6463,0.278,0.5478295819935691,0.4141419554602835,0.48401810170298915,0.5069042515183995,0.5001935214957722,0.5177652733118971,0.51935214957723,0.5543497677742051,0.5069250922948673,0.5482880790758604,-6.163658276662793,vs trailing-level baseline
astro-ph.EP,6462,0.232,0.4534340382678751,0.44593823430681434,0.46497482376636456,0.40801946962067803,0.48881503860355824,0.4005740181268882,0.4818160456529037,0.4347364887546157,0.4903054716347768,0.4336589459550184,-5.828284565773616,vs trailing-level baseline
astro-ph.GA,6464,0.174,0.34963379109446524,0.526762380357886,0.41473990844777364,0.38287141073657927,0.6587515605493135,0.4567166042446941,0.4381023720349563,0.48143986683312523,0.5426674989596338,0.5033666250520183,-7.649262258442608,vs trailing-level baseline
astro-ph.HE,6464,0.197,0.46931504779175637,0.4786051607540897,0.44532849748762704,0.5046318334655635,0.5766746004760286,0.5714911783595904,0.5451735993048472,0.4700630926744494,0.5629566662888662,0.4945521175714987,-9.222528035649155,vs trailing-level baseline
astro-ph.IM,6462,0.282,0.4191131317902692,0.6539294992914502,0.4615965989607936,0.6229629192253188,0.5987482286254133,0.6390883325460557,0.5537110297590931,0.5041509211147851,0.6069821681624941,0.5813799008030232,-4.549365720831789,vs trailing-level baseline
astro-ph.SR,6464,0.237,0.36848309063578144,0.47823337372774166,0.5463674831634782,0.4954473515174391,0.567160670414738,0.46159882392673385,0.48175960691605246,0.5185582507234572,0.5562442471078265,0.5073703240161312,-7.427154924184707,vs trailing-level baseline
cond-mat.dis-nn,10935,0.349,0.5180624592980687,0.5501135054986699,0.5851778743381912,0.5198423064611671,0.48305052006490234,0.5060551596251559,0.5110617271232151,0.5168639368931502,0.4866755214446288,0.5213204534333113,-0.48930023692627,vs trailing-level baseline
cond-mat.mes-hall,11106,0.189,0.5053089160192379,0.5043694836425135,0.5043985518735796,0.4942682733470746,0.5051609322974473,0.4862031605094868,0.5448734210665398,0.5119787537656572,0.48298319327731093,0.5121716611172772,-5.01097875166803,vs trailing-level baseline
cond-mat.mtrl-sci,10938,0.154,0.4574444266751959,0.58147769070846,0.4597633136094675,0.4515592515592516,0.33752118982888213,0.4385207100591716,0.5292931392931393,0.49459779305933155,0.3323812569966416,0.4825923556692788,-4.843602694887277,vs trailing-level baseline
cond-mat.quant-gas,6403,0.333,0.5426152723922141,0.46490958651668135,0.4987714516067109,0.5194017408091965,0.4975840376462329,0.5219109412106686,0.4420031920319861,0.5390886803525495,0.4765396618201165,0.48560020622062317,-3.325311576443517,vs trailing-level baseline
cond-mat.soft,10956,0.244,0.4968409297288761,0.5069966553674865,0.4682948014371204,0.5500188946356155,0.4302607459714945,0.5234118635750906,0.48170942870518163,0.4757285715091456,0.444256312782362,0.48341163796750125,-8.312751728174234,vs trailing-level baseline
cond-mat.stat-mech,11118,0.304,0.4629212344999465,0.4963333103986055,0.47531172117486964,0.49488746693576746,0.5294434123816951,0.42241181597174443,0.4889062810574438,0.4860518630643854,0.5140905233704876,0.4693286240692323,-6.844892233458509,vs trailing-level baseline
cond-mat.str-el,10964,0.239,0.4417346123101519,0.4743610825625214,0.4832625328308781,0.3897236496517072,0.46219367363252256,0.3959004225191276,0.49960831334932054,0.5162612766929314,0.4681648966541053,0.45136233870046816,-0.970185293406447,vs trailing-level baseline
cond-mat.supr-con,10987,0.296,0.5100983899821109,0.5093798449612403,0.5278523156430133,0.4691661697475651,0.4242138739813159,0.49465513814351025,0.49557741999602467,0.5329795269330153,0.4458238918704035,0.5383164380838799,-1.8184653015891215,vs trailing-level baseline
cs.AI,6784,0.264,0.4953724674395066,0.5075214879684153,0.4826530441055581,0.49158655862566475,0.5259784924589394,0.495744347699655,0.4879656192505354,0.4939268877816364,0.5102840270438035,0.49165086874584085,-9.686776128667304,vs trailing-level baseline
cs.AR,4036,0.302,0.5284123939076851,0.5303453086850367,0.5813132193930938,0.5512004418090919,0.5030083711196373,0.525018893151959,0.51121235902802,0.5199540751075457,0.5662350308103709,0.5300255784211138,-11.870341069398082,vs trailing-level baseline
cs.CC,7545,0.338,0.48650611395709437,0.5053170817876701,0.46577754224813056,0.5251094231486388,0.5353235588529707,0.522995544564172,0.444990088127343,0.5001589825119237,0.4832754322950401,0.50149757600738,-1.3596892317812852,vs trailing-level baseline
