category,days,peaks,pos_rate,test_pos,auc_sky,auc_calendar,auc_sky_plus_cal,auc_memory,C
eess.SY,5883,352,0.286,0.206,0.7541786361426613,0.7398020064524682,0.7526273920537412,0.5034891943253635,0.03
stat.ML,6788,368,0.248,0.169,0.7462684835287245,0.5708765727679556,0.7443152149949139,0.7101407513701888,0.003
cs.LG,7123,321,0.21,0.128,0.7343231989249689,0.5880977429649996,0.7340756588544199,0.7124556859070134,0.003
hep-th,12813,496,0.23,0.25,0.7147878587379042,0.747377323272374,0.7199910482760634,0.6085372201978136,0.003
cs.RO,5128,237,0.227,0.143,0.6936918111954679,0.6080889693761463,0.6923374583052789,0.686227391980683,0.003
cs.DS,7843,429,0.267,0.236,0.6759086347866391,0.5810605276539066,0.6735822057427249,0.6105830022184323,0.003
cs.HC,5485,347,0.277,0.187,0.6683637755660068,0.7635349447664881,0.6719730941704035,0.705359291261074,0.003
astro-ph.IM,6462,314,0.257,0.282,0.637015824279641,0.5904434341048654,0.6374025743977326,0.5547812352385451,0.03
cs.IR,6422,391,0.284,0.278,0.6305539457162175,0.5133807833478219,0.6278524340770791,0.6483069520911813,0.003
astro-ph.HE,6464,258,0.226,0.197,0.626385583134988,0.5892893573614417,0.6269711738259851,0.5494861913937059,0.003
astro-ph.GA,6464,231,0.207,0.174,0.6194132334581772,0.6605076987099459,0.6232667498959633,0.568535164377861,0.003
physics.plasm-ph,9880,838,0.338,0.315,0.6079248338850708,0.5803146090896569,0.6094672448431941,0.4790308102228956,0.003
cs.GR,4596,368,0.312,0.262,0.6048252555931043,0.6228405209027189,0.6034502777455253,0.5763784916798562,0.003
cs.CL,6222,290,0.231,0.165,0.6007830531597783,0.6311333713335264,0.6005354289505406,0.666289000812955,0.3
math.CT,7765,714,0.354,0.346,0.5981907081509696,0.5484406761037962,0.6035050451407329,0.5118940795136155,0.003
astro-ph.SR,6464,254,0.226,0.237,0.5966750766500454,0.5753885478541299,0.595512909655588,0.5432832707551106,0.003
cs.MA,4249,370,0.338,0.306,0.5945241199478488,0.6077314211212517,0.5964406779661017,0.5336147327249022,0.003
math.OC,8051,476,0.285,0.221,0.5927122968798961,0.6743095035587985,0.5939657101929361,0.6091823716370474,0.003
cs.CG,6596,522,0.314,0.272,0.5881988063733519,0.4755781900817103,0.5896422888182286,0.5995031869657593,0.3
cond-mat.mes-hall,11106,547,0.26,0.189,0.5875667248031289,0.5564472015221182,0.5883158923946937,0.5283144389831405,0.3
hep-lat,12575,656,0.241,0.27,0.5870540150665171,0.5952857028369931,0.5898669658599134,0.6260774963936528,0.003
cs.CV,6966,334,0.229,0.141,0.5818583693911621,0.6156263841095704,0.5813473135497939,0.7217088003815884,0.003
astro-ph.CO,6463,301,0.249,0.278,0.5797487197808742,0.6513844230082173,0.5908687626533287,0.5874910682386566,0.003
cs.LO,7852,522,0.301,0.299,0.5772006106634201,0.5337120992521305,0.5769938353914237,0.5526532939107581,0.3
q-bio.QM,7444,702,0.368,0.358,0.5770741912440045,0.5468140391091713,0.578948401328236,0.48680399098809146,0.003
math.DS,9195,561,0.308,0.287,0.5767907969639469,0.6190065719442773,0.5781040287869673,0.549016233165178,0.003
math-ph,10904,649,0.305,0.283,0.5743208128091567,0.5882870879376851,0.576508332867463,0.5324302695629308,0.003
cs.GT,6952,458,0.282,0.248,0.5739601518552387,0.499019037326461,0.5774517139135977,0.6416479618699255,0.003
cs.PL,6360,445,0.292,0.251,0.5738091557102304,0.6109365902758818,0.5738716542711187,0.544689760433148,0.03
hep-ph,12619,462,0.214,0.162,0.5719442970210213,0.6241225742437178,0.5718923783372176,0.49422491173823757,0.03
nlin.PS,9749,960,0.367,0.387,0.5684147524176342,0.5242007259829865,0.5704619136024829,0.5410058466568761,0.003
cs.CE,5693,472,0.34,0.342,0.5670706240799699,0.47864845434938896,0.5664509944883777,0.6285680052035193,0.3
