category,feasible,aspect_residual,r2_heldout,auc_level,auc_rise,null,a_sun,a_moon,a_mercury,a_venus,a_mars,p_sun,p_moon,p_mercury,p_venus,p_mars,b
astro-ph.CO,True,1.0050659368697583,-0.09243434666581463,0.48674228891270693,0.5112302012623557,0.49808378194432,0.04586149208566689,0.008736453065332491,0.021442273616194194,0.03864161661139651,0.04426819130919763,175.1832810459014,192.92819897434418,256.845308816498,41.4537147496967,359.9478375569262,0.9207311942748837
astro-ph.EP,True,1.001781816832179,-0.005538133472067663,0.42249076871433366,0.4319771735481705,0.5414444905326163,0.04027312363615108,0.003495438001943033,0.030038263452513914,0.02853938430301866,0.019440034828444457,257.20332419617523,143.5919951955845,9.677875204068863,121.00143558523283,157.1470369777729,1.0256443145370384
astro-ph.GA,True,1.0049900518343742,-0.02036265296972206,0.49952143154390344,0.5141448189762796,0.4547821728605571,0.054318798453213794,0.00995883093180127,0.04612194985708653,0.01127847842917649,0.032636154434167695,110.14552681591894,67.34241302076903,278.2548830135852,347.5395554638498,193.42722350427667,0.9803821975235215
astro-ph.HE,True,1.0000732738728633,-0.08244286802196177,0.507185764479202,0.503003513544146,0.5380465498743852,0.04558369057704598,0.0020431876140029606,0.01878586093823204,0.0084430219645337,0.022565760921128483,163.07783800539622,340.2532543033755,302.97639472339563,333.18077896723156,13.62359578111962,1.1072513366344727
astro-ph.IM,True,1.042205653881115,-0.38989931420755974,0.5991881199811053,0.6052137458667926,0.4206197939696199,0.10127586552548282,0.002572496028518182,0.1627974595157056,0.04909910277531588,0.020105531737781304,68.10006647395191,191.83866291864004,208.06063429361424,85.31784162131162,280.16127666817044,0.7225230924517716
astro-ph.SR,True,0.9972158855348264,-0.3872556053946299,0.5107740495725478,0.505608862930515,0.5074049162709073,0.038747131673688616,0.008944283509584147,0.021498458098473384,0.019558508048001563,0.01790954765702148,196.05731463288097,324.8841318540521,16.386966180444965,95.08315583891847,263.0998772415484,1.1943809448532425
cond-mat.dis-nn,True,0.9949170212295492,-0.021741245071525972,0.41051186012884805,0.5174277851158786,0.4970617009470668,0.03462537486678404,0.02094915535034641,0.026845537867081284,0.03682133509563941,0.033225267621410634,6.812441255561453,110.19863573167412,246.37140996860606,136.90412875581717,136.5188740306827,1.0733853085905471
cond-mat.mes-hall,True,0.9829605620375044,-4.607503147474294,0.5211656360657471,0.5321706040906928,0.5103996457379174,0.11543200497818096,0.01410736641439654,0.06306825789824269,0.043493213453978496,0.03256960780813171,250.5623876353369,117.53491894258018,65.16370810659811,103.91339775545217,104.5823122865998,1.4567792624688847
cond-mat.mtrl-sci,True,0.9991629418048643,-0.3742138790105838,0.3923668639053255,0.5009515432592355,0.48247669691768824,0.017383487956479367,0.00503817183411423,0.01258847021241998,0.012463948668982141,0.009505405905093713,84.81097700579824,79.91512833466831,299.2845351943813,135.88177606039528,153.7906486137424,1.1543753246063808
cond-mat.quant-gas,True,0.9971789278926492,-0.09477476764662818,0.4643693542990967,0.5053447339699115,0.47100280790717264,0.09524564623309051,0.009650868867003386,0.13208185760180857,0.0255716824150575,0.016132951081775163,226.43661528614294,113.39884615899021,54.22568514040565,275.24096098615524,327.06668394576974,1.1295059495949777
