category,lam,inner_r2,feasible,aspect_residual,r2_heldout,auc_level,auc_rise,null,b,a_sun,a_moon,a_mercury,a_venus,a_mars,a_jupiter,a_saturn,a_true_node,p_sun,p_moon,p_mercury,p_venus,p_mars,p_jupiter,p_saturn,p_true_node
astro-ph.CO,100.0,-0.07015305762279422,True,0.9908547665670763,-0.04923901027704969,0.4890615696081934,0.503977611051566,0.472559715443333,1.007892358891595,0.022727739734385285,0.010768859851442767,0.017100295612212536,0.04631476880110718,0.05811706805926213,0.03727352865309893,0.017579827406806865,0.006020345433975806,251.457387408011,159.90912811604053,217.6786996429502,28.956773033991148,319.4846378766749,274.4194483629372,128.7698213207336,294.47333181113396
astro-ph.EP,100.0,-0.05788585227545062,True,0.9949731155016854,-0.036135719448041836,0.43401141322591474,0.4417455521987244,0.5211195405016567,1.0367696614502975,0.028899770485421295,0.008743057537742058,0.01820426064597706,0.03234009688453364,0.013087577885610806,0.037824775947801224,0.023075782929698137,0.020084803571599426,280.8212291638138,163.98865389910918,261.65568502831474,64.94231155264676,304.2012305132389,255.1674438021514,151.6026858906674,210.7958082312387
astro-ph.GA,100.0,-0.012116968016734342,True,0.9961439405198494,-0.010048642111161188,0.36202663337494795,0.49235122763212646,0.4332449471180585,1.0087048382629242,0.010202108144759454,0.023823651980561078,0.020236300277322674,0.0333920720955067,0.02398477200177422,0.009228283031130808,0.0019262609735734564,0.002083670243671043,165.4918147862473,57.423600755154574,245.9847317015158,27.90404754180695,248.8826321221415,112.39178192801754,77.26477011185128,294.5101291479783
astro-ph.HE,100.0,-0.11276868225589731,True,1.000069979056295,-0.06290327282407215,0.4559522460236503,0.5059843590615436,0.46461850197698673,1.0297203330323235,0.013098371971744823,0.006134300028137667,0.011154486335393444,0.017442011418030524,0.04072675780620222,0.03226293609099319,0.01312920989019392,0.024142026909020266,194.37639232481166,203.30457858724475,257.36991990998376,357.17362119592,324.6115456700141,288.46608636835686,161.26368564348513,167.98363181799803
astro-ph.IM,100.0,-0.048091895858430656,True,0.9982217810393434,-0.02018005121937083,0.620730987246103,0.5848872224846481,0.49617960764526126,0.9644388892537196,0.003259897844729983,0.005812853532420283,0.06105084994209202,0.04820017016327808,0.07360455710848558,0.00902698831078294,0.016506701484239935,0.009497354237920256,106.80682082406324,262.43562466990653,207.88441852257063,98.78709714839341,335.1625536496924,299.8579138531142,106.2932787800587,72.19409264823999
astro-ph.SR,100.0,-0.10454102397798648,True,0.9954956234746152,-0.014987847025031087,0.367787777049354,0.48969942586963866,0.4580800626571441,1.0361839933374486,0.01293739886625967,0.0035837046930910065,0.0072388517753634715,0.026061339828665864,0.02994795393118102,0.02901032063793677,0.007504235855286845,0.010797710675947543,214.36829045960332,319.8248702331172,300.8428433417508,57.23566469377542,303.5633536612665,286.9791790921804,146.9165812649876,175.92913055997573
cond-mat.dis-nn,100.0,-0.052808735707478904,True,1.0009200009702968,-0.006269007490087741,0.46144308352312235,0.522426994072695,0.5392108809458964,1.0224328065178399,0.022932503031138463,0.0184721486898789,0.02240861739941144,0.033389665168152366,0.023207891164881325,0.00820563412030421,0.07048056838019029,0.05381871139535892,6.993876273115752,107.97533778897022,240.4010713810559,120.88203044704805,116.5230964815527,307.9081819214855,343.0946741231109,218.46534978678764
cond-mat.mes-hall,100.0,-1.0978647744368168,True,0.9615394289736464,-1.8751729944657423,0.5142962845515564,0.5289730986734316,0.47948806975699454,1.1741558584610423,0.05905399432612896,0.013426746422972197,0.017243032359319923,0.03733050211551803,0.03918547158872346,0.016138428613465868,0.18585863195272598,0.08306217181780451,234.3412042356828,116.68842994545805,87.42789187279219,126.7059426976312,72.74024812702106,182.6838845461053,339.9437945137988,256.94893730093577
cond-mat.mtrl-sci,100.0,-0.020257783757017922,True,1.0009113564433056,-0.07564414334169167,0.4210155125539742,0.4914441068287223,0.47167049647339876,1.0575262816608926,0.019605044718779913,0.004748132576346283,0.008973824043058529,0.010552147065989665,0.007713561332061081,0.016906463364728234,0.03805037910232066,0.0239672303708561,78.48704786928131,61.25877097558322,283.97574101979956,125.38969851086644,118.02613005485932,54.61047174046244,3.9253105170243803,232.00072619681325
cond-mat.quant-gas,100.0,-0.08451595108476684,True,0.9602327555660268,-0.08078350971126902,0.4969176598346944,0.5470687603178869,0.5161847635316607,1.0145286068096844,0.02521364207202427,0.032014413341231424,0.10667154812073246,0.07136442070600575,0.07681078827361584,0.06199216860947417,0.06270441699243774,0.03434552828746881,326.0399890283094,88.1561223772154,29.362399054821562,198.4689882496538,300.911323477497,242.05484922582514,105.8518576453565,277.99939584393053
cond-mat.soft,100.0,-0.02904273871362606,True,1.0073855227204567,-0.00955147814870183,0.49119509980315734,0.48454306002853936,0.5034232107996123,1.0050159270253545,0.02589711029563559,0.01590416398322355,0.03640835743690372,0.03256249481551618,0.007877181258447127,0.050968691706645336,0.055134608211847916,0.03409037525670085,88.3649191160351,142.41503042846242,307.06163947607877,130.398741008962,246.75464669712517,279.69661657637596,354.1331756154019,202.79725510854763
cond-mat.stat-mech,100.0,-1.120844571007963,True,0.917865062651061,-1.763815696400791,0.48153945537666465,0.47324759567603936,0.48801196603783303,1.1334859426831225,0.1613822556104406,0.020581583040404895,0.08122913584158777,0.06655494833304916,0.037098474211275594,0.07751429562291454,0.3301450423590331,0.09547448273777684,224.43812776624264,103.16114563644895,59.022821531690035,97.63925978458741,67.62379176537445,182.1463949305608,342.2977592231974,260.177907845288
cond-mat.str-el,100.0,-0.08902464179921532,True,0.9788468500528985,-0.05553647739337264,0.4856617563092383,0.4729861824825854,0.49949731789222135,1.0267489911727141,0.02047984020327833,0.00959418090860546,0.027556967415604677,0.025813780462064378,0.01456679365246602,0.012775872137515978,0.11633472865491984,0.06968444772590279,184.54350517436933,55.30734511663185,19.68452779791212,144.8590601755781,95.25271337495711,250.98089317429037,354.69824638342516,234.72717519237455
cond-mat.supr-con,10.0,-0.06227093639314374,True,0.9660471547403721,-3.2500185906793524,0.5048747763864043,0.5235589346054463,0.4672274415361506,1.1241915927329817,0.09478724190231856,0.027594600607023997,0.08301927222498902,0.03281581763783445,0.042469010779285214,0.1192177234849131,0.3428764912476662,0.1810526899404761,233.3626856466597,77.35338115422951,48.21826525099711,99.81438742678019,144.02967544106318,147.86508317339195,337.0788106894814,310.59916623350193
cs.AI,0.0001,-0.41560269509415093,False,0.8190085705836178,-20.53379365954409,0.47321064080840614,0.49586737575564394,0.4926976823287518,1.8861422578969045,0.16555894939010665,0.013671600367086518,0.11013334445465237,0.08022727133671757,0.0643498960204334,0.9569421438703538,1.5474689295419266,0.4436562929646229,193.8561904347956,340.32123740097654,179.44615401393077,11.227942628024657,118.28794656084345,340.57669775716823,48.688193489801925,230.52517341090828
cs.AR,100.0,-0.03398430754649273,True,0.9940199598957992,-0.02374857499321803,0.4664428554819207,0.46437914196023716,0.4924235065765997,1.1263067202126464,0.09881893369899224,0.014174239516674913,0.06968150120379044,0.03708726530319416,0.047576288651762166,0.020832238203518032,0.008374506723876133,0.021061523193084658,119.3839260043405,246.1787972227562,291.4056578080757,343.30254305164965,230.84870358106352,218.92201848922025,44.267364454734995,343.88490736490576
cs.CC,100.0,-0.0143026472700154,True,0.9973943739137515,-0.028007184124477114,0.4667373255608549,0.5030442206912795,0.497367368209001,1.1038103974150952,0.031616570701396965,0.043594617994994374,0.014089877733375422,0.019518932891255635,0.053880839910434214,0.01713615363430675,0.015300997308124082,0.03803679762429777,268.868145144033,84.25105830049336,172.4644500426218,315.54052092330625,78.81787449236417,157.053843954806,95.16789872873917,279.1559851792363
cs.CE,100.0,-0.019495710117026332,True,0.99796890261985,-0.04700498052207247,0.5214337064804354,0.5522097839854849,0.515078366985724,1.0864962233574675,0.04669508076881402,0.04393397770139994,0.08285120117570592,0.038853447132757735,0.04985763787731722,0.07695755249318673,0.030591129330326955,0.02069295081905506,60.494220235077755,329.9156272034441,65.5472398433541,234.72918930545165,223.06597484877918,54.82567928167805,323.5481942826166,32.073197718503486
cs.CG,100.0,-0.05562456489773715,True,0.9969472651201615,-0.011251032557181073,0.5065000188406343,0.49798984924593986,0.509836317765719,1.0895121163297805,0.07542494830366929,0.02895888383116149,0.03340042098724563,0.017986319811948218,0.0316108081371283,0.018177474115650176,0.01971145359245558,0.020208090028724545,135.41947532319142,267.5802316074057,250.0556574090834,236.78021607520583,325.4457568509192,259.89564349482055,163.63801838285022,216.04919143873127
cs.CL,100.0,0.030461087126246733,True,1.0078191038253699,-0.10102362771604922,0.5090593083341899,0.48859994206527935,0.5784627690955084,1.0588609077231503,0.05203658073677176,0.06793547220809638,0.04907415891338228,0.08165174494464528,0.08558328082329796,0.06603734241179515,0.05307488789496057,0.020420083100245557,107.56365948464371,67.06699104755715,356.0662566941193,169.58058643996725,0.07848678062017131,79.80924834519138,281.30895313269315,90.64412971172413
cs.CR,100.0,-0.11030682894510568,True,1.00535912490923,-0.08482175393732128,0.5746351224105462,0.4868585216572504,0.4755917983628032,1.020209018982749,0.08725968283179035,0.020852545617069645,0.03081745738723552,0.08226930299066483,0.03272967514117333,0.028308833316458913,0.0066175657964187935,0.02831883466082309,251.42988515873333,296.15053305201167,28.949758526137135,90.2979428443929,93.17832425862375,269.8640099582245,336.0391894807922,89.49054420378063
cs.CV,100.0,0.016437394846811948,True,1.010145829981281,-0.13247437970889409,0.4964481619024906,0.47398725767435523,0.4894133704222091,0.9862202274252817,0.03146594140027242,0.06552461421686051,0.03470647432521552,0.1254266042212888,0.04646317631800307,0.02341343137913561,0.04746758661015596,0.04947089584410659,137.29756723005698,88.17661450150203,160.61771535350175,359.86928869893404,72.95346582960609,318.02901628614444,239.1656504198865,186.37072177450906
cs.CY,100.0,0.0015709409173856326,True,1.0017243594884333,-0.13466675125640704,0.41346658652200047,0.532975979426154,0.5395259411823405,1.0814873832855363,0.043907793639949594,0.014711543572682576,0.0711058609918209,0.05688546603500189,0.04617332756883712,0.02978460964366439,0.005087484654475568,0.02086726544409806,149.83289016548576,322.1696981158802,359.1831926824782,65.92409440127756,88.05351172474184,85.76103259938431,333.24589139034555,207.26994098584885
cs.DB,100.0,-0.09538089232004432,True,1.0001556971203636,-0.031585641439667356,0.5052538616905577,0.5261384729865649,0.498929708783061,1.12831640250089,0.03920596191893756,0.0660714695405639,0.04313214836031653,0.04641724815125255,0.014085045310094742,0.022822491888104132,0.010710188907823678,0.021014653585992655,199.6875015832006,322.963031101961,318.82428205965584,26.276668458635363,332.8633369984461,157.66610862815273,95.58975329295289,304.00323945855337
cs.DC,100.0,-0.018531047086319363,True,0.9798080845438288,-0.1631904860090725,0.4662164502914353,0.4817863731238579,0.5347121825638811,1.108419108206034,0.007837257838424703,0.02092225272770711,0.035539359984611524,0.0338904793193773,0.0538065169958355,0.06383063995156905,0.04632300221466448,0.037600115292015165,236.25759925712396,200.2854704436173,91.08935870363814,271.94957724165886,90.82237662259826,120.26540287784967,67.39385915418316,339.14426704527295
cs.DL,100.0,-0.0633806781795776,True,1.0014397038286171,-0.20677473525168422,0.46948807412247945,0.47610156833457806,0.4773407794030659,0.8610800165033281,0.09738299452968734,0.14972644559206377,0.03972634932206103,0.14720536334149387,0.08644432608617536,0.044574594786303885,0.036908426855232435,0.04863740902778421,214.61222890390687,81.6884770032129,330.3505339536707,124.8496085940884,110.1309984518948,210.10650132146486,180.91029347957203,214.77412587799333
cs.DM,0.1,-0.04403846845229231,False,1.0312601874451317,-1.024581946602014,0.509705444677871,0.49565169817927174,0.516314673120362,1.3284172773121934,0.08828066841721291,0.025403173654390737,0.04157017478148811,0.028087383255440683,0.06579840780108524,0.08846012478673598,1.1228077043830333,0.6934586644608277,269.40852565086317,117.40938409276659,111.24634130853819,156.92593578799583,10.588979609676848,84.09702944148705,28.597709490311598,195.61792034429175
cs.DS,100.0,-0.021919783963953554,True,0.9933226920225916,0.005564729945883973,0.5415359831525138,0.502344428494931,0.48121846899117116,1.0663040381426419,0.04662340750718413,0.0077941817556373754,0.05251511697609402,0.024451779818940544,0.060092237486477754,0.020476870720711696,0.0366163024077649,0.013685871336346297,102.30533916721105,226.40655133425292,293.56040970059183,127.91170260426352,312.3298459721939,163.1862564712422,89.7451507646127,301.5837983808991
cs.ET,100.0,-0.03389835019598553,True,0.9991473728201624,-0.03531634833172004,0.4795528656439928,0.4318069354040577,0.45152301144843354,1.1235379024387537,0.027819171029245828,0.028908203541442513,0.03199852627940187,0.010745138830205338,0.032291654403229016,0.0015165104328618774,0.013237144642971517,0.01070098152644336,200.7614870072814,295.033299895125,18.070682179080315,148.4332617965699,175.99489741030965,122.33874518093934,13.744641200125706,279.80147678776484
cs.FL,100.0,-0.323501479039473,True,0.9802180757331806,-0.08342667740175247,0.5507531600339453,0.5381883960873644,0.4373115151412646,1.1912425743271566,0.08391909553841859,0.15259839132328484,0.0889433355027534,0.05679034834953772,0.014523459185102665,0.030388786745643295,0.026439739402093817,0.02543376244324486,57.70032548081464,111.49013932700593,118.50035204347601,7.570576003353746,342.0703429648307,273.8946953859072,93.70465229344182,303.74061831625204
cs.GR,100.0,-0.0020337090247246614,True,0.9863648558485022,0.023875815035894754,0.6192411344483895,0.5862599991444583,0.5119432962795205,1.172891729792176,0.12694190179972978,0.011989107976927708,0.055479791484865607,0.01732115424286726,0.003589521917292638,0.014568298899298417,0.027976815289365776,0.025923775570659634,59.87473311192426,346.3967123848195,316.74573151568785,359.2275260199309,351.03231701316537,38.88140680858172,133.67366036509935,228.44507275117547
cs.GT,100.0,0.0020723326661524766,True,0.9867983994001297,-0.06898370923308472,0.43242441876576054,0.6084711946130186,0.5386828344067633,1.0847860356403909,0.05381964567253818,0.024722201670364326,0.08628700987046285,0.06908325630945827,0.07864969773301204,0.017332596416586025,0.016453251184598037,0.019347854246110414,290.4824785571642,353.3595683240742,90.4943973499534,315.6644099109492,127.76259377620319,323.97069071626896,89.0235697740374,342.7308916336373
cs.HC,100.0,-0.026392057763317878,True,1.0031292228415758,-0.335479703458752,0.51813956031937,0.5624521491851691,0.46399592439052384,1.1590306694095003,0.05295851126184558,0.02182499046418625,0.05011680368893696,0.0036126446426523197,0.03152771246877175,0.04151097665511171,0.03221206433076702,0.019379721130663097,279.5856167819932,307.11475007864635,57.48522606211665,88.93564380891269,142.80788868548535,95.52353929556797,322.5878734441105,36.03680573417145
cs.IR,100.0,0.013338674567310527,True,0.986816213248376,-0.08848080244381284,0.419093499468753,0.48215794938665124,0.4859640259595196,1.0442456295179494,0.028033406006789358,0.03359545518762459,0.027635946283473458,0.023446147008701727,0.09661859511698022,0.03293107750109856,0.05060972029190272,0.04714966181420623,47.76138286642756,16.010522196206818,79.49038188835637,22.44345156780188,302.4282692924006,203.0760735066524,97.88006379267523,326.94374496152096
cs.IT,100.0,-0.0014208166244731313,True,0.9710843020353173,-0.066432805436065,0.4803627817785791,0.451418923848134,0.5174117768146923,1.0261104413954143,0.0889250536956347,0.03778984796832324,0.06889236387407113,0.05876869283044257,0.07787500482815639,0.03666171621473432,0.08790029649644747,0.07218417644660534,329.69754169228645,64.67883594095377,92.80886370198863,239.5599836270557,206.5491939186392,81.44808302334752,48.392102434616596,40.386426275288116
cs.LG,100.0,-0.07932277801231846,True,0.9977135839484276,-0.12545395151907845,0.526504468982345,0.5143440630166294,0.5517702741636542,0.9906059525035106,0.04042686615786457,0.0890744698031074,0.05590723194783528,0.10926904463099339,0.008693181201358396,0.07184244440991522,0.025833338148066393,0.05060327654114073,174.35476381327084,281.5195867182045,194.47877832612573,14.722393885953208,309.2559708241277,148.79587436547376,121.62890900049275,298.3628445599475
cs.LO,0.0001,-0.028173939024247252,False,1.0135567956289866,-0.8639328016524044,0.5012135969234931,0.5209983187431155,0.49198751717798883,0.4874230420081642,0.024677459608693355,0.011732266052649244,0.04508702767584148,0.021328850149730193,0.0123664904926062,0.1573049874936629,0.4117236723834321,0.1998315841926173,97.68345561900117,322.78920763652735,295.73131617617537,50.41812340936244,266.1987379099653,358.3153329733083,148.5799894998926,41.650894276532
cs.MA,100.0,-0.004869373997223203,True,0.9970973896611068,-0.11672934415397296,0.5175162972620599,0.5113885267275098,0.42553809060041925,0.9689500131665842,0.06253563351671404,0.028614548629608407,0.028521465081557146,0.06217111394487021,0.08914522007086238,0.01849356841528156,0.013595662833570122,0.01859572264757213,312.15849474239207,38.56806720653083,199.08581915282548,13.66952667192619,311.76883197875543,325.09421756918806,255.0097719123978,108.5777385016244
cs.MM,100.0,-0.005425886373817468,True,0.9912583573655538,-0.008580951529769676,0.535174880763116,0.5056399046104928,0.4792966757310193,1.0538458668273107,0.06867454461540873,0.012801278053406208,0.04552124360956305,0.050651150036859036,0.04862436094821321,0.01317580406086648,0.002386591040632351,0.004684228673658923,110.77377991635689,165.82866954348108,264.15850799957764,119.96631526532782,332.00750757576014,88.72720415242128,293.01778418590675,352.7359281872357
cs.NE,0.1,-0.17646389205390167,False,1.007755171196241,-0.7323173997289174,0.46924883523123995,0.4579680339211131,0.513746740298856,0.32174896238681994,0.10698980718615264,0.00785486193814559,0.03960185572458501,0.0621283773373045,0.013977647262463736,0.07027244554707328,0.23758559603974336,0.15813008712699128,120.0495717368823,110.22630176915843,352.5022065947066,294.3486318596771,210.24700858782015,257.8822879548231,272.04835194934276,278.1780043109569
cs.NI,100.0,-0.07530442490668321,True,0.9919188141450478,-0.109027918809528,0.49115122817401596,0.48002170267337474,0.489029647250946,1.0432275412025214,0.035036649910002604,0.03391405912320894,0.06564508591149075,0.03902715052013214,0.05628950142171946,0.009432609716315907,0.03459155172819154,0.03747386434581929,49.595004088336594,40.361882899863176,175.31174859411595,30.37442209591781,103.80002349091156,72.21586681179431,73.22074139441989,355.30578264888555
cs.PL,100.0,-0.28344411583843154,True,0.9953861306440358,-0.052250191638745,0.45245010805672237,0.49866285973678237,0.48617300194312063,1.1605379924861459,0.04463601770568051,0.07259905343166663,0.08970340600330237,0.04876940882863128,0.03798436620313025,0.05130485255501892,0.013094079777804479,0.028400990004656065,78.99583546183369,175.306558387494,82.47726995303216,236.32392584615727,30.492573570650656,286.2690664984576,165.82297075203252,210.9414808016284
cs.RO,100.0,-0.047814106481144814,True,1.0004770452656626,-0.04384423229900958,0.5163644524931702,0.543443771137579,0.5328592018961877,1.0423039339097637,0.035532083993788335,0.014324932546275095,0.07328734200555348,0.05930316301914791,0.04126504482250904,0.01048877557597994,0.01938642484074308,0.004998124602802238,267.3116925164413,355.23621405589716,126.31724571082219,142.13108501931737,319.27160132474484,113.13518723433893,283.07872545781606,87.11104439460773
cs.SD,100.0,-0.27327761452403854,True,0.9995858445473704,0.03079094134347915,0.46398442569759896,0.4521783375612058,0.5677998219872693,1.0517691540553207,0.056156663099351335,0.08133960585688098,0.05671881551592427,0.03803593136693956,0.012479966667057757,0.09250265055404977,0.021383681362788832,0.03325447570281825,174.22722298658582,278.87045273091786,116.2380017214236,137.53324402633032,353.1161506935916,177.10447355357192,274.49483686284475,47.16704993463064
cs.SE,100.0,-0.0024465357355039075,True,1.0050797499183108,-0.26181973897960376,0.5452523047352372,0.49565452107779745,0.4931499104668461,0.9802491449769793,0.07654642636019604,0.10875037097516704,0.03246305393897312,0.09052420044287206,0.06565762734987793,0.03854689094534104,0.011164776237045482,0.022348865861683536,42.607297452662884,327.75866820590284,262.75599453821803,303.79257404383657,350.7781168596046,329.2097448272109,69.63610413240856,85.91500143900275
cs.SI,100.0,-0.03439850630241703,True,0.9931303257717143,-0.04490333056326712,0.5198647506339814,0.5097034375880529,0.5575027010971536,1.0097953764842964,0.04370008577366741,0.04184906263002489,0.06392579702408288,0.05481064916154736,0.011209832565606367,0.04168505357346388,0.031882423346816104,0.033373864770091945,149.90578081974468,284.219112482236,241.15060969671768,202.2396954595492,15.829866160572319,281.50626910841703,147.18112978998752,215.73186332195135
econ.EM,100.0,-0.1016822331971301,True,0.9982641390337528,-0.014161867049550914,0.4193844503579016,0.5291169007983167,0.44910601905999625,1.0323188182654763,0.025690640591832077,0.011518616572576117,0.004240582802594319,0.01961957540601523,0.051727092067452525,0.007989031217986619,0.017791419730325938,0.01989035881524453,17.435822144320454,243.9184710573715,124.15036119977478,293.59357676499906,170.96689564504553,145.17326114670846,7.8525372231310975,326.8832410945461
econ.GN,100.0,-0.05977649945804786,True,1.0026635649225044,-0.1477648537728833,0.5300197598419213,0.5129470392808286,0.5095038116667764,1.106929333960365,0.04647402226731314,0.05472356570727539,0.04429633214027773,0.03613588138053832,0.07307887009934616,0.037973517461313604,0.0048969662755491365,0.010743914311653512,293.97211276516725,42.381877490422404,352.61706347038523,155.18456101780512,345.9825542871995,118.14731215581378,301.25657989791415,270.41364706095385
econ.TH,100.0,0.015711621459009395,True,1.003143860838883,-0.0921558199566106,0.5959811146936896,0.4555274067250115,0.4884286647015229,0.9414098228738741,0.03763117967996254,0.011214806302924178,0.017686629935575047,0.009972309743842674,0.020016018813505218,0.018317078011780976,0.007600003119689535,0.025369278807437987,194.43657305039721,211.63025354797165,227.48188845921177,117.79632950720378,12.526675318905701,248.0482622058115,23.87722502313209,329.07897666045085
eess.AS,100.0,-0.04952561796549482,True,1.0033354450109013,0.09578446091822157,0.39049990544033286,0.5076278131500978,0.5853576118088517,1.0103087719461408,0.12613509480392776,0.03715383165713881,0.04426387030218059,0.13451068980789513,0.09615220550592009,0.05106855030175919,0.009893033772804581,0.013136692458942103,154.88075171997716,71.62642237411808,1.075686507014136,126.06744035325589,137.09215719588022,224.5174275194202,144.86927263804913,243.975976125157
eess.IV,100.0,0.030650001618286238,True,0.9954356161706414,0.40343289534929083,0.4624570169782936,0.3994197292069632,0.47202985253803265,0.9166653028844333,0.05556336048943436,0.004612729491112454,0.013919724000629973,0.046990149915828575,0.06186543331497111,0.08488509322732209,0.026369457748696614,0.04224983643400132,285.2417242976772,301.4938956937115,21.98579364400271,215.04112808608753,166.4059053315333,227.4615393150927,308.45416446894603,34.23971329244018
eess.SP,100.0,-0.3164003189388529,True,0.9853318432806235,-0.3639273810000345,0.4338693493874102,0.4658058724123363,0.4982049316023297,1.1555744492974576,0.04797126895107913,0.0232610676870034,0.020971546011612253,0.12057384183316223,0.10142771334301111,0.04528585815272838,0.03175397417759441,0.06508297005009198,192.29741096262512,118.13133226097372,147.6684817137271,116.54695135650596,147.3005413835551,181.91571143814016,157.09387121884924,191.425882332715
eess.SY,100.0,-0.6288304978196781,True,0.9916165356702389,-0.034643399792066765,0.5464268351968887,0.5126486056481194,0.5209035630951999,1.1665084348533474,0.023990449312581822,0.02214318881667246,0.038085760819536935,0.03525694615046167,0.052134945243313656,0.04123042312737629,0.04804273517154604,0.05898651191095432,201.81363634520991,330.7251222463757,40.486547341730905,191.64012629508085,296.34566270300195,220.8656681171798,134.10349258375436,269.0219489866818
gr-qc,100.0,0.0006956396607824544,True,0.9744664660122847,-0.09898779545010528,0.5021843350806657,0.5467077204946816,0.5067068552311002,1.0360801291496637,0.04099346469697112,0.007088911870952444,0.04069289145549747,0.01665352622410992,0.005120295103436145,0.03629478833674227,0.04949071070325062,0.05287896160252624,174.717353635856,230.01539930168596,322.9872293350124,41.83409915068167,78.71650345317678,182.2366519444055,332.7824073297912,321.05285507612496
hep-ex,100.0,-0.04250974101176963,True,1.0006559893216733,-0.021663326057835164,0.5753681136478391,0.4701255930530348,0.5912003479637828,1.0610907674202967,0.07403295268633903,0.00465780449604246,0.04467088299728475,0.03587809390748329,0.024304180431153764,0.05601538997598904,0.04663083078276547,0.04081836861967196,177.3081069774874,72.92235939970578,45.09169420559561,165.07951614201048,131.31019465731706,280.03631559401634,76.64884280549563,185.55136598516782
hep-lat,100.0,0.050540799442568396,True,1.0209150631193842,-0.014051573839871434,0.6813351498637602,0.5028762622215098,0.6996003782753699,1.049929189107707,0.24137156621871753,0.023661682373034308,0.01378071981401987,0.03963751178005376,0.06236547656402914,0.048815945175747756,0.010475610212514528,0.06637092480101639,177.18902983195224,120.85640649625066,171.03094654902702,200.9050966654415,316.62736095337834,286.0755900547399,55.46981118971998,259.1468157322539
hep-ph,100.0,-0.0036734491952752357,True,0.9628028872939907,-0.5220557587234909,0.5416203244340864,0.5076147402912061,0.5340272253917467,1.0534787826046637,0.06481763421092214,0.003973848458981548,0.012485453110607992,0.024327075325427387,0.007399989851818485,0.01399692755697308,0.1258377082773702,0.05244676198280351,167.78755924650542,65.19859919044765,66.71251439971057,18.256125992291423,347.6686921283701,164.19416558897805,300.92488915866994,314.800233063605
hep-th,100.0,-0.0031452504547442306,True,0.9613900699825955,-0.1363238677877392,0.5115812928429994,0.48870250275281724,0.5214225982313025,1.028137452016053,0.04248529303469367,0.006244206022057173,0.02596715345582346,0.013004833974361429,0.009241678509508707,0.025422408082767738,0.071241133387746,0.05185560335367577,202.02310888803737,61.26840641083811,31.756673189448293,46.19245797410062,289.96688117562155,162.23533090292315,303.03679415220927,339.15801778815165
math-ph,100.0,-0.08416149270823836,True,0.9799389088011496,-0.008387834396544891,0.4909113873204587,0.4442591315762774,0.5521811178501586,1.0718815166299953,0.0013434716215670532,0.01923695149664716,0.03195287984227127,0.026772548145229166,0.013940536757888262,0.043525871048429456,0.0769085452031865,0.0757091876889476,29.902933640075457,179.50476064967148,203.10642593369215,291.27691271480035,354.5259897126546,5.294175946305791,36.78785121076958,200.9502220803342
math.AC,100.0,-0.07538968450709116,True,0.9830911532070087,-0.0768058282953159,0.4507857901439734,0.472149255937073,0.504374972875212,0.9897631022378197,0.07718594709504983,0.01373000136133427,0.018225592755129326,0.0839245822026954,0.15695952818964387,0.019191876914595132,0.03905472077433456,0.03749083830972865,122.77626376319662,350.76249448127294,46.50955247125917,264.1050156831799,93.13217839352261,168.20163133880575,78.17092860021845,119.56792325287438
