category,days,b,feasible,aspect_residual,r2_heldout,auc_level,auc_rise,auc_sun_only,a_sun,a_moon,a_mercury,a_venus,a_mars,a_jupiter,a_saturn,a_true_node,p_sun,p_moon,p_mercury,p_venus,p_mars,p_jupiter,p_saturn,p_true_node
astro-ph.CO,6463,0.7377928046884209,False,1.0502781848912675,-0.7994395787488935,0.5058503036798857,0.5146391568417292,0.4997826604739789,0.19901964970710184,0.01063402109455283,0.09055847356807427,0.1592063829997861,0.0888313193176557,0.4594275624931669,0.4597108137811471,0.20191604437370178,217.4801850901697,160.48481511622342,146.05780476501042,32.47922235152989,305.6533561697238,279.5907050549647,325.8553594717155,319.880366633775
astro-ph.EP,6462,1e-09,False,1.0000000308604768,-2.3848766321231207,0.5175562269217858,0.5244478012755959,0.40361530715005034,2.7051778037979806e-05,2.790837913772952e-06,3.3642621961855764e-05,5.006233814374784e-05,1.4929795528901044e-05,7.957519731780162e-05,0.0004465511132832236,0.00019914653202766878,130.2588209718693,172.22117236267903,225.57257019741564,21.166115629802825,248.44691494294563,235.70205573535026,264.45182598593175,275.00558950742106
astro-ph.GA,6464,1e-09,False,1.0000000122875325,-2.8951364676251834,0.4610278818143987,0.4121181856013317,0.6137578027465667,4.068394143895538e-05,4.3240915769457036e-06,1.5798538039744772e-06,3.2584912471933676e-05,1.4699774282050806e-05,9.979476944775655e-05,0.000424683979294455,0.00023818120211245274,169.51516538841133,54.84396901561863,155.779669217619,12.864314530920458,223.75306442212147,221.06055094430172,290.92167008292535,261.7491352715237
astro-ph.HE,6464,1.0895582694998829,False,1.1360352739867046,-0.16950190964997147,0.5761230118251539,0.5463598927046733,0.555343987305905,0.11710848297961003,0.00531184570804766,0.08047861129651013,0.10388621443225532,0.0478959551771819,0.17274578428664716,0.7523394444669311,0.7469776835390818,225.71737421811807,208.08831226929374,154.88914959363203,356.41575186148515,310.34308323409425,257.0105365553574,12.64431444001661,158.06896703739616
astro-ph.IM,6462,1.2435051902420824,False,0.7953038631025902,-3.435238982366484,0.6164560699102504,0.5826198630136986,0.591990434577232,0.16154206685804684,0.0032392681529619083,0.05566132123234334,0.06967075581435195,0.09157891845512157,0.09221654154325974,0.8358964699264185,0.8925430699769789,252.5713578417915,279.5869207228814,183.44073734605908,88.44562871365696,353.65882290971507,235.60826136843855,80.90210390035772,87.4562122710278
astro-ph.SR,6464,0.9455671036508417,False,1.0479031874117852,-0.14308703535397438,0.4803789127944322,0.5810371429895835,0.5749879147876644,0.11783532881271128,0.002486301626591436,0.021881849712610667,0.0924830960525742,0.017425930872892105,0.5851060722731545,0.644103676737221,0.33712243685052656,215.53726725388765,306.5641696459698,55.8668951789901,20.754946990538013,188.12731764976033,217.90524657455165,315.1739304173826,100.87359031300372
cond-mat.dis-nn,10935,1.0286632150484565,True,0.9637899466958465,-0.7196291931022094,0.49718535797463514,0.5317180722093653,0.4713761943832254,0.03341857221475749,0.019251461859617725,0.02998577065054021,0.034064971292803115,0.019911138033371665,0.16976880105088707,0.27986349948580125,0.27778039414478883,20.80363387614698,111.90949526648278,218.36136969647924,129.67377649719228,131.14093518685348,53.40742823810547,306.7022267352252,240.81343477652993
cond-mat.mes-hall,11106,1.5071252901965702,True,0.9353366697095133,-44.227513883927074,0.5052322815918819,0.5157827281856139,0.5163693779398552,0.11201678314479048,0.011287300197916551,0.05730616328653739,0.029427304577992006,0.036084132152869694,0.28115201827134023,0.5371378443226079,0.17409742165209247,222.80228064353565,119.90022119553565,59.6325524148732,121.4115042640872,72.23523252141494,98.79855706812424,317.22786665663017,283.33048948547116
cond-mat.mtrl-sci,10938,1.1691528267549554,True,0.9935666571264641,-2.416190255288143,0.45980009595394206,0.48079481848712624,0.36113865344634577,0.02224155518365257,0.00485519779614586,0.01153503493448682,0.007945931947680306,0.006598879932431665,0.12922785776147463,0.12465925533752968,0.13716574421666503,109.26013754105857,77.90019220567031,315.0919187533015,146.05614459815575,122.86078130433793,58.60634820047358,309.151843184334,248.0677642576637
cond-mat.quant-gas,6403,1.426673099999555,False,1.059983111466549,-5.825593863907871,0.5383811681082,0.567570161630898,0.5177810441564424,0.21289332885401646,0.029009368259246472,0.2362398869154391,0.3288327315883735,0.14031538982222688,0.1317490371544377,1.2603339002452532,0.4469932378539552,305.14338265408253,79.30183960224252,36.69743828526104,164.73031925717663,298.1179640372487,206.89450087827143,45.70571383862335,169.71272945801198
cond-mat.soft,10956,1.2198961019362518,True,0.9993260989125115,-0.8515554614521816,0.5214039560290809,0.478927687127395,0.4371632101703901,0.030203670587325235,0.013776922500472803,0.037614502975680364,0.027031770313795545,0.006449119424655875,0.16354953610781095,0.041599123034396994,0.04016423825043587,112.28626438247878,141.92728059157588,320.4940395792565,125.93611670220642,251.87768856909057,278.45381252322636,4.482029978417943,252.22105390947806
