category,reliable_from,reliable_days,total_submissions
astro-ph.CO,2008-12-03,6462,45657
astro-ph.EP,2008-12-04,6461,26941
astro-ph.GA,2008-12-02,6463,56038
astro-ph.HE,2008-12-02,6463,47073
astro-ph.IM,2008-12-04,6461,21744
astro-ph.SR,2008-12-02,6463,49029
cond-mat.dis-nn,1996-09-05,10934,12630
cond-mat.mes-hall,1996-03-18,11105,70318
cond-mat.mtrl-sci,1996-09-02,10937,72363
cond-mat.quant-gas,2009-02-01,6402,15428
cond-mat.soft,1996-08-15,10955,32331
cond-mat.stat-mech,1996-03-06,11117,44272
cond-mat.str-el,1996-08-07,10963,53397
cond-mat.supr-con,1996-07-15,10986,34422
cs.AI,2008-01-17,6783,43732
cs.AR,2015-07-27,4035,5481
cs.CC,2005-12-17,7544,6080
cs.CE,2011-01-12,5692,5847
cs.CG,2008-07-23,6595,4991
cs.CL,2009-08-01,6221,85912
cs.CR,2004-07-22,8057,34828
cs.CV,2007-07-19,6965,157749
cs.CY,2011-04-10,5604,15954
cs.DB,2008-09-28,6528,8132
cs.DC,2005-08-23,7660,17863
cs.DL,2009-08-27,6195,4245
cs.DM,2007-01-08,7157,5187
cs.DS,2005-02-22,7842,18767
cs.ET,2015-01-21,4222,2906
cs.FL,2009-01-08,6426,3413
cs.GR,2014-01-13,4595,4130
cs.GT,2007-08-02,6951,9710
cs.HC,2011-08-08,5484,19943
cs.IR,2009-01-13,6421,15845
cs.IT,2004-05-03,8137,40319
cs.LG,2007-02-12,7122,141880
cs.LO,2005-02-13,7851,12478
cs.MA,2014-12-26,4248,4488
cs.MM,2012-07-17,5140,2894
cs.NE,2008-08-28,6559,8453
cs.NI,2005-05-03,7772,19756
cs.PL,2009-03-16,6359,6070
cs.RO,2012-07-30,5127,42320
cs.SD,2014-01-08,4600,10475
cs.SE,2008-10-14,6512,22142
cs.SI,2010-07-01,5887,11982
econ.EM,2017-08-28,3272,3937
econ.GN,2014-03-12,4537,5590
econ.TH,2018-06-28,2968,2956
eess.AS,2017-07-19,3312,9057
eess.IV,2017-07-31,3300,19630
eess.SP,2017-06-13,3348,24531
eess.SY,2010-07-06,5882,27704
gr-qc,1992-06-21,12471,72817
hep-ex,1994-03-29,11825,25319
hep-lat,1992-03-10,12574,19240
hep-ph,1992-01-26,12618,144178
hep-th,1991-07-16,12812,114188
math-ph,1996-10-06,10903,34659
math.AC,2002-03-24,8908,9653
math.AG,1997-12-03,10480,40882
math.AP,1999-05-18,9949,59162
math.AT,1999-08-01,9874,10147
math.CA,1999-05-04,9963,16891
math.CO,1997-10-28,10516,55172
math.CT,2005-05-11,7764,4812
math.CV,2003-02-23,8572,11930
math.DG,1997-12-01,10482,33011
math.DS,2001-06-11,9194,26422
math.FA,1998-09-20,10189,23158
math.GM,2004-10-29,7958,4659
math.GN,2007-04-03,7072,3701
math.GR,1999-12-08,9745,16344
math.GT,1997-11-02,10511,17538
math.HO,2006-03-25,7446,3384
math.KT,2004-05-29,8111,2685
math.LO,2003-01-31,8595,11324
math.MG,2001-04-12,9254,6980
math.NA,2002-08-11,8768,37284
math.NT,1998-05-10,10322,38182
math.OA,1999-02-13,10043,8946
math.OC,2004-07-29,8050,40329
math.PR,1998-05-07,10325,44897
math.QA,1997-12-03,10480,9776
math.RA,2000-09-24,9454,12460
math.RT,2000-07-15,9525,17399
math.SG,2000-06-07,9563,5413
math.SP,2003-08-07,8407,5309
math.ST,2004-04-05,8165,17105
nlin.AO,2008-03-20,6720,3033
nlin.CD,1999-12-08,9745,7092
nlin.PS,1999-12-05,9748,4737
nlin.SI,1999-12-03,9750,5604
nucl-ex,1997-01-13,10804,12527
nucl-th,1992-09-02,12398,36058
physics.acc-ph,2008-10-20,6506,7012
physics.ao-ph,2007-07-25,6959,4802
physics.app-ph,2017-02-14,3467,11483
physics.atom-ph,1996-09-02,10937,13811
physics.bio-ph,2003-11-11,8311,7231
physics.chem-ph,2001-01-23,9333,14652
physics.class-ph,2001-08-27,9117,5218
physics.comp-ph,2008-06-15,6633,9242
physics.data-an,2005-03-23,7813,3473
physics.ed-ph,2010-12-05,5730,3691
physics.flu-dyn,1999-10-04,9810,23762
physics.gen-ph,1997-10-12,10532,9564
physics.geo-ph,2007-01-20,7145,4868
physics.hist-ph,2005-06-15,7729,3536
physics.ins-det,2003-01-13,8613,16462
physics.med-ph,2008-08-21,6566,6091
physics.optics,1999-12-11,9742,36654
physics.plasm-ph,1999-07-27,9879,13666
physics.soc-ph,2004-11-05,7951,14705
physics.space-ph,2010-07-05,5883,2551
q-bio.BM,2003-08-20,8394,3513
q-bio.GN,2015-12-24,3885,2236
q-bio.MN,2010-11-01,5764,2473
q-bio.NC,2010-05-09,5940,7813
q-bio.PE,2003-08-28,8386,8322
q-bio.QM,2006-03-28,7443,6290
q-fin.ST,2011-05-02,5582,2370
quant-ph,1994-11-22,11587,134972
stat.AP,2007-03-15,7091,11283
stat.CO,2009-11-13,6117,4335
stat.ME,2007-03-07,7099,26595
stat.ML,2008-01-13,6787,21399
