tag,arch,magnitude,space,loss,harm2,roster,fmode,seed,skill,pct,auc
indep|mag|sqrt|l1|h1|rec8|none,indep,True,sqrt,l1,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.7209,71.3,0.9123
indep|mag|sqrt|l1|h2|rec8|none,indep,True,sqrt,l1,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8114,77.7,0.9079
indep|mag|sqrt|l2|h1|rec8|none,indep,True,sqrt,l2,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.6418,71.3,0.8801
indep|mag|sqrt|l2|h2|rec8|none,indep,True,sqrt,l2,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.6608,66.9,0.8967
indep|mag|log1p|l1|h1|rec8|none,indep,True,log1p,l1,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.7624,74.5,0.9131
indep|mag|log1p|l1|h2|rec8|none,indep,True,log1p,l1,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.7609,74.1,0.9091
indep|mag|log1p|l2|h1|rec8|none,indep,True,log1p,l2,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.6770,72.9,0.8639
indep|mag|log1p|l2|h2|rec8|none,indep,True,log1p,l2,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.6210,66.1,0.8931
indep|cos|sqrt|l1|h1|rec8|none,indep,False,sqrt,l1,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8987,86.1,0.9420
indep|cos|sqrt|l1|h2|rec8|none,indep,False,sqrt,l1,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8375,74.9,0.9417
indep|cos|sqrt|l2|h1|rec8|none,indep,False,sqrt,l2,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8442,83.3,0.9153
indep|cos|sqrt|l2|h2|rec8|none,indep,False,sqrt,l2,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.7783,71.7,0.9155
indep|cos|log1p|l1|h1|rec8|none,indep,False,log1p,l1,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.9070,83.7,0.9444
indep|cos|log1p|l1|h2|rec8|none,indep,False,log1p,l1,True,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8140,73.7,0.9441
indep|cos|log1p|l2|h1|rec8|none,indep,False,log1p,l2,False,mars+jupiter+saturn+uranus+neptune+pluto+node+chiron,none,7,0.8257,80.1,0.9071
