dataset,topic,class,phase,empirical,sign_dist,offset_deg,train_r2,adj_r2,rmse,raw_peak_month
ImageTopics,wallpaper,Aries,56.85,Taurus,1,41.85,0.7325,0.6978,6.766,9
ImageTopics,sexy,Pisces,162.15,Virgo,6,177.15,0.8866,0.8719,6.321,7
ImageTopics,love,Aquarius,97.0,Cancer,5,142.0,0.9415,0.9339,4.812,2
ImageTopics,facebook,Taurus,191.43,Libra,5,146.43,0.9745,0.9712,4.081,7
ImageTopics,hot,Gemini,235.34,Scorpio,5,160.34,0.9443,0.937,4.992,7
ImageTopics,girl,Aries,335.89,Pisces,1,-39.11,0.6739,0.6316,5.111,7
ImageTopics,anime,Cancer,44.24,Taurus,2,-60.76,0.8391,0.8182,4.722,12
ImageTopics,quotes,Taurus,129.41,Leo,3,84.41,0.9873,0.9857,3.314,12
ImageTopics,logo,Aquarius,28.6,Aries,2,73.6,0.6053,0.5541,7.047,9
ImageTopics,girls,Scorpio,336.15,Pisces,4,111.15,0.922,0.9119,5.451,7
ImageTopics,funny,Pisces,218.2,Scorpio,4,-126.8,0.9024,0.8897,5.924,12
ImageTopics,google,Taurus,351.95,Pisces,2,-53.05,0.675,0.6328,4.525,6
ImageTopics,youtube,Taurus,160.0,Virgo,4,115.0,0.6313,0.5835,5.369,12
ImageTopics,amor,Aries,167.0,Virgo,5,152.0,0.9355,0.9271,6.13,2
ImageTopics,tattoo,Cancer,36.24,Taurus,2,-68.76,0.872,0.8554,6.42,7
ImageTopics,tumblr,Gemini,174.0,Virgo,3,99.0,0.9814,0.979,4.624,7
ImageTopics,meme,Taurus,70.52,Gemini,1,25.52,0.9476,0.9408,6.379,12
ImageTopics,dog,Virgo,283.22,Capricorn,4,118.22,0.8575,0.839,1.953,1
ImageTopics,imagenes,Virgo,165.23,Virgo,0,0.23,0.9688,0.9647,4.357,10
ImageTopics,nike,Leo,119.0,Cancer,1,-16.0,0.7049,0.6666,6.901,12
ImageTopics,instagram,Taurus,174.75,Virgo,4,129.75,0.9623,0.9574,5.107,12
ImageTopics,memes,Virgo,264.6,Sagittarius,3,99.6,0.9767,0.9737,4.753,9
ImageTopics,baby,Pisces,55.69,Taurus,2,70.69,0.866,0.8486,2.495,1
ImageTopics,christmas,Scorpio,235.37,Scorpio,0,10.37,0.9393,0.9314,5.723,12
ImageTopics,background,Taurus,59.51,Taurus,0,14.51,0.8756,0.8595,5.756,12
ImageTopics,images,Cancer,161.94,Virgo,2,56.94,0.9039,0.8914,6.136,12
ImageTopics,boobs,Cancer,332.6,Pisces,4,-132.4,0.8608,0.8427,6.712,7
ImageTopics,black,Virgo,261.13,Sagittarius,3,96.13,0.6511,0.6058,1.755,11
ImageTopics,naruto,Aries,125.88,Leo,4,110.88,0.9371,0.929,5.056,7
ImageTopics,pinterest,Taurus,337.89,Pisces,2,-67.11,0.9557,0.95,4.334,3
ImageTopics,bmw,Taurus,21.14,Aries,1,-23.86,0.826,0.8034,3.429,8
ImageTopics,cat,Libra,27.0,Aries,6,-168.0,0.6225,0.5735,3.41,10
ImageTopics,ass,Cancer,229.88,Scorpio,4,124.88,0.787,0.7594,6.707,8
ImageTopics,halloween,Libra,169.35,Virgo,1,-25.65,0.9519,0.9457,4.892,10
ImageTopics,car,Aries,26.21,Aries,0,11.21,0.5124,0.4492,1.477,5
ImageTopics,amazon,Taurus,241.41,Sagittarius,5,-163.59,0.9692,0.9652,3.161,12
ImageTopics,minecraft,Taurus,178.27,Virgo,4,133.27,0.9299,0.9209,6.032,7
ImageTopics,emo,Aries,135.48,Leo,4,120.48,0.9916,0.9905,2.803,7
ImageTopics,nokia,Aquarius,353.18,Pisces,1,38.18,0.9822,0.9799,4.173,7
ImageTopics,drawing,Pisces,342.46,Pisces,0,-2.54,0.9415,0.9339,4.874,10
ImageTopics,tattoos,Aquarius,57.62,Taurus,3,102.62,0.9348,0.9264,5.238,7
ImageTopics,happy birthday,Taurus,136.53,Leo,3,91.53,0.9657,0.9612,3.596,8
ImageTopics,justin bieber,Pisces,256.91,Sagittarius,3,-88.09,0.9392,0.9313,6.094,4
ImageTopics,gif,Libra,262.61,Sagittarius,2,67.61,0.9551,0.9492,5.54,12
ImageTopics,frases,Taurus,163.72,Virgo,4,118.72,0.9707,0.9669,4.576,7
ImageTopics,dibujos,Aries,163.56,Virgo,5,148.56,0.699,0.66,7.41,10
ImageTopics,translate,Taurus,295.8,Capricorn,4,-109.2,0.9352,0.9268,5.226,2
