Category: All categories
TOP
news,100
facebook,64
google,61
youtube,43
sandy hook,34
india,34
iphone5,32
samsung,28
justin bieber,25
kate middleton,23
robert pattinson,22
kristen stewart,22
android,21
nokia,21
adam lanza,20
apple,20
robert griffin iii,19
notre dame,19
arsenal,19
yahoo,18
iphone 5,18
chelsea,18
connecticut,17
harry styles,15
messi,15

RISING
sandy hook,Breakout
adam lanza,Breakout
connecticut shooting,Breakout
arizona plane crash,Breakout
super bowl halftime show 2012,Breakout
newtown,Breakout
kobe bryant divorce,Breakout
quadrantid meteor shower,Breakout
asteroids,Breakout
randy travis arrested,Breakout
robert griffin iii,Breakout
norad santa tracker,Breakout
virginia tech shooting,"+4,700%"
penn state sex scandal,"+4,550%"
queen elizabeth ii,"+4,100%"
olivia culpo,"+3,850%"
connecticut,"+3,050%"
falklands,"+2,950%"
kim jong il dead,"+2,550%"
tamiflu,"+2,300%"
zynga ipo,"+2,300%"
jack lew,"+2,250%"
wikipedia blackout,"+1,950%"
snooki,"+1,850%"
frankel,"+1,800%"

