Category: All categories
TOP
la la la,100
minecraft,20
film,19
miley cyrus,17
one direction,14
bruno mars,11
rihanna,11
pink,11
justin bieber,10
vma 2013,10
avicii,10
youtube,10
lady gaga,9
eminem,9
wake me up,9
karaoke,9
miley cyrus vma,9
katy perry,8
selena gomez,8
miley cyrus vma 2013,8
wake me up avicii,8
more,8
taylor swift,7
best song ever,6
beyonce,6

RISING
miley cyrus vma,Breakout
miley cyrus vma 2013,Breakout
vma 2013,Breakout
miley cyrus vma 2013 performance,Breakout
applause lady gaga,Breakout
roar katy perry,"+3,650%"
roar,"+2,100%"
miley cyrus,+250%
lady gaga,+250%
blurred lines robin thicke unrated,+200%
animals martin garrix,+170%
katy perry,+130%
summertime sadness lana del rey,+100%
ellie goulding burn,+100%
อาย,+90%
dont drop that thun thun,+80%
blurred lines robin thicke lyrics,+60%
teen beach movie,+60%
stromae formidable,+60%
safe and sound capital cities,+40%

