Category: All categories
TOP
songs,100
music,79
musica,46
movies,42
minecraft,42
rap,35
trump,22
pokemon,22
peliculas,21
youtube,20
justin bieber,18
ozuna,18
gta 5,17
ed sheeran,16
เพลง,16
rihanna,15
alone,15
maluma,15
sia,14
closer,14
bts,14
wwe,13
shakira,13
eminem,13
drake,13

RISING
shape of you,Breakout
ed sheeran shape of you,"+4,050%"
despacito,"+3,500%"
lac troi,"+1,850%"
lạc trôi,"+1,500%"
deu onda,+300%
split trailer,+300%
марьяна ро,+250%
ed sheeran,+180%
versace on the floor,+150%
gece gölgenin rahatına bak,+120%
bad and boujee,+100%
trump,+90%
хованский,+70%
nicky jam,+50%
donald trump,+40%
도티,+40%

