subfield_id,subfield,field,domain,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,1,0,0,1,0,2,1,2,2,1,1,1,0,2,0,6,6,7,2,3,1,2,4,11,9,5,2,8,12,12,33,12,17,17,14,18,36,21,33,19,37,73,33,66,61,47,38,56,58,141,85,92,110,66,81,100,115,177,153,221,213,267,223,204,213,206,240,265,281,319,297,298,333,280,228,322,268,402,406,430,567,629,552,639,858,721,768,912,914,1054,1131,1185,1243,1402,1478,1818,1956,2180,2323,2780,3911,3007,3476,3675,3913,4083,4612,5295,5713,6092,6708,6890,7983,8855,8071,9048,9673,10537,11268,11362,12676,13939,13666,14206,14674,16709,16670,17730,20684,21857,27150,29868,31503,37741,40885,46763,52494,56704,63333,72910,78315,88814,100183,112787,124222,125770,122326,129434,147295,175540,221003,259133,257083,291116,265595,234209
1102,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,3,2,0,3,0,2,6,0,3,2,3,4,1,6,14,1,0,2,2,7,7,5,86,7,14,31,25,22,12,24,32,23,28,65,40,55,92,70,55,105,80,144,199,110,134,155,156,162,249,264,310,382,478,429,459,436,400,519,544,571,688,818,756,799,599,487,531,518,580,808,791,1123,1464,1528,1587,1755,2040,1965,2084,2414,3065,3002,3349,4074,4180,4933,5157,6021,6837,7752,7747,9496,11055,9725,10752,10678,13322,12998,14582,15835,18139,19725,20997,24098,23640,27800,28667,30380,32328,32097,37516,34854,40634,41920,41272,44776,44909,48184,46816,50980,53350,54976,63923,69361,75682,89947,94563,102047,110984,124623,132961,145697,160989,183087,202571,209586,235484,224666,219186,230560,244402,278274,348789,391713,383809,384282,382168,359194
1103,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,1,0,1,0,3,1,0,4,1,6,3,5,5,6,0,5,4,5,3,2,3,5,8,2,51,12,16,22,27,23,25,29,53,40,58,124,138,112,163,127,100,115,111,243,153,187,284,232,258,271,355,423,503,633,706,884,945,866,1005,1007,1216,1272,1560,1567,1561,1451,1231,1220,1295,1148,1476,1683,2132,2606,3061,2755,3382,3787,4643,4907,4671,5416,6190,6697,8032,8905,10373,11031,12184,18302,14064,15237,16048,18051,21722,22077,23495,25422,27639,28544,30403,31637,33282,34451,38446,42245,42110,43778,47701,48171,49633,49915,50460,51486,55219,54462,56687,53148,55718,57363,55265,61249,64312,65275,78768,74668,85229,91569,102145,110633,118866,130606,137733,148897,168482,180536,196418,203686,223423,220514,223857,230515,241073,284784,374977,416412,423663,421443,431212,427950
1104,Aquatic Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,2,1,0,2,0,0,0,1,0,1,1,2,3,0,2,0,0,0,0,1,1,4,2,0,1,1,3,1,1,2,7,2,3,3,15,3,26,9,11,12,9,8,4,11,22,13,18,20,15,20,21,31,22,17,34,18,36,35,35,37,81,54,39,80,89,100,94,82,131,60,74,66,75,84,80,84,102,88,87,100,151,155,203,211,191,236,291,294,250,298,363,355,335,341,332,292,246,243,209,166,249,300,329,396,553,438,487,595,749,852,845,1022,999,1202,1427,1640,1856,1776,2274,3996,2781,3066,3364,4695,5243,4777,5861,5908,5747,6928,7419,7955,8501,9886,10488,10848,12072,12547,14316,14937,15085,15486,16478,17177,17988,18499,20961,20368,22059,23459,24314,26276,29588,29799,34353,38037,39211,47001,46090,51644,58040,64881,71592,79522,87785,102348,108097,116577,126795,127251,125989,137594,152045,177086,224116,266211,271542,286909,291430,290869
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,2,1,0,0,5,0,0,1,1,3,2,3,0,0,3,0,1,4,0,5,4,6,2,4,7,8,4,14,7,6,4,6,7,5,3,7,16,12,8,14,13,6,9,15,16,11,10,18,21,11,24,26,23,22,34,53,36,63,78,113,91,178,56,85,85,77,108,121,131,140,141,173,234,330,237,290,300,265,316,591,415,529,535,444,482,632,682,740,827,967,1762,1101,1218,1367,954,795,1131,943,1439,1415,1282,1412,1486,1754,1746,2167,2538,2839,3158,3468,4127,3704,3357,3127,3787,3850,4228,4470,4567,4129,3935,3297,3008,2652,2117,2229,3052,3645,4369,5085,5858,5988,7019,7871,8597,8971,9436,10656,11216,12826,13147,13669,15936,16339,21644,18541,21837,21387,23948,28384,26989,29294,30441,32568,34212,36631,40753,43288,47154,49695,54538,57384,61358,66467,69662,73004,75568,82433,85249,89955,91461,103853,99387,106987,110896,122702,130116,143028,155182,196067,202726,226342,256033,296987,307154,347010,395455,406512,461879,492781,528885,557725,617057,662275,660993,677171,683508,749297,841055,958896,1061936,1006277,1057050,949827,906743
1106,Food Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,1,1,1,2,2,3,2,0,0,1,0,5,0,5,2,1,0,0,2,1,0,1,2,2,0,1,3,6,4,3,5,4,2,5,7,15,11,10,3,10,4,3,10,16,17,17,24,23,25,21,40,22,36,32,73,45,97,94,163,247,114,77,128,98,193,433,177,152,286,147,173,248,302,270,362,310,437,441,424,449,587,660,658,878,1006,940,1077,1096,976,1118,1293,1453,1524,1757,1630,1565,1478,1332,1511,1592,1651,2069,2486,3014,3301,3634,3825,4413,4978,5838,5242,5833,6859,7077,8538,8580,8629,10601,11395,13773,13223,14729,14615,16364,19858,19309,19573,20565,21006,21905,22038,24375,25809,27055,29136,30942,32654,34860,35461,38821,38583,39913,44111,46292,51171,53746,58826,60091,61626,68245,73937,76110,79670,90069,109970,112197,133074,158600,172404,197055,224092,248932,268720,310559,354411,405400,453718,485903,547769,559523,567274,611007,657445,775208,972921,1140028,1193096,1263666,1322181,1339198
1107,Forestry,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,1,0,2,0,0,0,4,2,1,1,3,5,3,2,2,1,2,0,2,1,11,0,1,3,3,7,18,7,6,10,2,22,13,5,11,11,10,24,19,10,17,17,11,21,27,35,28,31,45,22,42,32,39,36,57,38,80,55,65,75,69,92,83,123,114,119,148,100,76,79,111,115,101,158,160,177,232,347,275,316,323,349,364,392,455,579,577,575,676,709,741,871,810,914,872,965,1421,1037,1078,1201,1258,1291,1458,1654,1830,1878,1957,2210,2611,2769,2881,2960,3132,2940,3369,3870,4131,4081,4521,4794,5003,5525,6270,5659,6610,6987,8659,8988,9842,12570,13522,14804,17148,18224,19698,23181,25491,29855,31756,35355,37652,35577,34760,34550,39634,48214,59910,69148,66279,75366,67703,59660
1108,Horticulture,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,1,1,1,1,0,0,1,2,3,3,3,2,1,3,1,1,1,2,2,4,5,0,6,2,7,10,9,8,8,4,17,11,7,10,7,9,11,4,9,7,8,9,18,8,18,52,26,32,23,31,40,38,45,58,49,58,60,107,104,93,121,96,139,96,110,219,125,185,171,127,132,150,168,217,166,233,281,236,278,282,290,342,350,370,429,395,412,424,472,556,623,527,618,594,601,762,897,857,1318,1372,1493,1935,2395,2521,2835,2905,3411,3870,4092,4779,4721,5983,5680,6470,7557,8993,11859,11951,12832,13406,13887
1109,Insect Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,2,1,1,0,1,1,2,0,0,4,2,1,1,0,1,1,4,0,2,1,1,6,0,6,2,1,1,1,0,1,4,2,2,7,1,21,15,25,33,9,20,11,17,9,3,6,16,7,7,10,22,23,14,13,35,17,25,28,96,33,42,26,43,46,79,74,59,75,234,221,193,158,240,218,129,178,174,285,236,217,237,221,234,319,369,408,447,539,600,783,745,756,721,798,879,910,1017,969,813,814,692,635,715,592,781,1095,1091,1290,1661,1719,1896,2193,2404,2691,2403,2712,3370,3430,4130,4300,4623,6161,5907,7512,7238,7976,7849,9529,11875,11759,12714,13104,14540,14529,16905,16830,16540,17235,18615,20434,21373,21433,22494,27252,27163,28375,30210,29278,32200,34094,37965,38049,37363,39232,42803,46691,49685,62287,70675,75986,83076,96842,115956,122499,132538,141201,157670,176712,186809,207412,235709,252244,272604,269626,288641,303217,335457,377150,470405,534589,534809,540232,557242,545944
