subfield_id,subfield,field,domain,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,2,2,0,23,18,0,3,0,2,3,1,25,3,0,0,0,0,15,28,3,0,0,0,1,9,9,4,0,0,0,6,1,10,1,0,45,3,0,31,1,2,61,49,14,102,7,25,8,13,3,71,4,8,35,47,18,4,6,6,54,13,31,12,5,16,8,574,2,7,18,8,10,131,20,44,30,6,40,49,94,105,18,8,64,44,8,104,104,139,59,72,31,50,178,23,34,58,290,104,191,184,636,426,83,241,212,102,271,244,458,203,197,336,502,211,704,1043,401,300,419,593,449,365,531,663,664,823,1671,556,615,1070,550,2361,1368,1215,1140,720,2083,862,832,1075,1264,1723,2531,1722,1224,1650,2483,1314,3982,2340,1587,2464,1919,3299,4485,2093,3661,5815,5058,3427,9770,3212,4803,5980,5721,6446,7677,9122,7808,11525,7508,8518,8537,16788,11817,17320,15844,11930,14730,17773,17995,17391,25327,45930,19624,18945,20228,30336,21068,32979,26144,26590,26358,38353,44754,39526,37383,45923,56162,46665,52932,47020,108782,69804,76201,71551,69094,71877,74239,80250,75333,89867,101941,102143,99285,116209,120363,119508,123469,123868,136559,135491,135949,146499,117134,91914,65012,39507,13844
1102,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,3,13,7,0,5,0,2,1,0,1,1,84,0,4,7,7,0,10,4,153,9,43,12,3,3,9,11,4,28,5,16,1,0,10,5,31,3,4,3,24,21,1,13,55,50,5,14,41,27,259,37,16,288,58,36,31,82,51,16,27,42,110,65,544,150,131,157,68,100,84,192,260,154,239,484,1038,307,316,827,1611,233,892,270,395,340,1491,483,679,1046,708,1841,1332,830,1427,1428,1461,1463,1314,2013,1929,1857,2065,2936,2961,2908,2151,2834,5617,2134,2308,2352,3559,3379,5536,5615,7248,6366,6814,7651,8397,10397,14180,12031,14189,17096,17487,17638,31798,17816,22609,29961,23944,25615,33116,34472,31853,38503,38322,42475,44213,49016,50143,46232,64118,72099,58140,63663,62113,75183,70717,77979,82218,91599,89179,104558,129073,95223,105060,106064,114437,102936,129203,115241,125889,153429,142327,147120,172278,158324,161487,167054,172039,180771,182005,186869,183389,182471,165649,172743,171244,162767,177339,172385,164331,163734,135279,104467,70810,50793,19260
1103,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,2,0,0,12,20,0,0,0,23,0,8,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,4,150,3,2,32,0,0,10,5,0,2,0,0,2,2,1,2,1,18,5,9,13,7,7,3,15,5,2,2,4,1,4,5,2,2,12,4,15,17,13,50,94,7,10,30,43,31,9,36,22,36,33,45,1017,24,60,42,25,48,41,64,101,267,34,82,71,60,106,57,206,119,54,120,125,41,413,228,292,368,375,1763,486,835,1083,956,510,541,581,623,852,1162,451,1410,3369,1358,1694,1680,2225,1867,3348,2582,2862,4005,3930,4435,6339,4601,4179,6647,5132,5404,5073,5107,4511,4588,4671,6206,5503,8421,8849,11255,9792,10958,13527,19055,17947,15282,21872,23696,22262,23778,27389,32896,35054,32972,37176,35988,40223,43382,42815,64111,52976,59915,56727,55536,61365,495204,64013,66267,72889,69000,70053,76666,70688,72574,72386,74807,70261,70128,80579,85907,87140,88594,91390,95467,96932,105262,116198,123371,120821,142251,128324,149760,167566,154261,164623,165538,177841,165439,160749,191895,168212,168714,166342,173874,182599,178165,177882,181767,192588,213018,172060,136049,96117,65250,23981
1104,Aquatic Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,3,0,6,0,10,37,0,0,8,15,2,3,44,0,85,0,0,2,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,813,0,18,0,0,0,654,4,7,12,13,132,85,0,81,10,130,83,164,122,119,114,52,28,194,35,21,149,37,40,154,107,31,275,421,223,166,201,67,52,46,97,58,121,367,216,138,131,156,28,150,198,181,196,169,153,826,126,336,237,179,397,217,109,62,132,219,353,243,123,78,556,288,308,668,243,238,380,283,397,409,605,534,655,497,1064,619,1094,782,1240,1010,676,778,706,663,835,376,430,533,1832,1216,1538,1010,929,1014,1106,1218,765,2067,1795,1774,1246,918,1701,1629,1619,1812,1881,1402,954,1446,1069,1115,1339,1488,1657,1523,2493,8127,3782,3571,3704,5079,5392,5276,5083,5689,6056,5959,5999,7128,8817,9171,7055,11333,15232,13389,18965,17593,17339,20230,23290,21059,22352,29029,26596,29205,34985,38253,35811,39129,34999,35697,41158,39627,42284,40336,48980,42195,46477,48815,54975,55254,61947,56125,64177,70294,67590,75444,81670,79448,100492,83482,89157,101697,100795,100982,110477,106411,122500,115372,109893,113272,127601,124970,122289,123945,128992,141349,115684,89653,64692,41235,14840
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,12,4,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,1,0,1,0,0,55,3,0,1,2,52,0,0,78,3,0,0,0,3,16,268,86,0,7,0,0,43,37,27,0,7,5,0,2,3,0,0,6,7,124,29,2,4,9,342,35,20,33,3,0,0,972,48,25,3,11,9,308,2,7,3,22,253,38,75,49,322,80,82,71,107,2,28,115,82,41,65,248,241,112,61,47,168,206,467,88,115,87,102,117,70,4,50,168,388,340,154,786,98,299,252,646,697,218,2744,285,554,437,790,622,382,523,1108,1119,2089,1107,937,527,742,1183,439,878,509,797,682,555,920,952,698,1533,1459,503,752,758,1162,1465,1329,1052,1653,1512,1355,1178,1235,1432,1496,2100,1618,1906,1282,2135,2278,1959,2406,2940,4525,2517,2171,2008,2649,2699,2538,3221,2510,3118,3053,2577,4164,2771,4362,4640,3062,4061,6316,4442,3800,4105,7700,4183,4301,5300,7184,6522,9563,6355,6458,7795,8338,11374,7747,9174,10882,8057,9564,7568,6693,5527,8561,7686,8926,9069,10673,10602,16850,10055,9971,10339,13053,15292,15584,17021,14054,16815,17367,16304,17746,16292,18028,14148,14349,16691,9889,10550,10788,13373,26021,19056,25761,27870,33387,32539,33569,33933,37499,35740,47538,35245,44311,47162,50780,55687,63597,58970,80769,78604,70681,83062,89954,104809,100828,98922,111468,115758,118527,151654,142238,156909,164798,173364,187365,178125,177455,198828,194914,204439,210316,228370,253760,228659,265894,266185,277851,289169,320723,308980,348353,364614,438900,428851,450133,442577,478027,475533,532086,526870,516097,561818,555403,498190,476271,478073,453820,445315,434738,410467,396009,371616,325862,272979,188751,138330,84354,31237
1106,Food Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,23,0,13,0,1,122,25,3,21,1,10,5,66,2,4,2,16,16,8,2,16,59,18,30,0,4,103,1,4,0,4,25,3,17,28,52,5,155,100,289,14,33,2,50,35,60,80,17,99,17,3,21,12,27,19,27,93,41,76,24,18,153,30,10,37,177,131,19,10,52,77,16,70,13,128,137,68,55,49,76,217,84,53,106,98,69,104,241,91,195,230,191,371,229,139,322,385,304,306,193,215,211,279,299,336,299,434,2692,412,771,638,616,674,992,1153,727,1022,787,1993,1008,1171,747,1298,1092,864,1976,2374,1297,1894,1678,1908,1714,3942,2216,3032,2326,3265,2652,3749,14764,4021,5732,4114,5958,5106,4751,4427,10430,4569,5510,5119,8709,6791,7747,9493,11745,18370,12904,20648,15381,16973,16090,18068,21659,40255,16904,25180,23797,26631,31937,37469,48681,38827,40664,39320,42795,52381,46983,52196,64329,68165,62189,66658,80581,70451,72973,82200,89271,92088,122051,100412,115427,109491,114387,116746,137022,144933,139375,165715,175176,166806,200981,212647,228769,250938,270735,323222,345934,385356,442857,438959,436242,465636,481517,473286,508324,535305,535311,529655,540211,577197,579964,557592,599662,602719,606102,664514,564655,445510,332503,226177,86311
1107,Forestry,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,5,0,0,0,0,176,0,0,0,0,8,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19,21,2,15,0,282,16,0,0,0,8,0,0,0,0,1,0,0,0,0,8,3,0,33,0,0,41,0,16,61,54,19,1,3,16,11,0,5,32,4,6,7,2,2,1,0,20,9,16,2,26,13,67,39,193,7,40,3,9,18,30,12,17,13,16,41,31,15,16,299,62,4,5,218,10,50,13,28,11,32,99,51,22,38,118,21,53,71,43,10,27,26,62,47,25,101,387,390,72,93,74,41,20,93,71,99,82,140,65,119,174,160,104,93,173,228,115,168,145,153,579,246,365,367,1854,188,189,363,1315,269,450,865,247,417,458,252,634,704,2640,1541,743,530,364,292,2353,274,1232,766,624,944,590,1584,1912,1898,3290,2100,1967,1603,2602,2672,1423,2304,2609,3520,3040,2931,5338,4042,2172,2236,3076,4489,4627,4463,3918,3864,4621,10987,4335,6344,5775,11639,5221,5195,9429,7802,8249,9514,10028,19160,9681,13731,11750,15016,13815,12832,14546,18963,16223,18372,14403,20558,18582,23222,25520,23341,26159,26159,23422,26964,30382,31640,29177,27150,28297,27659,25992,27922,31220,29299,30243,29410,23806,18926,13515,7653,3004
1108,Horticulture,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,10,1,0,0,7,2,3,0,0,0,1,1,0,3,0,0,5,0,21,2,3,2,27,35,0,40,6,0,1,47,6,28,3,14,13,1,18,19,20,12,11,9,17,78,88,3,13,31,22,57,106,38,68,69,20,99,64,87,101,48,139,33,49,81,182,108,105,285,250,169,265,135,260,198,229,138,188,555,469,426,230,905,244,108,225,283,400,528,581,614,204,524,719,447,792,462,419,640,587,4582,787,339,938,686,1372,811,996,1278,615,1058,1080,1796,1654,1243,3335,1623,1581,2702,2431,2254,3052,5112,2571,4020,5667,5396,4587,4742,5724,4727,5804,5317,5226,6111,6362,7350,5056,6268,5543,4376,2808,2251,853
1109,Insect Science,Agricultural and Biological Sciences,Life Sciences,27,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,4,0,0,1,1,5,282,64,10,10,3,164,96,0,0,0,11,17,0,30,109,0,0,75,4,0,38,26,14,2,3,71,37,10,14,46,120,21,6,28,240,114,18,54,15,31,159,56,12,240,93,133,41,62,177,1,41,30,102,214,199,165,37,84,78,90,104,98,40,48,41,136,58,116,239,82,138,114,234,100,162,128,35,116,303,253,151,150,215,175,282,278,210,240,162,435,980,200,373,490,489,195,503,511,618,358,380,372,722,531,599,669,551,778,707,3070,1462,1023,1158,1392,2403,1843,1821,1362,955,1135,1713,2148,1817,1505,1910,2136,2526,2237,4451,3320,2995,3604,3393,4047,4410,3930,5829,5181,3672,3773,5935,3827,3878,4363,3562,4048,5419,6029,6706,5164,8805,9264,7961,10583,9311,14320,10744,12357,14580,22365,18517,18707,19069,20906,22065,25778,25531,28581,31040,37133,37110,37496,49230,35197,38697,39796,42944,45655,47598,48543,52499,56990,59865,61386,62955,63151,75493,77674,77857,79373,102282,98525,102538,103348,104585,112435,116391,121966,149115,143311,182471,179678,192371,193289,224876,218940,220574,214335,226960,253465,247250,243690,255649,267165,253981,247857,254464,262954,251175,257752,252448,206086,152851,110660,69228,24525
