subfield_id,subfield,field,domain,1700,1701,1702,1703,1704,1705,1706,1707,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1100,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,4,0,0,1,1,0,0,5,4,3,1,13,4,3,1,2,6,2,5,6,0,1,4,3,4,3,7,2,2,3,4,8,3,7,18,15,7,5,18,20,20,4,37,7,10,13,22,22,12,25,16,27,23,28,25,26,24,47,32,48,47,44,46,38,50,23,59,62,59,67,51,53,56,64,53,48,54,40,50,70,72,73,70,64,66,54,67,64,79,83,113,105,78,109,93,85,94,118,93,155,138,138,128,123,184,123,167,226,240,245,228,214,213,252,295,238,258,264,294,330,338,363,406,457,448,364,414,419,414,389,369,444,421,449,487,505,513,571,567,563,673,714,659,575,577,602,591,663,652,737,777,1045,713,715,599,559,581,666,729,736,922,1301,991,994,1048,1036,1143,1145,1195,1338,1336,2383,1542,1616,1914,2150,2175,1969,2075,2481,3064,5167,3111,2940,3069,3105,3240,3376,3555,3598,3788,6533,3907,4021,3904,4364,4324,4945,4869,5129,5169,8065,5551,5923,6040,6488,6516,6798,6889,7399,7595,10877,9504,10486,10717,11452,12467,13209,14691,16612,19418,21554,22489,25946,28318,30979,32684,34289,37247,39653,41700,40184,34906,31099,35100,37796,41670
1102,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,4,3,2,0,0,0,0,2,1,2,3,1,3,0,1,1,2,3,2,0,1,2,0,3,4,3,0,7,2,0,1,3,2,4,6,5,7,24,15,11,21,21,21,14,18,20,36,23,32,28,34,43,41,25,15,25,39,22,35,24,14,20,14,19,20,24,17,31,29,31,26,22,27,40,51,54,44,55,43,55,53,57,58,59,65,82,75,92,87,87,97,89,81,73,116,97,78,93,86,157,149,117,127,112,120,131,161,157,157,175,190,200,241,217,206,195,265,192,202,236,233,257,250,303,295,292,336,298,346,432,500,472,546,476,519,544,507,618,572,1363,500,489,462,446,438,492,680,698,713,1840,820,836,918,965,1040,1110,1166,1345,1416,3492,1563,1667,1726,1779,2172,2327,2503,2611,2786,7145,2842,2727,2669,2840,3082,3128,3205,3267,3567,8885,3786,4018,4066,4414,4338,4718,4843,5187,5308,10151,5418,5488,5780,5951,6359,6340,6807,6783,6724,10607,8773,8761,9194,9792,10589,11381,12966,13994,16913,18486,18266,19263,19613,21735,21575,21629,21499,23258,23589,24675,23851,22048,21853,22629,23675
1103,Animal Science and Zoology,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,2,1,4,1,3,2,3,2,4,0,3,0,2,3,2,1,3,2,0,0,1,3,1,0,0,1,2,1,4,3,1,2,3,8,3,4,1,1,2,10,6,1,10,4,9,12,6,6,8,5,11,11,16,20,8,12,17,15,14,12,11,17,4,11,6,15,6,22,10,22,16,20,17,17,13,17,11,19,20,23,27,30,33,31,23,34,46,26,45,25,30,33,44,46,30,36,44,38,43,56,44,68,90,79,72,70,44,77,76,93,116,109,114,124,141,157,151,166,142,135,150,166,193,173,218,210,239,258,278,345,344,391,436,524,642,616,618,617,691,659,663,712,794,586,600,555,539,521,722,841,924,915,1256,1042,1167,1246,1341,1371,1497,1679,1787,1883,2485,2170,2324,2730,2826,2840,2974,3343,3454,3681,4897,3826,3721,3509,3470,3653,3703,3743,4010,3999,6004,4380,4375,4137,4608,4564,4577,4810,4813,4789,6723,5018,5051,5158,5293,5447,5704,5768,6218,6114,8415,6935,7558,8267,8758,9735,10397,11418,12192,14689,15595,15300,15390,15885,16993,17078,16317,16926,17085,17992,18550,18272,16999,17141,18419,19395
1104,Aquatic Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,2,0,4,1,3,2,4,8,0,6,2,2,5,0,0,4,0,0,2,0,0,2,1,0,0,0,1,0,3,0,1,0,1,3,4,2,5,4,5,2,10,2,4,13,17,11,12,12,24,13,7,11,6,9,16,7,17,13,18,18,24,14,19,24,20,19,26,15,18,23,13,25,28,31,27,25,28,24,31,40,25,20,23,33,46,40,59,50,54,62,58,36,32,47,54,46,54,36,53,51,40,46,46,70,64,52,73,67,85,85,85,92,82,112,105,116,103,109,112,97,86,78,69,89,68,62,84,100,107,92,105,97,108,116,105,129,157,155,161,173,175,211,203,198,201,196,198,169,151,110,114,104,127,158,176,207,265,290,327,341,374,391,352,403,412,449,523,535,558,654,677,664,795,853,877,973,1253,987,1084,1235,1216,1281,1401,1435,1550,1523,2002,1731,1873,1771,1933,2083,2165,2141,2143,2409,2530,2376,2501,2673,2732,2855,3224,3010,3463,3432,5027,4184,4432,4666,5140,5471,6547,6873,7567,8657,9258,9647,10916,11628,12424,13593,14247,15161,14397,15530,16196,15255,14643,15984,15590,19190
1105,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,4,2,1,2,0,3,2,0,0,0,0,4,1,0,0,2,0,1,3,1,1,2,0,0,1,1,2,0,0,1,1,1,2,2,4,1,0,1,6,0,1,1,3,6,5,7,2,3,2,0,5,2,4,2,4,4,0,4,3,2,1,7,3,5,7,11,6,9,6,4,7,10,1,2,0,17,8,5,7,9,8,12,5,9,4,14,10,6,11,14,31,30,48,36,29,10,51,47,41,42,98,62,53,54,40,59,62,29,33,30,25,35,29,28,27,20,39,32,39,32,21,54,53,53,96,86,44,85,93,102,109,78,76,115,118,133,186,201,192,172,204,204,254,202,224,234,247,240,403,249,244,265,322,317,340,275,375,370,457,372,395,354,424,425,395,398,390,474,549,564,538,543,538,658,683,643,719,725,700,832,835,861,818,836,920,921,974,1081,989,1001,1029,1012,1034,1075,1179,1188,1294,1247,1286,1302,1500,1375,1431,1459,1476,1546,1774,1739,1779,1798,2082,1999,2031,2103,2057,1798,1802,1655,1493,1598,1994,2065,2200,2126,2369,2222,2373,2378,2383,2481,2970,2739,2706,2609,2649,2744,2915,2866,2856,2744,3164,2264,2111,1963,1627,1690,2006,2299,2654,2652,3924,3518,3728,3743,4072,4127,4303,4245,4393,4537,5862,5061,5179,5784,5874,6382,6711,6732,7238,7442,9627,7844,8044,8109,8400,8627,8671,9329,9300,10086,13022,10926,10802,11116,11956,12135,13188,13315,13640,13881,17652,14640,15406,15835,16463,16708,18453,17490,19790,18599,23624,21441,22980,24531,28410,27653,31155,34859,48323,43235,45592,43863,46596,48311,49317,49630,57531,53193,52954,60248,58624,54016,47084,52370,45003,49037
1106,Food Science,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,0,4,0,1,1,1,0,1,0,1,0,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,4,0,0,1,2,0,1,0,2,1,2,0,0,1,0,3,6,1,7,2,2,8,15,25,5,5,11,9,5,2,3,12,13,16,8,9,9,10,5,5,1,5,11,7,6,4,6,14,9,11,29,23,11,16,27,31,15,24,16,46,34,25,21,31,27,48,33,34,54,62,66,75,65,72,79,68,81,84,84,87,88,65,56,58,58,68,67,55,63,56,78,69,77,65,84,117,100,107,106,136,146,129,200,139,130,163,135,154,145,155,188,210,192,172,223,176,217,222,218,245,262,245,336,296,266,300,318,340,362,362,387,427,443,371,420,445,415,401,394,456,475,425,475,489,530,543,605,602,647,734,746,762,887,842,876,884,931,903,1016,1080,1084,1074,1516,1010,1039,1028,882,970,1113,1254,1331,1453,2450,1870,1987,2142,2245,2309,2285,2440,2616,2845,4217,3175,3189,4079,4555,4339,4100,4452,4793,4938,7707,4885,4711,4710,4958,5122,5118,5502,5677,5904,8585,6520,6625,6783,7122,7535,8076,7869,8390,8794,12010,9688,10265,10898,11563,12204,13430,13378,15176,15315,19852,18191,20555,22999,25237,27196,29694,33249,35973,43003,46335,48606,53071,55241,58126,60498,60981,62430,64458,68813,68641,64396,60583,63681,65554,68979
1107,Forestry,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,1,2,0,1,0,2,9,11,5,2,3,5,0,1,1,3,0,2,3,1,1,2,1,0,0,3,3,0,4,0,2,8,2,8,5,4,10,4,2,6,7,2,5,32,5,5,9,2,8,6,8,9,8,12,17,12,8,7,11,9,11,23,9,23,11,18,25,11,21,26,11,13,19,12,25,26,11,16,30,41,25,22,31,25,43,25,34,26,36,31,26,33,40,44,39,32,39,34,43,47,37,58,57,60,48,62,90,71,86,68,68,72,94,81,85,80,102,95,93,135,214,260,225,177,273,230,256,231,253,267,232,275,292,292,258,265,345,273,372,310,303,351,361,356,340,347,430,303,282,262,222,237,307,387,378,430,569,453,453,485,456,536,479,531,471,533,786,525,625,541,581,614,546,524,547,616,1013,712,688,661,688,685,786,772,796,785,1288,988,991,1062,1018,1034,1235,1210,1348,1398,1896,1506,1695,1763,1843,1892,2383,2111,2577,2492,3289,3087,3277,3726,3843,4433,4932,5385,5969,6935,7596,8296,8720,9532,11024,11552,12393,13655,14879,15307,14356,12408,11066,11569,10463,12708
1108,Horticulture,Agricultural and Biological Sciences,Life Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,1,1,1,0,0,0,4,3,2,2,0,0,4,2,2,3,1,2,2,0,0,1,1,2,2,3,1,1,1,2,2,0,1,8,1,2,0,5,4,2,1,2,4,4,2,1,3,5,3,1,3,3,0,4,6,7,3,3,5,3,5,3,9,6,6,2,3,7,5,5,7,11,7,12,8,9,7,10,12,11,9,17,13,17,27,7,12,21,20,16,17,6,19,15,41,18,7,13,15,11,10,12,29,31,67,28,22,42,38,38,26,46,22,37,118,63,37,36,43,42,27,41,43,32,137,66,49,59,67,63,55,74,74,86,177,134,123,110,78,108,120,112,136,127,217,169,170,171,219,182,189,163,177,182,243,211,195,230,258,300,325,337,422,433,467,462,565,573,566,602,830,733,789,904,886,794,784,792,993,1335
1109,Insect Science,Agricultural and Biological Sciences,Life Sciences,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,1,1,4,6,3,0,2,2,5,5,11,10,9,7,5,6,1,1,4,1,3,3,0,3,2,2,0,2,1,4,9,4,4,3,2,9,9,8,5,13,14,12,10,14,16,12,17,24,18,25,23,19,20,22,19,22,25,27,62,18,29,30,45,46,48,48,40,40,50,28,37,39,32,33,45,51,35,51,59,50,66,66,82,63,64,67,57,75,74,97,101,102,115,116,114,118,81,100,85,100,124,104,114,125,123,116,144,155,122,157,164,150,180,147,161,180,167,183,268,275,300,307,343,374,375,370,377,366,312,391,519,458,509,464,505,519,554,565,581,649,781,649,684,654,708,695,786,749,688,647,1011,604,702,558,550,554,679,787,854,818,1355,1078,1107,1197,1211,1271,1383,1407,1544,1590,2359,1714,1776,1814,2012,2077,2305,2385,2496,2705,4004,2793,2802,2795,2887,2949,3152,3363,3450,3575,5165,3829,3962,4107,4392,4268,4895,5082,5076,5268,7432,5609,5798,5870,5958,6205,7203,6336,7642,7149,9486,8059,8871,9115,10762,10760,11932,12487,15448,15718,16031,16233,17382,17692,18547,18268,21890,20016,22330,23533,23763,23450,21416,22542,22444,24547
